country,outcome,n_areas,lambda,n_retained,dev_ratio,retained
Gambia,child_vitA,30,lambda.min,6,0.3333,tclim_ro_t0|lst_night_m07_t0|dhs_w_literate|aef_A36|dhs_c_severely_stunted|dhs_w_any_media
Gambia,child_vitA,30,lambda.1se,0,0,
Gambia,women_vitA,30,lambda.min,11,0.2674,precip_y2019|soilgrids_ph|tclim_vap_t0|aef_A06|lst_night_m07_t0|dhs_w_skilled_attendant|dhs_w_primary_edu|dhs_w_no_education|tclim_vs_t0|soil_magnesium_stdev_20_50|aef_A21
Gambia,women_vitA,30,lambda.1se,0,0,
Gambia,child_iron,30,lambda.min,8,0.373,dhs_w_no_education|dhs_w_primary_edu|dhs_hh_mean_hhsize|dhs_w_edu_years_mean|aef_A01|dhs_w_secondary_plus|dhs_hh_urban|precip_y2019
Gambia,child_iron,30,lambda.1se,3,0.1208,dhs_w_primary_edu|dhs_w_no_education|dhs_w_edu_years_mean
Gambia,women_iron,30,lambda.min,14,0.6573,tclim_pdsi_t0|dhs_hh_mean_hhsize|dhs_w_secondary_plus|lst_night_m07_t0|lcover_grass_frac_t0|dhs_w_literate|lst_night_m03_t0|dhs_w_listens_radio|aef_A01|dhs_w_edu_years_mean|aef_A52|soil_calcium_stdev_20_50
Gambia,women_iron,30,lambda.1se,9,0.3292,tclim_pdsi_t0|dhs_w_secondary_plus|aef_A01|lst_night_m03_t0|dhs_w_literate|dhs_w_edu_years_mean|tclim_vpd_t0|lst_night_m07_t0|lst_night_m06_t0
Ghana,child_vitA,75,lambda.min,8,0.2375,dhs_c_under5_death|dhs_CN_ANMC_C_ANY|soil_iron_stdev_0_20|dhs_HA_HIVP_B_HIV|spam_share_cereals|access_healthcare_min|soilgrids_silt|dhs_c_fever_2wk
Ghana,child_vitA,75,lambda.1se,3,0.0399,dhs_CN_ANMC_C_ANY|dhs_c_under5_death|dhs_HA_HIVP_B_HIV
Ghana,women_vitA,75,lambda.min,0,0,
Ghana,women_vitA,75,lambda.1se,0,0,
Ghana,child_iron,75,lambda.min,19,0.5473,aef_A42|dhs_w_bmi_low|dhs_w_anc_visits|dhs_w_mean_bmi|aef_A40|aef_A57|ndvi_anomaly_t0|dhs_c_low_birthweight|soil_iron_stdev_0_20|dhs_c_diarrhea_2wk|aef_A38|spam_share_cereals
Ghana,child_iron,75,lambda.1se,16,0.2993,aef_A38|aef_A40|lst_night_m08_t0|dhs_AN_NUTS_W_THN|dhs_w_mean_bmi|aef_A02|aef_A42|dhs_w_bmi_low|aef_A45|tclim_tmmx_t0|dhs_w_anc_visits|aef_A59
Ghana,women_iron,75,lambda.min,44,0.7607,tclim_soil_t0|dhs_FP_CUSA_W_MOD|dhs_w_mean_bmi|dhs_c_small_at_birth|soil_aluminium_mean_0_20|spam_share_cereals|soilgrids_cec|dhs_c_dpt1|dhs_hh_improved_water|dhs_CN_NUTS_C_WH2|soil_calcium_stdev_20_50|soilgrids_sand
Ghana,women_iron,75,lambda.1se,15,0.3373,tclim_soil_t0|dhs_FP_CUSA_W_MOD|soilgrids_sand|dhs_CH_VACC_C_DP3|spam_share_cereals|dhs_c_small_at_birth|dhs_w_bmi_low|dhs_hh_improved_water|lst_night_m10_t0|soil_phosphorus_stdev_0_20|soil_calcium_mean_0_20|dhs_w_modern_fp
Ghana,women_folate,75,lambda.min,10,0.2967,soil_calcium_stdev_20_50|dhs_hh_electricity|dhs_AN_NUTS_W_THN|tclim_pdsi_t0|dhs_w_anc_visits|aef_A42|spam_share_oilcrops|spam_prod_roots|aef_A40|dhs_FP_NADA_W_UNT
Ghana,women_folate,75,lambda.1se,0,0,
