country,outcome,arm,n_admin2,pearson_r,r_max,r_share,mae_pp,bias_pp
Gambia,child_vitA,"admin-2 fit (LORO), unbenchmarked",30,0.354,0.671,0.53,11.14,-1.31
Gambia,child_vitA,admin-2 fit + national benchmark,30,0.461,0.671,0.69,17.53,17.02
Gambia,child_vitA,admin-2 fit + ADMIN-1 benchmark (shrunk),30,0.389,0.671,0.58,9.42,1.1
Gambia,child_vitA,admin-2 fit + ADMIN-1 benchmark (hard),30,0.445,0.671,0.66,9.14,1.6
Gambia,women_vitA,"admin-2 fit (LORO), unbenchmarked",30,0.52,0.275,1.89,3.01,-1.53
Gambia,women_vitA,admin-2 fit + national benchmark,30,0.521,0.275,1.89,3.16,0.59
Gambia,women_vitA,admin-2 fit + ADMIN-1 benchmark (shrunk),30,0.515,0.275,1.87,3.13,-1.58
Gambia,women_vitA,admin-2 fit + ADMIN-1 benchmark (hard),30,0.519,0.275,1.89,2.94,-0.65
Gambia,child_iron,"admin-2 fit (LORO), unbenchmarked",30,0.591,0.565,1.05,9.38,0.98
Gambia,child_iron,admin-2 fit + national benchmark,30,0.587,0.565,1.04,14.53,-11.62
Gambia,child_iron,admin-2 fit + ADMIN-1 benchmark (shrunk),30,0.679,0.565,1.2,10.08,-4.95
Gambia,child_iron,admin-2 fit + ADMIN-1 benchmark (hard),30,0.663,0.565,1.17,8.93,0.25
Gambia,women_iron,"admin-2 fit (LORO), unbenchmarked",30,0.753,0.706,1.07,8.61,-0.07
Gambia,women_iron,admin-2 fit + national benchmark,30,0.756,0.706,1.07,9.52,-6.06
Gambia,women_iron,admin-2 fit + ADMIN-1 benchmark (shrunk),30,0.731,0.706,1.03,9.69,-5.43
Gambia,women_iron,admin-2 fit + ADMIN-1 benchmark (hard),30,0.753,0.706,1.07,9.15,-2.46
Ghana,child_vitA,"admin-2 fit (LORO), unbenchmarked",75,0.295,0.03,9.8,10.35,-3.95
Ghana,child_vitA,admin-2 fit + national benchmark,75,0.3,0.03,9.95,11.09,4.11
Ghana,child_vitA,admin-2 fit + ADMIN-1 benchmark (shrunk),75,0.317,0.03,10.51,9.84,2.78
Ghana,child_vitA,admin-2 fit + ADMIN-1 benchmark (hard),75,0.41,0.03,13.61,10.04,4.09
Ghana,women_vitA,"admin-2 fit (LORO), unbenchmarked",75,0.055,0,NA,2.17,-0.8
Ghana,women_vitA,admin-2 fit + national benchmark,75,0.056,0,NA,2.49,-0.33
Ghana,women_vitA,admin-2 fit + ADMIN-1 benchmark (shrunk),75,-0.087,0,NA,2.42,-0.45
Ghana,women_vitA,admin-2 fit + ADMIN-1 benchmark (hard),75,0.291,0,NA,2.6,0.18
Ghana,child_iron,"admin-2 fit (LORO), unbenchmarked",75,0.443,0.672,0.66,14.17,-5.13
Ghana,child_iron,admin-2 fit + national benchmark,75,0.459,0.672,0.68,14.65,3.62
Ghana,child_iron,admin-2 fit + ADMIN-1 benchmark (shrunk),75,0.751,0.672,1.12,10.11,1.94
Ghana,child_iron,admin-2 fit + ADMIN-1 benchmark (hard),75,0.759,0.672,1.13,10.42,2.78
