panel,surveys,countries,sd_country,sd_method,sd_resid,sd_sampling,r_max_report,r_max_standardised,best_r,r_share
Vitamin A | Preschool-age children,528,70,1.411,0.564,0,0.816,0.818,0.866,0.655,0.8
Zinc | Preschool-age children,219,30,1.13,0.468,0.254,0.207,0.892,0.96,0.409,0.46
Vitamin A | Non-pregnant women (NPW),93,22,1.232,1.996,0,0.409,0.517,0.949,-0.008,-0.02
Folate | Non-pregnant women (NPW),184,28,1.764,0.95,0.442,0.331,0.849,0.954,0.529,0.62
