country,outcome,arm,n_units,n_scored,r,mae_pp,level
Gambia,child_vitA,null (train mean),30,30,-0.64,12.28,admin-2
Gambia,child_vitA,spatial only,30,30,0.536,9.29,admin-2
Gambia,child_vitA,covariates,30,30,0.473,9.8,admin-2
Gambia,child_vitA,NOT ESTIMABLE,6,0,NA,NA,admin-1
Gambia,women_vitA,null (train mean),30,30,-0.708,5.96,admin-2
Gambia,women_vitA,spatial only,30,30,0.499,2.97,admin-2
Gambia,women_vitA,covariates,30,30,0.348,3.65,admin-2
Gambia,women_vitA,NOT ESTIMABLE,6,0,NA,NA,admin-1
Gambia,child_iron,null (train mean),30,30,-0.669,13.27,admin-2
Gambia,child_iron,spatial only,30,30,0.434,11.8,admin-2
Gambia,child_iron,covariates,30,30,0.518,11.01,admin-2
Gambia,child_iron,NOT ESTIMABLE,6,0,NA,NA,admin-1
Gambia,women_iron,null (train mean),30,30,-0.616,14.6,admin-2
Gambia,women_iron,spatial only,30,30,0.634,10.34,admin-2
Gambia,women_iron,covariates,30,30,0.552,10.61,admin-2
Gambia,women_iron,NOT ESTIMABLE,6,0,NA,NA,admin-1
Ghana,child_vitA,null (train mean),75,75,-0.541,12.18,admin-2
Ghana,child_vitA,spatial only,75,75,0.236,9.39,admin-2
Ghana,child_vitA,covariates,75,75,0.324,10.15,admin-2
Ghana,child_vitA,null (train mean),16,16,-0.646,6.92,admin-1
Ghana,child_vitA,spatial only,16,16,0.378,4.7,admin-1
Ghana,child_vitA,covariates,16,16,0.137,5.82,admin-1
Ghana,women_vitA,null (train mean),75,75,-0.558,9.15,admin-2
Ghana,women_vitA,spatial only,75,75,0.004,2.21,admin-2
Ghana,women_vitA,covariates,75,75,-0.057,6.28,admin-2
Ghana,women_vitA,null (train mean),16,16,-0.643,1.84,admin-1
Ghana,women_vitA,spatial only,16,16,0.616,1.03,admin-1
Ghana,women_vitA,covariates,16,16,0.537,1.13,admin-1
Ghana,child_iron,null (train mean),75,75,-0.692,19.05,admin-2
Ghana,child_iron,spatial only,75,75,0.556,12.59,admin-2
Ghana,child_iron,covariates,75,75,0.602,12.14,admin-2
Ghana,child_iron,null (train mean),16,16,-0.752,15.45,admin-1
Ghana,child_iron,spatial only,16,16,0.562,9.3,admin-1
Ghana,child_iron,covariates,16,16,0.393,11.29,admin-1
Ghana,women_iron,null (train mean),75,75,-0.583,12.39,admin-2
Ghana,women_iron,spatial only,75,75,0.533,8.14,admin-2
Ghana,women_iron,covariates,75,75,0.394,9.55,admin-2
Ghana,women_iron,null (train mean),16,16,-0.558,8.88,admin-1
Ghana,women_iron,spatial only,16,16,0.526,4.94,admin-1
Ghana,women_iron,covariates,16,16,0.52,6.8,admin-1
Ghana,women_folate,null (train mean),75,75,-0.535,25.34,admin-2
Ghana,women_folate,spatial only,75,75,0.479,21.81,admin-2
Ghana,women_folate,covariates,75,75,0.324,23.13,admin-2
Ghana,women_folate,null (train mean),16,16,-0.468,18.31,admin-1
Ghana,women_folate,spatial only,16,16,0.695,14.51,admin-1
Ghana,women_folate,covariates,16,16,0.462,17.76,admin-1
Ghana,women_b12,null (train mean),75,75,-0.364,18.93,admin-2
Ghana,women_b12,spatial only,75,75,0.396,9.67,admin-2
Ghana,women_b12,covariates,75,75,0.272,15.84,admin-2
Ghana,women_b12,null (train mean),16,16,-0.831,13.92,admin-1
Ghana,women_b12,spatial only,16,16,-0.2,7.82,admin-1
Ghana,women_b12,covariates,16,16,0.655,5.58,admin-1
SierraLeone,child_vitA,null (train mean),14,14,-0.741,5.65,admin-2
SierraLeone,child_vitA,spatial only,14,14,-0.284,5.5,admin-2
SierraLeone,child_vitA,covariates,14,14,-0.345,5.71,admin-2
SierraLeone,child_vitA,NOT ESTIMABLE,4,0,NA,NA,admin-1
SierraLeone,women_vitA,null (train mean),14,14,-0.68,2.09,admin-2
SierraLeone,women_vitA,spatial only,14,14,-0.758,1.48,admin-2
SierraLeone,women_vitA,covariates,14,14,-0.149,1.78,admin-2
SierraLeone,women_vitA,NOT ESTIMABLE,4,0,NA,NA,admin-1
SierraLeone,child_iron,null (train mean),14,14,-0.778,5.2,admin-2
SierraLeone,child_iron,spatial only,14,14,0.202,3.85,admin-2
SierraLeone,child_iron,covariates,14,14,0.044,3.99,admin-2
SierraLeone,child_iron,NOT ESTIMABLE,4,0,NA,NA,admin-1
SierraLeone,women_iron,null (train mean),14,14,-0.825,5.66,admin-2
SierraLeone,women_iron,spatial only,14,14,-0.369,6.75,admin-2
SierraLeone,women_iron,covariates,14,14,-0.099,5.61,admin-2
SierraLeone,women_iron,NOT ESTIMABLE,4,0,NA,NA,admin-1
SierraLeone,women_folate,null (train mean),14,14,-0.744,9.76,admin-2
SierraLeone,women_folate,spatial only,14,14,0.043,9.09,admin-2
SierraLeone,women_folate,covariates,14,14,-0.287,9.9,admin-2
SierraLeone,women_folate,NOT ESTIMABLE,4,0,NA,NA,admin-1
SierraLeone,women_b12,null (train mean),14,14,-0.768,0.97,admin-2
SierraLeone,women_b12,spatial only,14,14,-0.516,0.87,admin-2
SierraLeone,women_b12,covariates,14,14,0.135,0.84,admin-2
SierraLeone,women_b12,NOT ESTIMABLE,4,0,NA,NA,admin-1
Malawi,child_vitA,null (train mean),87,87,-0.578,13.75,admin-2
Malawi,child_vitA,spatial only,87,87,0.16,7.93,admin-2
Malawi,child_vitA,covariates,87,87,0.032,10.94,admin-2
Malawi,child_vitA,null (train mean),27,27,-0.764,6.7,admin-1
Malawi,child_vitA,spatial only,27,27,0.141,5.72,admin-1
Malawi,child_vitA,covariates,27,27,0.388,4.89,admin-1
Malawi,women_vitA,null (train mean),87,87,-0.535,10.85,admin-2
Malawi,women_vitA,spatial only,87,87,0.156,2.16,admin-2
Malawi,women_vitA,covariates,87,87,-0.165,6.18,admin-2
Malawi,women_vitA,null (train mean),27,27,-0.66,3.09,admin-1
Malawi,women_vitA,spatial only,27,27,0.397,1.73,admin-1
Malawi,women_vitA,covariates,27,27,0.913,1.16,admin-1
Malawi,child_iron,null (train mean),87,87,-0.732,14.33,admin-2
Malawi,child_iron,spatial only,87,87,0.112,11.61,admin-2
Malawi,child_iron,covariates,87,87,0.418,10.87,admin-2
Malawi,child_iron,null (train mean),27,27,-0.766,9.59,admin-1
Malawi,child_iron,spatial only,27,27,-0.098,9.78,admin-1
Malawi,child_iron,covariates,27,27,0.493,7.95,admin-1
Malawi,women_iron,null (train mean),87,87,-0.566,16.78,admin-2
Malawi,women_iron,spatial only,87,87,0.077,13.93,admin-2
Malawi,women_iron,covariates,87,87,0.158,14.57,admin-2
Malawi,women_iron,null (train mean),27,27,-0.729,7.11,admin-1
Malawi,women_iron,spatial only,27,27,0.063,6.43,admin-1
Malawi,women_iron,covariates,27,27,0.644,4.44,admin-1
Malawi,women_folate,null (train mean),87,87,-0.522,21.87,admin-2
Malawi,women_folate,spatial only,87,87,0.3,16.05,admin-2
Malawi,women_folate,covariates,87,87,0.354,18.14,admin-2
Malawi,women_folate,null (train mean),27,27,-0.768,16.58,admin-1
Malawi,women_folate,spatial only,27,27,-0.364,14.81,admin-1
Malawi,women_folate,covariates,27,27,0.657,10.3,admin-1
Malawi,women_b12,null (train mean),87,87,-0.446,11.71,admin-2
Malawi,women_b12,spatial only,87,87,0.277,3.51,admin-2
Malawi,women_b12,covariates,87,87,0.213,7.17,admin-2
Malawi,women_b12,null (train mean),27,27,-0.657,5.99,admin-1
Malawi,women_b12,spatial only,27,27,0.261,2.94,admin-1
Malawi,women_b12,covariates,27,27,0.926,1.73,admin-1
Malawi,child_zinc,null (train mean),87,87,-0.675,20.19,admin-2
Malawi,child_zinc,spatial only,87,87,-0.062,20.54,admin-2
Malawi,child_zinc,covariates,87,87,0.05,20.06,admin-2
Malawi,child_zinc,null (train mean),27,27,-0.869,13,admin-1
Malawi,child_zinc,spatial only,27,27,0.003,13.42,admin-1
Malawi,child_zinc,covariates,27,27,-0.302,15.28,admin-1
Malawi,women_zinc,null (train mean),87,87,-0.656,23.98,admin-2
Malawi,women_zinc,spatial only,87,87,-0.347,23.91,admin-2
Malawi,women_zinc,covariates,87,87,-0.362,24.3,admin-2
Malawi,women_zinc,null (train mean),27,27,-0.824,15.39,admin-1
Malawi,women_zinc,spatial only,27,27,-0.053,16.14,admin-1
Malawi,women_zinc,covariates,27,27,-0.306,17.01,admin-1
