"outcome","config","test_country","auc"
"child_vitA","lasso pooled-zscore","Gambia",0.626
"child_vitA","lasso pooled-zscore","Ghana",0.584
"child_vitA","lasso pooled-zscore","SierraLeone",0.547
"child_vitA","lasso pooled-zscore","Malawi",0.518
"child_vitA","lasso percountry-rank","Gambia",0.43
"child_vitA","lasso percountry-rank","Ghana",0.592
"child_vitA","lasso percountry-rank","SierraLeone",0.494
"child_vitA","lasso percountry-rank","Malawi",0.5
"child_vitA","ranger pooled-raw","Gambia",0.598
"child_vitA","ranger pooled-raw","Ghana",0.584
"child_vitA","ranger pooled-raw","SierraLeone",0.499
"child_vitA","ranger pooled-raw","Malawi",0.526
"child_vitA","ranger percountry-rank","Gambia",0.557
"child_vitA","ranger percountry-rank","Ghana",0.604
"child_vitA","ranger percountry-rank","SierraLeone",0.476
"child_vitA","ranger percountry-rank","Malawi",0.48
"women_iron","lasso pooled-zscore","Gambia",0.616
"women_iron","lasso pooled-zscore","Ghana",0.618
"women_iron","lasso pooled-zscore","SierraLeone",0.484
"women_iron","lasso pooled-zscore","Malawi",0.473
"women_iron","lasso percountry-rank","Gambia",0.62
"women_iron","lasso percountry-rank","Ghana",0.573
"women_iron","lasso percountry-rank","SierraLeone",0.498
"women_iron","lasso percountry-rank","Malawi",0.468
"women_iron","ranger pooled-raw","Gambia",0.475
"women_iron","ranger pooled-raw","Ghana",0.568
"women_iron","ranger pooled-raw","SierraLeone",0.45
"women_iron","ranger pooled-raw","Malawi",0.406
"women_iron","ranger percountry-rank","Gambia",0.486
"women_iron","ranger percountry-rank","Ghana",0.597
"women_iron","ranger percountry-rank","SierraLeone",0.474
"women_iron","ranger percountry-rank","Malawi",0.497
"child_iron","lasso pooled-zscore","Gambia",0.578
"child_iron","lasso pooled-zscore","Ghana",0.586
"child_iron","lasso pooled-zscore","SierraLeone",0.471
"child_iron","lasso pooled-zscore","Malawi",0.538
"child_iron","lasso percountry-rank","Gambia",0.555
"child_iron","lasso percountry-rank","Ghana",0.589
"child_iron","lasso percountry-rank","SierraLeone",0.554
"child_iron","lasso percountry-rank","Malawi",0.436
"child_iron","ranger pooled-raw","Gambia",0.497
"child_iron","ranger pooled-raw","Ghana",0.616
"child_iron","ranger pooled-raw","SierraLeone",0.593
"child_iron","ranger pooled-raw","Malawi",0.504
"child_iron","ranger percountry-rank","Gambia",0.482
"child_iron","ranger percountry-rank","Ghana",0.661
"child_iron","ranger percountry-rank","SierraLeone",0.585
"child_iron","ranger percountry-rank","Malawi",0.498
