"outcome","country","strategy","auc"
"child_vitA","Gambia","full",0.606
"child_vitA","Gambia","full_lasso",0.614
"child_vitA","Gambia","pca_dom3",0.594
"child_vitA","Gambia","pca_dom3_ls",0.629
"child_vitA","Gambia","pca_glob10",0.585
"child_vitA","Gambia","clusterres",0.608
"child_vitA","Ghana","full",0.542
"child_vitA","Ghana","full_lasso",0.553
"child_vitA","Ghana","pca_dom3",0.559
"child_vitA","Ghana","pca_dom3_ls",0.58
"child_vitA","Ghana","pca_glob10",0.53
"child_vitA","Ghana","clusterres",0.553
"child_vitA","SierraLeone","full",0.494
"child_vitA","SierraLeone","full_lasso",0.472
"child_vitA","SierraLeone","pca_dom3",0.511
"child_vitA","SierraLeone","pca_dom3_ls",0.477
"child_vitA","SierraLeone","pca_glob10",0.501
"child_vitA","SierraLeone","clusterres",0.447
"child_vitA","Malawi","full",0.532
"child_vitA","Malawi","full_lasso",0.529
"child_vitA","Malawi","pca_dom3",0.489
"child_vitA","Malawi","pca_dom3_ls",0.481
"child_vitA","Malawi","pca_glob10",0.49
"child_vitA","Malawi","clusterres",0.509
"women_iron","Gambia","full",0.591
"women_iron","Gambia","full_lasso",0.601
"women_iron","Gambia","pca_dom3",0.597
"women_iron","Gambia","pca_dom3_ls",0.61
"women_iron","Gambia","pca_glob10",0.58
"women_iron","Gambia","clusterres",0.61
"women_iron","Ghana","full",0.587
"women_iron","Ghana","full_lasso",0.511
"women_iron","Ghana","pca_dom3",0.598
"women_iron","Ghana","pca_dom3_ls",0.494
"women_iron","Ghana","pca_glob10",0.59
"women_iron","Ghana","clusterres",0.596
"women_iron","SierraLeone","full",0.565
"women_iron","SierraLeone","full_lasso",0.537
"women_iron","SierraLeone","pca_dom3",0.534
"women_iron","SierraLeone","pca_dom3_ls",0.5
"women_iron","SierraLeone","pca_glob10",0.575
"women_iron","SierraLeone","clusterres",0.557
"women_iron","Malawi","full",0.523
"women_iron","Malawi","full_lasso",0.495
"women_iron","Malawi","pca_dom3",0.503
"women_iron","Malawi","pca_dom3_ls",0.52
"women_iron","Malawi","pca_glob10",0.463
"women_iron","Malawi","clusterres",0.556
"child_iron","Gambia","full",0.518
"child_iron","Gambia","full_lasso",0.531
"child_iron","Gambia","pca_dom3",0.513
"child_iron","Gambia","pca_dom3_ls",0.541
"child_iron","Gambia","pca_glob10",0.523
"child_iron","Gambia","clusterres",0.524
"child_iron","Ghana","full",0.683
"child_iron","Ghana","full_lasso",0.666
"child_iron","Ghana","pca_dom3",0.676
"child_iron","Ghana","pca_dom3_ls",0.673
"child_iron","Ghana","pca_glob10",0.686
"child_iron","Ghana","clusterres",0.669
"child_iron","SierraLeone","full",0.486
"child_iron","SierraLeone","full_lasso",0.52
"child_iron","SierraLeone","pca_dom3",0.477
"child_iron","SierraLeone","pca_dom3_ls",0.339
"child_iron","SierraLeone","pca_glob10",0.47
"child_iron","SierraLeone","clusterres",0.515
"child_iron","Malawi","full",0.561
"child_iron","Malawi","full_lasso",0.521
"child_iron","Malawi","pca_dom3",0.563
"child_iron","Malawi","pca_dom3_ls",0.545
"child_iron","Malawi","pca_glob10",0.57
"child_iron","Malawi","clusterres",0.544
