"outcome","domain","n_feat","mean_spearman"
"child_vitA","IHME",116,0.161
"child_vitA","MAP",30,-0.064
"child_vitA","GEE",270,0.28
"child_vitA","FSEC",10,-0.016
"child_vitA","SOIL",7,NA
"child_vitA","ALL",433,0.272
"women_iron","IHME",116,0.3
"women_iron","MAP",30,0.242
"women_iron","GEE",270,0.094
"women_iron","FSEC",10,0.111
"women_iron","SOIL",7,NA
"women_iron","ALL",433,0.274
"child_iron","IHME",116,0.21
"child_iron","MAP",30,-0.048
"child_iron","GEE",270,0.065
"child_iron","FSEC",10,0.009
"child_iron","SOIL",7,NA
"child_iron","ALL",433,0.165
