"outcome","config","test_country","auc"
"child_vitA","full lasso pooled","Gambia",0.626
"child_vitA","full lasso pooled","Ghana",0.584
"child_vitA","full lasso pooled","SierraLeone",0.547
"child_vitA","full lasso pooled","Malawi",0.518
"child_vitA","full lasso pcNorm","Gambia",0.43
"child_vitA","full lasso pcNorm","Ghana",0.592
"child_vitA","full lasso pcNorm","SierraLeone",0.494
"child_vitA","full lasso pcNorm","Malawi",0.5
"child_vitA","pcaDom3 lasso pooled","Gambia",0.5
"child_vitA","pcaDom3 lasso pooled","Ghana",0.591
"child_vitA","pcaDom3 lasso pooled","SierraLeone",0.48
"child_vitA","pcaDom3 lasso pooled","Malawi",0.527
"child_vitA","pcaDom3 lasso pcNorm","Gambia",0.501
"child_vitA","pcaDom3 lasso pcNorm","Ghana",0.549
"child_vitA","pcaDom3 lasso pcNorm","SierraLeone",0.51
"child_vitA","pcaDom3 lasso pcNorm","Malawi",0.517
"child_vitA","full ranger pooled","Gambia",0.617
"child_vitA","full ranger pooled","Ghana",0.558
"child_vitA","full ranger pooled","SierraLeone",0.483
"child_vitA","full ranger pooled","Malawi",0.506
"child_vitA","pcaDom3 ranger pooled","Gambia",0.558
"child_vitA","pcaDom3 ranger pooled","Ghana",0.516
"child_vitA","pcaDom3 ranger pooled","SierraLeone",0.495
"child_vitA","pcaDom3 ranger pooled","Malawi",0.466
"child_vitA","pcaDom3 ranger pcNorm","Gambia",0.471
"child_vitA","pcaDom3 ranger pcNorm","Ghana",0.466
"child_vitA","pcaDom3 ranger pcNorm","SierraLeone",0.455
"child_vitA","pcaDom3 ranger pcNorm","Malawi",0.492
"women_iron","full lasso pooled","Gambia",0.616
"women_iron","full lasso pooled","Ghana",0.618
"women_iron","full lasso pooled","SierraLeone",0.484
"women_iron","full lasso pooled","Malawi",0.473
"women_iron","full lasso pcNorm","Gambia",0.62
"women_iron","full lasso pcNorm","Ghana",0.573
"women_iron","full lasso pcNorm","SierraLeone",0.498
"women_iron","full lasso pcNorm","Malawi",0.468
"women_iron","pcaDom3 lasso pooled","Gambia",0.5
"women_iron","pcaDom3 lasso pooled","Ghana",0.551
"women_iron","pcaDom3 lasso pooled","SierraLeone",0.487
"women_iron","pcaDom3 lasso pooled","Malawi",0.432
"women_iron","pcaDom3 lasso pcNorm","Gambia",0.618
"women_iron","pcaDom3 lasso pcNorm","Ghana",0.5
"women_iron","pcaDom3 lasso pcNorm","SierraLeone",0.509
"women_iron","pcaDom3 lasso pcNorm","Malawi",0.46
"women_iron","full ranger pooled","Gambia",0.42
"women_iron","full ranger pooled","Ghana",0.589
"women_iron","full ranger pooled","SierraLeone",0.458
"women_iron","full ranger pooled","Malawi",0.379
"women_iron","pcaDom3 ranger pooled","Gambia",0.581
"women_iron","pcaDom3 ranger pooled","Ghana",0.583
"women_iron","pcaDom3 ranger pooled","SierraLeone",0.537
"women_iron","pcaDom3 ranger pooled","Malawi",0.526
"women_iron","pcaDom3 ranger pcNorm","Gambia",0.447
"women_iron","pcaDom3 ranger pcNorm","Ghana",0.574
"women_iron","pcaDom3 ranger pcNorm","SierraLeone",0.433
"women_iron","pcaDom3 ranger pcNorm","Malawi",0.391
"child_iron","full lasso pooled","Gambia",0.578
"child_iron","full lasso pooled","Ghana",0.586
"child_iron","full lasso pooled","SierraLeone",0.471
"child_iron","full lasso pooled","Malawi",0.538
"child_iron","full lasso pcNorm","Gambia",0.555
"child_iron","full lasso pcNorm","Ghana",0.589
"child_iron","full lasso pcNorm","SierraLeone",0.554
"child_iron","full lasso pcNorm","Malawi",0.436
"child_iron","pcaDom3 lasso pooled","Gambia",0.545
"child_iron","pcaDom3 lasso pooled","Ghana",0.67
"child_iron","pcaDom3 lasso pooled","SierraLeone",0.489
"child_iron","pcaDom3 lasso pooled","Malawi",0.511
"child_iron","pcaDom3 lasso pcNorm","Gambia",0.564
"child_iron","pcaDom3 lasso pcNorm","Ghana",0.58
"child_iron","pcaDom3 lasso pcNorm","SierraLeone",0.581
"child_iron","pcaDom3 lasso pcNorm","Malawi",0.443
"child_iron","full ranger pooled","Gambia",0.466
"child_iron","full ranger pooled","Ghana",0.621
"child_iron","full ranger pooled","SierraLeone",0.448
"child_iron","full ranger pooled","Malawi",0.532
"child_iron","pcaDom3 ranger pooled","Gambia",0.524
"child_iron","pcaDom3 ranger pooled","Ghana",0.626
"child_iron","pcaDom3 ranger pooled","SierraLeone",0.436
"child_iron","pcaDom3 ranger pooled","Malawi",0.499
"child_iron","pcaDom3 ranger pcNorm","Gambia",0.509
"child_iron","pcaDom3 ranger pcNorm","Ghana",0.601
"child_iron","pcaDom3 ranger pcNorm","SierraLeone",0.613
"child_iron","pcaDom3 ranger pcNorm","Malawi",0.545
