"country","outcome","variant","auc","p","sec"
"Gambia","women_iron","current",0.609,163,73.6
"Gambia","women_iron","rank",0.6,163,129.7
"Gambia","women_iron","pca",0.616,15,25.6
"Gambia","women_iron","rankpca",0.613,15,34.4
"Ghana","child_vitA","current",0.544,291,93
"Ghana","child_vitA","rank",0.548,291,76.3
"Ghana","child_vitA","pca",0.574,21,35
"Ghana","child_vitA","rankpca",0.557,18,39.7
"Ghana","child_iron","current",0.702,350,85.9
"Ghana","child_iron","rank",0.705,350,80.6
"Ghana","child_iron","pca",0.706,24,19.1
"Ghana","child_iron","rankpca",0.704,27,20.1
"Malawi","child_vitA","current",0.54,135,48.4
"Malawi","child_vitA","rank",0.552,135,48.6
"Malawi","child_vitA","pca",0.491,4,9
"Malawi","child_vitA","rankpca",0.487,9,10.9
"Gambia","child_iron","current",0.524,135,44.4
"Gambia","child_iron","rank",0.524,135,60.1
"Gambia","child_iron","pca",0.498,12,15.5
"Gambia","child_iron","rankpca",0.529,12,14
