"outcome","variant","country","auc","model"
"child_vitA","median","Gambia",0.605,"ranger"
"child_vitA","median","Ghana",0.541,"ranger"
"child_vitA","median","SierraLeone",0.494,"ranger"
"child_vitA","median","Malawi",0.533,"ranger"
"child_vitA","median+ind","Gambia",0.604,"ranger"
"child_vitA","median+ind","Ghana",0.535,"ranger"
"child_vitA","median+ind","SierraLeone",0.491,"ranger"
"child_vitA","median+ind","Malawi",0.534,"ranger"
"child_vitA","mean","Gambia",0.602,"ranger"
"child_vitA","mean","Ghana",0.54,"ranger"
"child_vitA","mean","SierraLeone",0.494,"ranger"
"child_vitA","mean","Malawi",0.531,"ranger"
"child_vitA","zero","Gambia",0.604,"ranger"
"child_vitA","zero","Ghana",0.542,"ranger"
"child_vitA","zero","SierraLeone",0.495,"ranger"
"child_vitA","zero","Malawi",0.528,"ranger"
"child_vitA","knn","Gambia",0.606,"ranger"
"child_vitA","knn","Ghana",0.543,"ranger"
"child_vitA","knn","SierraLeone",0.496,"ranger"
"child_vitA","knn","Malawi",0.532,"ranger"
"child_vitA","median+corr0.85","Gambia",0.6,"ranger"
"child_vitA","median+corr0.85","Ghana",0.534,"ranger"
"child_vitA","median+corr0.85","SierraLeone",0.511,"ranger"
"child_vitA","median+corr0.85","Malawi",0.533,"ranger"
"child_vitA","median+ind+corr","Gambia",0.598,"ranger"
"child_vitA","median+ind+corr","Ghana",0.529,"ranger"
"child_vitA","median+ind+corr","SierraLeone",0.508,"ranger"
"child_vitA","median+ind+corr","Malawi",0.537,"ranger"
"women_iron","median","Gambia",0.59,"ranger"
"women_iron","median","Ghana",0.587,"ranger"
"women_iron","median","SierraLeone",0.565,"ranger"
"women_iron","median","Malawi",0.523,"ranger"
"women_iron","median+ind","Gambia",0.588,"ranger"
"women_iron","median+ind","Ghana",0.587,"ranger"
"women_iron","median+ind","SierraLeone",0.564,"ranger"
"women_iron","median+ind","Malawi",0.511,"ranger"
"women_iron","mean","Gambia",0.591,"ranger"
"women_iron","mean","Ghana",0.588,"ranger"
"women_iron","mean","SierraLeone",0.563,"ranger"
"women_iron","mean","Malawi",0.523,"ranger"
"women_iron","zero","Gambia",0.594,"ranger"
"women_iron","zero","Ghana",0.584,"ranger"
"women_iron","zero","SierraLeone",0.574,"ranger"
"women_iron","zero","Malawi",0.526,"ranger"
"women_iron","knn","Gambia",0.59,"ranger"
"women_iron","knn","Ghana",0.586,"ranger"
"women_iron","knn","SierraLeone",0.562,"ranger"
"women_iron","knn","Malawi",0.528,"ranger"
"women_iron","median+corr0.85","Gambia",0.583,"ranger"
"women_iron","median+corr0.85","Ghana",0.565,"ranger"
"women_iron","median+corr0.85","SierraLeone",0.549,"ranger"
"women_iron","median+corr0.85","Malawi",0.516,"ranger"
"women_iron","median+ind+corr","Gambia",0.583,"ranger"
"women_iron","median+ind+corr","Ghana",0.574,"ranger"
"women_iron","median+ind+corr","SierraLeone",0.552,"ranger"
"women_iron","median+ind+corr","Malawi",0.507,"ranger"
"child_iron","median","Gambia",0.518,"ranger"
"child_iron","median","Ghana",0.683,"ranger"
"child_iron","median","SierraLeone",0.486,"ranger"
"child_iron","median","Malawi",0.562,"ranger"
"child_iron","median+ind","Gambia",0.518,"ranger"
"child_iron","median+ind","Ghana",0.689,"ranger"
"child_iron","median+ind","SierraLeone",0.482,"ranger"
"child_iron","median+ind","Malawi",0.551,"ranger"
"child_iron","mean","Gambia",0.518,"ranger"
"child_iron","mean","Ghana",0.68,"ranger"
"child_iron","mean","SierraLeone",0.489,"ranger"
"child_iron","mean","Malawi",0.563,"ranger"
"child_iron","zero","Gambia",0.522,"ranger"
"child_iron","zero","Ghana",0.681,"ranger"
"child_iron","zero","SierraLeone",0.48,"ranger"
"child_iron","zero","Malawi",0.559,"ranger"
"child_iron","knn","Gambia",0.516,"ranger"
"child_iron","knn","Ghana",0.684,"ranger"
"child_iron","knn","SierraLeone",0.485,"ranger"
