"outcome","recipe","country","auc"
"child_vitA","raw","Gambia",0.605
"child_vitA","raw","Ghana",0.541
"child_vitA","raw","SierraLeone",0.494
"child_vitA","raw","Malawi",0.533
"child_vitA","seasonality","Gambia",0.603
"child_vitA","seasonality","Ghana",0.526
"child_vitA","seasonality","SierraLeone",0.492
"child_vitA","seasonality","Malawi",0.534
"child_vitA","drop_counts","Gambia",0.604
"child_vitA","drop_counts","Ghana",0.534
"child_vitA","drop_counts","SierraLeone",0.498
"child_vitA","drop_counts","Malawi",0.534
"child_vitA","season_nocnt","Gambia",0.601
"child_vitA","season_nocnt","Ghana",0.538
"child_vitA","season_nocnt","SierraLeone",0.498
"child_vitA","season_nocnt","Malawi",0.533
"women_iron","raw","Gambia",0.59
"women_iron","raw","Ghana",0.587
"women_iron","raw","SierraLeone",0.565
"women_iron","raw","Malawi",0.523
"women_iron","seasonality","Gambia",0.591
"women_iron","seasonality","Ghana",0.582
"women_iron","seasonality","SierraLeone",0.571
"women_iron","seasonality","Malawi",0.521
"women_iron","drop_counts","Gambia",0.589
"women_iron","drop_counts","Ghana",0.588
"women_iron","drop_counts","SierraLeone",0.563
"women_iron","drop_counts","Malawi",0.501
"women_iron","season_nocnt","Gambia",0.581
"women_iron","season_nocnt","Ghana",0.58
"women_iron","season_nocnt","SierraLeone",0.568
"women_iron","season_nocnt","Malawi",0.497
"child_iron","raw","Gambia",0.518
"child_iron","raw","Ghana",0.683
"child_iron","raw","SierraLeone",0.486
"child_iron","raw","Malawi",0.562
"child_iron","seasonality","Gambia",0.52
"child_iron","seasonality","Ghana",0.689
"child_iron","seasonality","SierraLeone",0.481
"child_iron","seasonality","Malawi",0.549
"child_iron","drop_counts","Gambia",0.524
"child_iron","drop_counts","Ghana",0.685
"child_iron","drop_counts","SierraLeone",0.489
"child_iron","drop_counts","Malawi",0.556
"child_iron","season_nocnt","Gambia",0.525
"child_iron","season_nocnt","Ghana",0.693
"child_iron","season_nocnt","SierraLeone",0.492
"child_iron","season_nocnt","Malawi",0.547
