"outcome","recipe","test_country","auc"
"child_vitA","raw","Gambia",0.6
"child_vitA","raw","Ghana",0.567
"child_vitA","raw","SierraLeone",0.495
"child_vitA","raw","Malawi",0.51
"child_vitA","seasonality","Gambia",0.602
"child_vitA","seasonality","Ghana",0.542
"child_vitA","seasonality","SierraLeone",0.47
"child_vitA","seasonality","Malawi",0.54
"child_vitA","drop_counts","Gambia",0.604
"child_vitA","drop_counts","Ghana",0.586
"child_vitA","drop_counts","SierraLeone",0.462
"child_vitA","drop_counts","Malawi",0.518
"child_vitA","season_nocnt","Gambia",0.598
"child_vitA","season_nocnt","Ghana",0.524
"child_vitA","season_nocnt","SierraLeone",0.486
"child_vitA","season_nocnt","Malawi",0.545
"women_iron","raw","Gambia",0.454
"women_iron","raw","Ghana",0.567
"women_iron","raw","SierraLeone",0.438
"women_iron","raw","Malawi",0.404
"women_iron","seasonality","Gambia",0.427
"women_iron","seasonality","Ghana",0.585
"women_iron","seasonality","SierraLeone",0.411
"women_iron","seasonality","Malawi",0.4
"women_iron","drop_counts","Gambia",0.423
"women_iron","drop_counts","Ghana",0.592
"women_iron","drop_counts","SierraLeone",0.496
"women_iron","drop_counts","Malawi",0.4
"women_iron","season_nocnt","Gambia",0.422
"women_iron","season_nocnt","Ghana",0.592
"women_iron","season_nocnt","SierraLeone",0.45
"women_iron","season_nocnt","Malawi",0.386
"child_iron","raw","Gambia",0.531
"child_iron","raw","Ghana",0.61
"child_iron","raw","SierraLeone",0.523
"child_iron","raw","Malawi",0.504
"child_iron","seasonality","Gambia",0.48
"child_iron","seasonality","Ghana",0.6
"child_iron","seasonality","SierraLeone",0.489
"child_iron","seasonality","Malawi",0.51
"child_iron","drop_counts","Gambia",0.502
"child_iron","drop_counts","Ghana",0.607
"child_iron","drop_counts","SierraLeone",0.497
"child_iron","drop_counts","Malawi",0.481
"child_iron","season_nocnt","Gambia",0.533
"child_iron","season_nocnt","Ghana",0.562
"child_iron","season_nocnt","SierraLeone",0.515
"child_iron","season_nocnt","Malawi",0.53
