"estimand","target","arm","paired","mean_diff","median_diff","cells_better"
"infill","level","sl_disc",4,-0.0873192436040044,-0.0836484983314794,0
"infill","prev","sl_disc",4,-0.0871058240113782,-0.0709756373287258,0
"region","level","sl_disc",4,-0.0279199110122358,-0.0284760845383759,0
"region","prev","sl_disc",4,-0.250112867330325,-0.236275398746952,0
"infill","level","sl_nnls",4,-0.0647385984427141,-0.0593993325917685,0
"infill","prev","sl_nnls",4,-0.0812698473457187,-0.088510298333087,0
"region","level","sl_nnls",4,-0.0185761957730811,-0.0169076751946607,1
"region","prev","sl_nnls",4,-0.201784725431026,-0.0832765717732597,0
"infill","level","sl_rank_disc",4,-0.0939933259176863,-0.099888765294772,0
"infill","prev","sl_rank_disc",4,-0.0563104165376423,-0.0445363800398745,0
"region","level","sl_rank_disc",4,-0.046718576195773,-0.0533926585094549,1
"region","prev","sl_rank_disc",4,-0.0546529694293722,-0.031260429607166,0
"infill","level","sl_rank_nnls",4,-0.121357063403782,-0.130144605116796,0
"infill","prev","sl_rank_nnls",4,-0.152699061913331,-0.170677909398626,0
"region","level","sl_rank_nnls",4,-0.378086763070078,-0.253392658509455,0
"region","prev","sl_rank_nnls",4,-0.45161837070456,-0.401713207514152,0
"infill","level","sl_lrn_mean",4,-0.870495161934058,-0.949717770052125,0
"infill","prev","sl_lrn_mean",4,-0.827047298886175,-0.795534824389372,0
"region","level","sl_lrn_mean",4,-1.33507928342918,-1.41844836133123,0
"region","prev","sl_lrn_mean",4,-1.24005049266113,-1.22955930520366,0
"infill","level","sl_lrn_lasso",4,-0.168520578420467,-0.171301446051168,0
"infill","prev","sl_lrn_lasso",4,-0.318437291072411,-0.301019646258578,0
"region","level","sl_lrn_lasso",4,-0.298109010011123,-0.260066740823137,0
"region","prev","sl_lrn_lasso",4,-0.503699341921258,-0.524424665645336,0
"infill","level","sl_lrn_enet",4,-0.153503893214683,-0.146607341490545,0
"infill","prev","sl_lrn_enet",4,-0.172068035257652,-0.158527089644881,0
"region","level","sl_lrn_enet",4,-0.263515016685206,-0.263181312569522,0
"region","prev","sl_lrn_enet",4,-0.541770357067371,-0.518871176229194,0
"infill","level","sl_lrn_ridge",4,-0.0854282536151279,-0.0682981090100112,0
"infill","prev","sl_lrn_ridge",4,-0.0707132982822583,-0.0817390230558554,0
"region","level","sl_lrn_ridge",4,-0.053615127919911,-0.0320355951056729,0
"region","prev","sl_lrn_ridge",4,-0.169559190703031,-0.0727349225540328,0
"infill","level","sl_lrn_ranger",4,-0.120022246941046,-0.0820912124582869,0
"infill","prev","sl_lrn_ranger",4,-0.0913879892639744,-0.0920424108830974,0
"region","level","sl_lrn_ranger",4,-0.0487208008898776,-0.0389321468298109,1
"region","prev","sl_lrn_ranger",4,-0.12009736466726,-0.0739317460326779,0
"infill","level","sl_lrn_xgb",4,-0.134593993325918,-0.135928809788654,0
"infill","prev","sl_lrn_xgb",4,-0.19424413621365,-0.20038707367672,0
"region","level","sl_lrn_xgb",4,-0.0410456062291434,-0.0480533926585094,1
"region","prev","sl_lrn_xgb",4,-0.260964433280894,-0.142378648684582,0
"infill","level","sl_lrn_domain_index",4,-0.000667408231368169,-0.00266963292547268,1
"infill","prev","sl_lrn_domain_index",4,0.00186278644399686,0.00244619597150544,2
