"estimand","target","arm","paired","mean_diff","median_diff","cells_better"
"infill","level","sl_lrn_domain_pc1_ols",1,-0.0752773826458037,-0.0752773826458037,0
"infill","prev","sl_lrn_domain_pc1_ols",1,-0.115664104295799,-0.115664104295799,0
"region","level","sl_lrn_domain_pc1_ols",1,-0.215277382645804,-0.215277382645804,0
"region","prev","sl_lrn_domain_pc1_ols",1,-0.0973600206385697,-0.0973600206385697,0
"country","level","sl_lrn_hapc",4,-0.0953981147451554,-0.0471482776025836,1
"country","prev","sl_lrn_hapc",4,-0.140465302906699,-0.0728663141635283,1
"infill","level","sl_lrn_hapc",1,0.0648933143669986,0.0648933143669986,1
"infill","prev","sl_lrn_hapc",1,0.0156769764864568,0.0156769764864568,1
"region","level","sl_lrn_hapc",1,-0.0932005689900427,-0.0932005689900427,0
"region","prev","sl_lrn_hapc",1,-0.129513527967805,-0.129513527967805,0
"country","level","sl_lrn_hapc_lasso",4,-0.035526235037398,-0.0276318195351243,1
"country","prev","sl_lrn_hapc_lasso",4,-0.0439122463233623,-0.0424072561312487,0
"infill","level","sl_lrn_hapc_lasso",1,0.0290896159317212,0.0290896159317212,1
"infill","prev","sl_lrn_hapc_lasso",1,-0.0267707931804251,-0.0267707931804251,0
"region","level","sl_lrn_hapc_lasso",1,-0.0184637268847795,-0.0184637268847795,0
"region","prev","sl_lrn_hapc_lasso",1,-0.0216022453770576,-0.0216022453770576,0
"country","level","sl_lrn_spatial_gam",0,NA,NA,0
"country","prev","sl_lrn_spatial_gam",0,NA,NA,0
"infill","level","sl_lrn_spatial_gam",1,-0.0382361308677098,-0.0382361308677098,0
"infill","prev","sl_lrn_spatial_gam",1,-0.0247790461678015,-0.0247790461678015,0
"region","level","sl_lrn_spatial_gam",1,0.0232432432432432,0.0232432432432432,1
"region","prev","sl_lrn_spatial_gam",1,0.0261425719004577,0.0261425719004577,1
"country","level","sl_lrn_spatial_plus_domain",0,NA,NA,0
"country","prev","sl_lrn_spatial_plus_domain",0,NA,NA,0
"infill","level","sl_lrn_spatial_plus_domain",1,-0.0366714082503556,-0.0366714082503556,0
"infill","prev","sl_lrn_spatial_plus_domain",1,-0.0294478724984676,-0.0294478724984676,0
"region","level","sl_lrn_spatial_plus_domain",1,0.0143100995732575,0.0143100995732575,1
"region","prev","sl_lrn_spatial_plus_domain",1,0.0265423490786187,0.0265423490786187,1
"country","level","ridge_min",4,-0.0517437302734852,-0.0535493098650993,1
"country","prev","ridge_min",4,-0.0736411335963188,-0.0407890564552269,0
"infill","level","ridge_min",1,0.0442674253200569,0.0442674253200569,1
