"rank_from","set","fraction","design","cells","mae","spearman","capture"
"level","climate_soil",0.05,"A1_anchor_rank",22,10.29,0.249,0.211
"level","climate_soil",0.05,"A2_region_anchor_rank",22,12.37,0.231,0.231
"level","climate_soil",0.05,"B_district_survey",22,19.91,0.262,0.295
"level","climate_soil",0.05,"C_regional_survey",22,12.39,0.192,0.22
"level","climate_soil",0.1,"A1_anchor_rank",22,9.76,0.249,0.211
"level","climate_soil",0.1,"A2_region_anchor_rank",22,10.34,0.314,0.246
"level","climate_soil",0.1,"B_district_survey",22,14.06,0.395,0.313
"level","climate_soil",0.1,"C_regional_survey",22,10.35,0.207,0.237
"level","climate_soil",0.15,"A1_anchor_rank",22,9.45,0.249,0.211
"level","climate_soil",0.15,"A2_region_anchor_rank",22,9.49,0.321,0.242
"level","climate_soil",0.15,"B_district_survey",22,12.39,0.422,0.317
"level","climate_soil",0.15,"C_regional_survey",22,9.08,0.266,0.231
"level","climate_soil",0.25,"A1_anchor_rank",22,9.02,0.249,0.211
"level","climate_soil",0.25,"A2_region_anchor_rank",22,8.58,0.37,0.241
"level","climate_soil",0.25,"B_district_survey",22,9.61,0.526,0.34
"level","climate_soil",0.25,"C_regional_survey",22,8.31,0.311,0.225
"level","climate_soil",0.4,"A1_anchor_rank",22,9.15,0.249,0.211
"level","climate_soil",0.4,"A2_region_anchor_rank",22,7.84,0.414,0.252
"level","climate_soil",0.4,"B_district_survey",22,7.01,0.657,0.363
"level","climate_soil",0.4,"C_regional_survey",22,7.68,0.372,0.242
"level","climate_soil",0.6,"A1_anchor_rank",22,9.04,0.249,0.211
"level","climate_soil",0.6,"A2_region_anchor_rank",22,7.41,0.452,0.242
"level","climate_soil",0.6,"B_district_survey",22,4.87,0.786,0.391
"level","climate_soil",0.6,"C_regional_survey",22,7.25,0.421,0.233
"level","climate_soil",0.8,"A1_anchor_rank",22,8.93,0.249,0.211
"level","climate_soil",0.8,"A2_region_anchor_rank",22,6.85,0.484,0.257
"level","climate_soil",0.8,"B_district_survey",22,3.1,0.894,0.399
"level","climate_soil",0.8,"C_regional_survey",22,6.74,0.456,0.243
"level","climate_soil",1,"A1_anchor_rank",22,8.94,0.249,0.211
"level","climate_soil",1,"A2_region_anchor_rank",22,6.68,0.527,0.24
"level","climate_soil",1,"B_district_survey",22,0,1,0.411
"level","climate_soil",1,"C_regional_survey",22,6.49,0.488,0.258
"level","full",0.05,"A1_anchor_rank",22,10.54,0.228,0.173
"level","full",0.05,"A2_region_anchor_rank",22,12.34,0.257,0.197
"level","full",0.05,"B_district_survey",22,19.51,0.273,0.282
"level","full",0.05,"C_regional_survey",22,11.97,0.187,0.227
"level","full",0.1,"A1_anchor_rank",22,9.78,0.228,0.173
"level","full",0.1,"A2_region_anchor_rank",22,10.69,0.296,0.205
"level","full",0.1,"B_district_survey",22,15.55,0.362,0.294
"level","full",0.1,"C_regional_survey",22,10.36,0.2,0.234
"level","full",0.15,"A1_anchor_rank",22,9.44,0.228,0.173
"level","full",0.15,"A2_region_anchor_rank",22,9.05,0.322,0.206
"level","full",0.15,"B_district_survey",22,12.14,0.412,0.334
"level","full",0.15,"C_regional_survey",22,9,0.224,0.233
"level","full",0.25,"A1_anchor_rank",22,9.29,0.228,0.173
