"variant","target","outcome","country","set","n_units","spearman","thin"
"current","prev","women_vitA","Gambia","climate_soil",6,0.0857142857142857,TRUE
"current","prev","women_vitA","Ghana","climate_soil",16,0.327661503847356,FALSE
"current","prev","women_vitA","Malawi","climate_soil",27,0.190841598480144,FALSE
"current","prev","women_vitA","SierraLeone","climate_soil",4,0.4,TRUE
"current","prev","women_vitA","Gambia","csa",6,0.0857142857142857,TRUE
"current","prev","women_vitA","Ghana","csa",16,0.338231229777916,FALSE
"current","prev","women_vitA","Malawi","csa",27,0.279542623125845,FALSE
"current","prev","women_vitA","SierraLeone","csa",4,0.2,TRUE
"current","prev","child_iron","Gambia","full",6,0.657142857142857,TRUE
"current","prev","child_iron","Ghana","full",16,0.732352941176471,FALSE
"current","prev","child_iron","Malawi","full",27,-0.153235653235653,FALSE
"current","prev","child_iron","SierraLeone","full",4,0,TRUE
"current","prev","child_iron","Gambia","climate_soil",6,0.6,TRUE
"current","prev","child_iron","Ghana","climate_soil",16,0.658823529411765,FALSE
"current","prev","child_iron","Malawi","climate_soil",27,-0.166056166056166,FALSE
"current","prev","child_iron","SierraLeone","climate_soil",4,0.4,TRUE
"current","prev","child_iron","Gambia","csa",6,0.6,TRUE
"current","prev","child_iron","Ghana","csa",16,0.617647058823529,FALSE
"current","prev","child_iron","Malawi","csa",27,-0.123931623931624,FALSE
"current","prev","child_iron","SierraLeone","csa",4,0.4,TRUE
"current","prev","women_iron","Gambia","full",6,0.314285714285714,TRUE
"current","prev","women_iron","Ghana","full",16,0.384106064252682,FALSE
"current","prev","women_iron","Malawi","full",27,-0.121489621489621,FALSE
"current","prev","women_iron","SierraLeone","full",4,-0.4,TRUE
"current","prev","women_iron","Gambia","climate_soil",6,0.657142857142857,TRUE
"current","prev","women_iron","Ghana","climate_soil",16,0.650478468964312,FALSE
"current","prev","women_iron","Malawi","climate_soil",27,0.104395604395604,FALSE
"current","prev","women_iron","SierraLeone","climate_soil",4,0.4,TRUE
"current","prev","women_iron","Gambia","csa",6,0.714285714285714,TRUE
"current","prev","women_iron","Ghana","csa",16,0.562178224308523,FALSE
