"country","outcome","target","rep","variant","spearman","mae","rho_sd_across_folds","rho_mean"
"Gambia","child_vitA","prev",1,"none",0.610313410430914,11.6974231214002,0.0653837522634503,0.36693293520418
"Gambia","child_vitA","prev",1,"nested1",0.609645184069129,10.0685900780525,0.0653837522634503,0.36693293520418
"Gambia","child_vitA","prev",1,"nested5",0.609645184069129,10.0511636903623,0.0653837522634503,0.36693293520418
"Gambia","child_vitA","prev",1,"insample",0.597394367436391,9.40213623076939,0.0653837522634503,0.36693293520418
"Gambia","child_vitA","prev",1,"pooled",0.623009711304842,9.87133433683389,0.0653837522634503,0.36693293520418
"Gambia","child_vitA","prev",2,"none",0.603408404692462,12.271682710233,0.0614431966268586,0.36880485276264
"Gambia","child_vitA","prev",2,"nested1",0.608976957707343,10.0561668859972,0.0614431966268586,0.36880485276264
"Gambia","child_vitA","prev",2,"nested5",0.604967599536629,10.0210449764018,0.0614431966268586,0.36880485276264
"Gambia","child_vitA","prev",2,"insample",0.609645184069129,9.74966562044481,0.0614431966268586,0.36880485276264
"Gambia","child_vitA","prev",2,"pooled",0.596948883195201,9.94827158034395,0.0614431966268586,0.36880485276264
"Gambia","child_vitA","prev",3,"none",0.596948883195201,11.553551297306,0.0867125107717174,0.358596168950172
"Gambia","child_vitA","prev",3,"nested1",0.441920367260925,10.7275157492607,0.0867125107717174,0.358596168950172
"Gambia","child_vitA","prev",3,"nested5",0.442588593622711,10.6651454692193,0.0867125107717174,0.358596168950172
"Gambia","child_vitA","prev",3,"insample",0.542154321528776,9.9088186938796,0.0867125107717174,0.358596168950172
"Gambia","child_vitA","prev",3,"pooled",0.4570668314614,10.5598212553591,0.0867125107717174,0.358596168950172
"Gambia","child_vitA","level",1,"none",0.725472747497219,0.0692251710530293,0.0473481923980457,0.647632777919226
"Gambia","child_vitA","level",1,"nested1",0.723692992213571,0.0608415424247579,0.0473481923980457,0.647632777919226
"Gambia","child_vitA","level",1,"nested5",0.717908787541713,0.0607928208811727,0.0473481923980457,0.647632777919226
"Gambia","child_vitA","level",1,"insample",0.729032258064516,0.0604046998340394,0.0473481923980457,0.647632777919226
"Gambia","child_vitA","level",1,"pooled",0.723248053392659,0.0604702048241211,0.0473481923980457,0.647632777919226
"Gambia","child_vitA","level",2,"none",0.726362625139043,0.0690263072342517,0.0276057617974756,0.643652848790271
"Gambia","child_vitA","level",2,"nested1",0.710789766407119,0.0602428393155671,0.0276057617974756,0.643652848790271
"Gambia","child_vitA","level",2,"nested5",0.712569521690767,0.0601904479764964,0.0276057617974756,0.643652848790271
"Gambia","child_vitA","level",2,"insample",0.714794215795328,0.0617171699544247,0.0276057617974756,0.643652848790271
"Gambia","child_vitA","level",2,"pooled",0.713904338153504,0.0595649688172035,0.0276057617974756,0.643652848790271
"Gambia","child_vitA","level",3,"none",0.658286985539488,0.0719522140974442,0.056082841171274,0.644839582426351
"Gambia","child_vitA","level",3,"nested1",0.598665183537264,0.0696625640363171,0.056082841171274,0.644839582426351
"Gambia","child_vitA","level",3,"nested5",0.598665183537264,0.0696915851561439,0.056082841171274,0.644839582426351
"Gambia","child_vitA","level",3,"insample",0.624026696329255,0.0683153039793887,0.056082841171274,0.644839582426351
"Gambia","child_vitA","level",3,"pooled",0.621357063403782,0.0671587800871565,0.056082841171274,0.644839582426351
"Gambia","women_vitA","prev",1,"none",0.460877973764874,3.22912387962973,0.10059041442278,0.481901528508716
"Gambia","women_vitA","prev",1,"nested1",0.388132468740887,3.17955255793842,0.10059041442278,0.481901528508716
"Gambia","women_vitA","prev",1,"nested5",0.388132468740887,3.1786335230506,0.10059041442278,0.481901528508716
"Gambia","women_vitA","prev",1,"insample",0.412302749442405,3.1176900262156,0.10059041442278,0.481901528508716
"Gambia","women_vitA","prev",1,"pooled",0.419342637025371,3.11116300521458,0.10059041442278,0.481901528508716
"Gambia","women_vitA","prev",2,"none",0.487394883660714,3.11761023786062,0.080705877321384,0.477616172893073
"Gambia","women_vitA","prev",2,"nested1",0.373114041897225,3.16356438260771,0.080705877321384,0.477616172893073
"Gambia","women_vitA","prev",2,"nested5",0.37264471605836,3.16991788559956,0.080705877321384,0.477616172893073
"Gambia","women_vitA","prev",2,"insample",0.426851850447202,2.95520573556229,0.080705877321384,0.477616172893073
"Gambia","women_vitA","prev",2,"pooled",0.384612524949403,3.14186620288576,0.080705877321384,0.477616172893073
"Gambia","women_vitA","prev",3,"none",0.448675501954399,2.99979577744773,0.080219969828153,0.502017853049335
"Gambia","women_vitA","prev",3,"nested1",0.393060390048963,3.23524146206058,0.080219969828153,0.502017853049335
"Gambia","women_vitA","prev",3,"nested5",0.384377862029971,3.23932132079426,0.080219969828153,0.502017853049335
