"variant","target","outcome","heldout","arm","n_pc","n_cols","spearman"
"current","level","child_vitA","Gambia","full",79,282,0.604004449388209
"current","level","child_vitA","Gambia","fixed_cs",13,282,0.725027808676307
"current","level","child_vitA","Gambia","fixed_csa",17,282,0.711234705228031
"current","level","child_vitA","Ghana","full",81,282,0.367083926031294
"current","level","child_vitA","Ghana","fixed_cs",13,282,0.323157894736842
"current","level","child_vitA","Ghana","fixed_csa",16,282,0.317126600284495
"current","level","child_vitA","Malawi","full",69,282,0.274367573084494
"current","level","child_vitA","Malawi","fixed_cs",11,282,0.295144710942626
"current","level","child_vitA","Malawi","fixed_csa",15,282,0.301505431216738
"current","level","child_vitA","SierraLeone","full",81,282,0.0725274725274725
"current","level","child_vitA","SierraLeone","fixed_cs",13,282,0.516483516483516
"current","level","child_vitA","SierraLeone","fixed_csa",17,282,0.283516483516484
"current","level","women_vitA","Gambia","full",79,282,0.74238042269188
"current","level","women_vitA","Gambia","fixed_cs",13,282,0.749499443826474
"current","level","women_vitA","Gambia","fixed_csa",17,282,0.700111234705228
"current","level","women_vitA","Ghana","full",81,282,0.305007112375533
"current","level","women_vitA","Ghana","fixed_cs",13,282,0.404210526315789
"current","level","women_vitA","Ghana","fixed_csa",16,282,0.402190611664296
"current","level","women_vitA","Malawi","full",69,282,0.234799883356419
"current","level","women_vitA","Malawi","fixed_cs",11,282,0.240395130130495
"current","level","women_vitA","Malawi","fixed_csa",15,282,0.174418604651163
"current","level","women_vitA","SierraLeone","full",81,282,-0.0285714285714286
"current","level","women_vitA","SierraLeone","fixed_cs",13,282,0.195604395604396
"current","level","women_vitA","SierraLeone","fixed_csa",17,282,0.257142857142857
"current","level","child_iron","Gambia","full",79,282,0.411790878754171
"current","level","child_iron","Gambia","fixed_cs",13,282,0.521245828698554
"current","level","child_iron","Gambia","fixed_csa",17,282,0.59377085650723
"current","level","child_iron","Ghana","full",81,282,0.518634423897582
"current","level","child_iron","Ghana","fixed_cs",13,282,0.558463726884779
"current","level","child_iron","Ghana","fixed_csa",16,282,0.555846372688478
"current","level","child_iron","Malawi","full",69,282,-0.0859517387183786
"current","level","child_iron","Malawi","fixed_cs",11,282,0.0705511409200262
"current","level","child_iron","Malawi","fixed_csa",15,282,0.125136691696435
"current","level","child_iron","SierraLeone","full",81,282,0.252747252747253
"current","level","child_iron","SierraLeone","fixed_cs",13,282,0.178021978021978
"current","level","child_iron","SierraLeone","fixed_csa",17,282,0.243956043956044
"current","level","women_iron","Gambia","full",79,282,0.503003337041157
"current","level","women_iron","Gambia","fixed_cs",13,282,0.496329254727475
"current","level","women_iron","Gambia","fixed_csa",17,282,0.626251390433815
"current","level","women_iron","Ghana","full",81,282,0.357496443812233
"current","level","women_iron","Ghana","fixed_cs",13,282,0.313314366998578
"current","level","women_iron","Ghana","fixed_csa",16,282,0.356756756756757
"current","level","women_iron","Malawi","full",69,282,0.199496974557119
"current","level","women_iron","Malawi","fixed_cs",11,282,0.261081140191004
"current","level","women_iron","Malawi","fixed_csa",15,282,0.262684989429175
"current","level","women_iron","SierraLeone","full",81,282,-0.0241758241758242
"current","level","women_iron","SierraLeone","fixed_cs",13,282,-0.00659340659340659
"current","level","women_iron","SierraLeone","fixed_csa",17,282,0.186813186813187
"current","level","women_folate","Ghana","full",76,284,-0.092574679943101
"current","level","women_folate","Ghana","fixed_cs",11,284,-0.118577524893314
"current","level","women_folate","Ghana","fixed_csa",14,284,-0.059402560455192
"current","level","women_folate","Malawi","full",64,284,0.0478420937522782
"current","level","women_folate","Malawi","fixed_cs",10,284,-0.00421010425020048
"current","level","women_folate","Malawi","fixed_csa",14,284,0.10820514689801
"current","level","women_folate","SierraLeone","full",77,284,0.138461538461538
"current","level","women_folate","SierraLeone","fixed_cs",12,284,0.0813186813186813
"current","level","women_folate","SierraLeone","fixed_csa",16,284,-0.00659340659340659
"current","level","women_b12","Ghana","full",76,284,0.606031294452347
"current","level","women_b12","Ghana","fixed_cs",11,284,0.602788051209104
"current","level","women_b12","Ghana","fixed_csa",14,284,0.640369843527738
"current","level","women_b12","Malawi","full",64,284,0.501494495881023
"current","level","women_b12","Malawi","fixed_cs",10,284,0.589706203980462
"current","level","women_b12","Malawi","fixed_csa",14,284,0.504738645476416
"current","level","women_b12","SierraLeone","full",77,284,0.582417582417582
"current","level","women_b12","SierraLeone","fixed_cs",12,284,0.503296703296703
"current","level","women_b12","SierraLeone","fixed_csa",16,284,0.503296703296703
"current","prev","child_vitA","Gambia","full",79,282,0.619000353134128
"current","prev","child_vitA","Gambia","fixed_cs",13,282,0.570665312964964
"current","prev","child_vitA","Gambia","fixed_csa",17,282,0.49671492892735
"current","prev","child_vitA","Ghana","full",81,282,0.354024472537199
"current","prev","child_vitA","Ghana","fixed_cs",13,282,0.268569307431381
"current","prev","child_vitA","Ghana","fixed_csa",16,282,0.26550767428728
"current","prev","child_vitA","Malawi","full",69,282,0.2066504479623
"current","prev","child_vitA","Malawi","fixed_cs",11,282,0.111605249036161
"current","prev","child_vitA","Malawi","fixed_csa",15,282,0.0733341373221413
"current","prev","child_vitA","SierraLeone","full",81,282,0.010989010989011
"current","prev","child_vitA","SierraLeone","fixed_cs",13,282,0.476923076923077
"current","prev","child_vitA","SierraLeone","fixed_csa",17,282,0.437362637362637
"current","prev","women_vitA","Gambia","full",79,282,0.286758087546169
"current","prev","women_vitA","Gambia","fixed_cs",13,282,0.204156739906029
