"estimand","target","arm","cells","scored","mean_spearman","median_spearman","cells_positive","mean_wmae"
"country","level","domain_index",22,22,0.30216095543492,0.284393255308927,18,NA
"country","level","domain_enet",22,22,0.262945011965418,0.303126344385366,19,NA
"country","level","index_soft1",22,22,0.300659174164856,0.323401747612274,17,NA
"country","level","index_soft2",22,22,0.303683546726475,0.327392181076392,18,NA
"country","level","index_meta",22,22,0.292168680632181,0.299465110160674,19,NA
"country","level","index_meta_agree",22,22,0.285154993044863,0.281328807137907,18,NA
"country","level","index_decor",22,22,0.307442271113986,0.322278148593938,19,NA
"country","level","ridge_min",22,22,0.305890933517415,0.346245994838583,18,NA
"country","level","ridge_nested",22,21,0.300713136011743,0.314285714285714,18,NA
"country","level","enet_1se",22,18,0.306801695350981,0.28360938283074,15,NA
"country","level","enet_nested",22,22,0.268262045251197,0.30483388763577,18,NA
"country","level","lasso_min",22,22,0.255880773095966,0.287631405247157,18,NA
"country","level","lasso_1se",22,19,0.255105722665251,0.270704235620033,15,NA
"country","level","lasso_nested",22,22,0.271853920057912,0.309696658594012,18,NA
"country","level","ridge_nested_1se",22,8,0.306187720266344,0.38232902661402,6,NA
"country","level","enet_nested_1se",22,18,0.337337225308125,0.335168170841365,16,NA
"country","level","lasso_nested_1se",22,18,0.327949748625115,0.305824888824087,16,NA
"country","level","sparse5",22,22,0.180530398405424,0.133337933117404,17,NA
"country","level","sparse10",22,22,0.253280044659885,0.255509784986982,18,NA
"country","level","sparse20",22,22,0.23283577379946,0.201705111248014,17,NA
"country","level","sparse10w",22,22,0.253872995272872,0.249359729886046,18,NA
"country","prev","domain_index",22,22,0.223185062086678,0.210686863938463,19,NA
"country","prev","domain_enet",22,22,0.204046939999759,0.158721427585765,20,NA
"country","prev","index_soft1",22,22,0.225275974481279,0.198107642272571,17,NA
"country","prev","index_soft2",22,22,0.20688785102644,0.214530290565828,17,NA
"country","prev","index_meta",22,22,0.19616208490139,0.17236995173319,18,NA
"country","prev","index_meta_agree",22,22,0.14726449867022,0.0947617038267753,17,NA
"country","prev","index_decor",22,22,0.231727271331021,0.203067142619349,20,NA
"country","prev","ridge_min",22,21,0.213222985110263,0.176022877889337,17,NA
"country","prev","ridge_nested",22,20,0.199728857886786,0.187510337919879,15,NA
"country","prev","enet_1se",22,8,0.182530617733045,0.191315737245203,7,NA
"country","prev","enet_nested",22,22,0.138681045547071,0.135012917930791,17,NA
"country","prev","lasso_min",22,20,0.161702398821313,0.159738074591155,15,NA
"country","prev","lasso_1se",22,8,0.198474246395133,0.174822211232368,7,NA
"country","prev","lasso_nested",22,22,0.130772457301952,0.116306665755104,17,NA
"country","prev","ridge_nested_1se",22,7,0.140556099553949,0.0638377359972839,5,NA
"country","prev","enet_nested_1se",22,19,0.13818086058711,0.0769230769230769,13,NA
"country","prev","lasso_nested_1se",22,19,0.12352114205566,0.0769230769230769,13,NA
"country","prev","sparse5",22,22,0.147994191880829,0.0937059103280174,15,NA
"country","prev","sparse10",22,22,0.188931081708101,0.199945021372961,17,NA
"country","prev","sparse20",22,22,0.181849016646185,0.188972842030017,17,NA
"country","prev","sparse10w",22,22,0.192590003543129,0.215943142389705,17,NA
"infill","level","domain_index",24,18,0.393777651730504,0.403290142200042,16,0.209871666589494
"infill","level","domain_enet",24,18,0.324715795434562,0.309054448638714,16,0.180890975358755
"infill","level","index_soft1",24,18,0.385457576598971,0.393397458439243,16,0.213633423641721
"infill","level","index_soft2",24,18,0.372490601341806,0.343247947667185,17,0.216847891448026
"infill","level","index_meta",24,18,0.127098786921172,0.148309425097928,13,0.258258744410118
"infill","level","index_meta_agree",24,18,0.0689602936157371,0.0530900603087075,10,0.268727794571485
"infill","level","index_decor",24,18,0.398783743366171,0.401778093883357,16,0.20602353900838
"infill","level","ridge_min",24,18,0.351144739162321,0.387197724039829,16,0.171534642536472
"infill","level","ridge_nested",24,18,0.358086145064183,0.362079720930647,16,0.172180271732832
"infill","level","enet_1se",24,18,0.163665364351769,0.103000166106415,11,0.189800341130321
"infill","level","enet_nested",24,18,0.335486104503617,0.309053164545055,16,0.191052089053879
"infill","level","lasso_min",24,18,0.331214103851399,0.338639761419907,16,0.180021996937982
"infill","level","lasso_1se",24,18,0.187596593231347,0.143964665787474,12,0.188725785033646
"infill","level","lasso_nested",24,18,0.334815388402469,0.295102968532102,16,0.194372640500925
"infill","level","ridge_nested_1se",24,18,0.313030694069037,0.313892550122864,16,0.183996135090255
"infill","level","enet_nested_1se",24,18,0.34074943806295,0.31203388377807,16,0.18564823631234
"infill","level","lasso_nested_1se",24,18,0.343817389202177,0.307254147053666,16,0.186277140005072
"infill","level","sparse5",24,18,0.331208283291313,0.36668219944082,16,0.214777323678015
"infill","level","sparse10",24,18,0.33961580598577,0.350956881281661,16,0.213524352090385
"infill","level","sparse20",24,18,0.357426436875015,0.358201587858448,16,0.21258420629212
"infill","level","sparse10w",24,18,0.338569398198865,0.357423590313895,16,0.213727245217532
"infill","prev","domain_index",24,18,0.26667167799575,0.26723269597882,15,14.2458482261699
"infill","prev","domain_enet",24,18,0.162484639931845,0.208270269623754,12,11.0780029020464
"infill","prev","index_soft1",24,18,0.270044975290722,0.267071386216649,15,14.3732665626931
"infill","prev","index_soft2",24,18,0.255793409424389,0.238191732878419,14,14.6839532329484
"infill","prev","index_meta",24,18,0.075832818506346,0.0509108766163733,12,16.656240338114
"infill","prev","index_meta_agree",24,18,0.041745376516253,0.0311498728995453,10,16.9844397492039
"infill","prev","index_decor",24,18,0.268545781732374,0.27447909498673,15,14.3530969731854
"infill","prev","ridge_min",24,18,0.193565792906223,0.219842043812603,13,10.7709225698845
"infill","prev","ridge_nested",24,18,0.225395823510752,0.24889401764246,13,11.0110760096645
"infill","prev","enet_1se",24,18,-0.0110581037500743,-0.156133417366903,5,11.3514358431155
"infill","prev","enet_nested",24,18,0.204971328198784,0.215435357424231,12,12.6562587637697
"infill","prev","lasso_min",24,18,0.170665648441376,0.198767330161634,11,11.0079338829043
"infill","prev","lasso_1se",24,18,-0.00797410432335192,-0.144943962141536,4,11.2968393320369
"infill","prev","lasso_nested",24,18,0.200316153465346,0.203845722613075,12,12.9069467255605
"infill","prev","ridge_nested_1se",24,18,0.186980696059773,0.153943860885679,14,11.1352707475345
"infill","prev","enet_nested_1se",24,18,0.219707306344656,0.224887421254618,12,11.4297634623527
"infill","prev","lasso_nested_1se",24,18,0.221638376215802,0.219133001957652,12,11.5806779025939
"infill","prev","sparse5",24,18,0.246829884569458,0.231282385865743,15,14.0475633032863
"infill","prev","sparse10",24,18,0.246114585575951,0.245373498960646,15,14.1012170044654
"infill","prev","sparse20",24,18,0.269908405065679,0.280907148511044,15,14.0675371435766
"infill","prev","sparse10w",24,18,0.247541681091005,0.243328653160933,16,14.1488868660824
"region","level","domain_index",24,18,0.386141530667095,0.335614565867172,16,0.204635496210514
"region","level","domain_enet",24,18,0.25989010577669,0.309323073902018,16,0.197612462181751
"region","level","index_soft1",24,18,0.363855264754026,0.340316760224539,16,0.210652480143955
"region","level","index_soft2",24,18,0.349720377032864,0.351489028213166,16,0.212911603517401
"region","level","index_meta",24,18,0.0732201993273795,0.0388599718076779,10,0.275188071722631
"region","level","index_meta_agree",24,18,-0.0438682820354123,-0.0769027484143763,7,0.288545153114162
"region","level","index_decor",24,18,0.396518082819822,0.370726106291463,16,0.205670103307384
"region","level","ridge_min",24,18,0.310245697267953,0.319858569658088,16,0.178202306988257
"region","level","ridge_nested",24,18,0.336549857822869,0.319275172868006,16,0.18375349212403
"region","level","enet_1se",24,18,-0.0618300023174339,-0.109719039467575,7,0.198703312092622
"region","level","enet_nested",24,18,0.298541837648195,0.314163082306627,16,0.211294925413968
"region","level","lasso_min",24,18,0.251464591322367,0.239615922525557,16,0.194468743961569
"region","level","lasso_1se",24,18,0.00350986682656204,-0.0958175555908131,8,0.196543488955328
