"target","outcome","heldout","source","variant","n_cols","spearman"
"level","child_vitA","Gambia","ALL","full",329,0.612903225806452
"level","child_vitA","Ghana","ALL","full",329,0.366543385490754
"level","child_vitA","Malawi","ALL","full",329,0.261190493548152
"level","child_vitA","SierraLeone","ALL","full",329,0.0417582417582418
"level","child_vitA","Gambia","GEE","drop",249,0.647608453837597
"level","child_vitA","Gambia","GEE","only",80,0.595995550611791
"level","child_vitA","Ghana","GEE","drop",249,0.357951635846373
"level","child_vitA","Ghana","GEE","only",80,0.355391180654339
"level","child_vitA","Malawi","GEE","drop",249,0.23106364365386
"level","child_vitA","Malawi","GEE","only",80,0.268754100750893
"level","child_vitA","SierraLeone","GEE","drop",249,-0.134065934065934
"level","child_vitA","SierraLeone","GEE","only",80,0.428571428571429
"level","child_vitA","Gambia","AlphaEarth","drop",265,0.63559510567297
"level","child_vitA","Gambia","AlphaEarth","only",64,0.443381535038932
"level","child_vitA","Ghana","AlphaEarth","drop",265,0.366685633001422
"level","child_vitA","Ghana","AlphaEarth","only",64,0.316756756756757
"level","child_vitA","Malawi","AlphaEarth","drop",265,0.243949114237807
"level","child_vitA","Malawi","AlphaEarth","only",64,0.28900269738281
"level","child_vitA","SierraLeone","AlphaEarth","drop",265,-0.010989010989011
"level","child_vitA","SierraLeone","AlphaEarth","only",64,0.415384615384615
"level","child_vitA","Gambia","SoilGrids/iSDA","drop",284,0.581312569521691
"level","child_vitA","Gambia","SoilGrids/iSDA","only",45,0.728587319243604
"level","child_vitA","Ghana","SoilGrids/iSDA","drop",284,0.37823613086771
"level","child_vitA","Ghana","SoilGrids/iSDA","only",45,0.161251778093883
"level","child_vitA","Malawi","SoilGrids/iSDA","drop",284,0.283972442953999
"level","child_vitA","Malawi","SoilGrids/iSDA","only",45,0.048024349347525
"level","child_vitA","SierraLeone","SoilGrids/iSDA","drop",284,0.010989010989011
"level","child_vitA","SierraLeone","SoilGrids/iSDA","only",45,0.296703296703297
"level","child_vitA","Gambia","MapSPAM","drop",317,0.598665183537264
"level","child_vitA","Gambia","MapSPAM","only",12,0.174638487208009
"level","child_vitA","Ghana","MapSPAM","drop",317,0.366031294452347
"level","child_vitA","Ghana","MapSPAM","only",12,0.300601154696005
"level","child_vitA","Malawi","MapSPAM","drop",317,0.249471458773784
"level","child_vitA","Malawi","MapSPAM","only",12,0.152727208384627
"level","child_vitA","SierraLeone","MapSPAM","drop",317,0.0461538461538462
"level","child_vitA","SierraLeone","MapSPAM","only",12,-0.578021978021978
"level","child_vitA","Gambia","Malaria Atlas","drop",319,0.610678531701891
"level","child_vitA","Gambia","Malaria Atlas","only",10,-0.297886540600667
"level","child_vitA","Ghana","Malaria Atlas","drop",319,0.35823613086771
"level","child_vitA","Ghana","Malaria Atlas","only",10,0.00822190611664296
"level","child_vitA","Malawi","Malaria Atlas","drop",319,0.261536779179121
"level","child_vitA","Malawi","Malaria Atlas","only",10,-0.0923489101115404
"level","child_vitA","SierraLeone","Malaria Atlas","drop",319,-0.0197802197802198
"level","child_vitA","SierraLeone","Malaria Atlas","only",10,0.116483516483516
"level","child_vitA","Gambia","WFP prices","drop",325,0.62714126807564
"level","child_vitA","Gambia","WFP prices","only",4,0.07853170189099
"level","child_vitA","Ghana","WFP prices","drop",325,0.365263157894737
"level","child_vitA","Ghana","WFP prices","only",4,0.180256045519203
"level","child_vitA","Malawi","WFP prices","drop",325,0.248232120726106
"level","child_vitA","Malawi","WFP prices","only",4,-0.012940147262521
"level","child_vitA","SierraLeone","WFP prices","drop",325,0.0417582417582418
"level","child_vitA","SierraLeone","WFP prices","only",4,-0.305494505494505
"level","child_vitA","Gambia","IHME","drop",300,0.589766407119021
"level","child_vitA","Gambia","IHME","only",29,0.716129032258065
"level","child_vitA","Ghana","IHME","drop",300,0.376728307254623
"level","child_vitA","Ghana","IHME","only",29,0.366059743954481
"level","child_vitA","Malawi","IHME","drop",300,0.203069184223956
"level","child_vitA","Malawi","IHME","only",29,0.233979733177809
"level","child_vitA","SierraLeone","IHME","drop",300,0.0021978021978022
"level","child_vitA","SierraLeone","IHME","only",29,-0.283516483516484
"level","child_vitA","Gambia","WorldPop/GHS","drop",319,0.621802002224694
"level","child_vitA","Gambia","WorldPop/GHS","only",10,0.449610678531702
"level","child_vitA","Ghana","WorldPop/GHS","drop",319,0.349587482219061
"level","child_vitA","Ghana","WorldPop/GHS","only",10,0.479715504978663
"level","child_vitA","Malawi","WorldPop/GHS","drop",319,0.246737624845083
"level","child_vitA","Malawi","WorldPop/GHS","only",10,0.148119122257053
"level","child_vitA","SierraLeone","WorldPop/GHS","drop",319,-0.0153846153846154
"level","child_vitA","SierraLeone","WorldPop/GHS","only",10,-0.103296703296703
"level","child_vitA","Gambia","Koppen/AEZ","drop",324,0.595995550611791
"level","child_vitA","Gambia","Koppen/AEZ","only",5,-0.0697103884962053
"level","child_vitA","Ghana","Koppen/AEZ","drop",324,0.364182076813656
"level","child_vitA","Ghana","Koppen/AEZ","only",5,0.245544428093932
"level","child_vitA","Malawi","Koppen/AEZ","drop",324,0.2655099511555
"level","child_vitA","Malawi","Koppen/AEZ","only",5,0.165140990258222
"level","child_vitA","SierraLeone","Koppen/AEZ","drop",324,0.0153846153846154
"level","child_vitA","SierraLeone","Koppen/AEZ","only",5,0.249450554817483
"level","child_vitA","Gambia","Gridded Livestock of the World 4 (2020, 5 arc-min, dasymetric; FAO catalog)","drop",321,0.652947719688543
"level","child_vitA","Gambia","Gridded Livestock of the World 4 (2020, 5 arc-min, dasymetric; FAO catalog)","only",8,0.359733036707453
"level","child_vitA","Ghana","Gridded Livestock of the World 4 (2020, 5 arc-min, dasymetric; FAO catalog)","drop",321,0.358264580369843
"level","child_vitA","Ghana","Gridded Livestock of the World 4 (2020, 5 arc-min, dasymetric; FAO catalog)","only",8,0.306372688477952
"level","child_vitA","Malawi","Gridded Livestock of the World 4 (2020, 5 arc-min, dasymetric; FAO catalog)","drop",321,0.255959757964569
"level","child_vitA","Malawi","Gridded Livestock of the World 4 (2020, 5 arc-min, dasymetric; FAO catalog)","only",8,0.148173798935627
"level","child_vitA","SierraLeone","Gridded Livestock of the World 4 (2020, 5 arc-min, dasymetric; FAO catalog)","drop",321,0.00659340659340659
"level","child_vitA","SierraLeone","Gridded Livestock of the World 4 (2020, 5 arc-min, dasymetric; FAO catalog)","only",8,0.296703296703297
"level","child_vitA","Gambia","JRC Global Surface Water 1.4; USDOS LSIB 2017 (Earth Engine)","drop",325,0.61245828698554
"level","child_vitA","Gambia","JRC Global Surface Water 1.4; USDOS LSIB 2017 (Earth Engine)","only",4,0.00200222469410456
"level","child_vitA","Ghana","JRC Global Surface Water 1.4; USDOS LSIB 2017 (Earth Engine)","drop",325,0.36574679943101
"level","child_vitA","Ghana","JRC Global Surface Water 1.4; USDOS LSIB 2017 (Earth Engine)","only",4,0.26927453769559
"level","child_vitA","Malawi","JRC Global Surface Water 1.4; USDOS LSIB 2017 (Earth Engine)","drop",325,0.270777137858132
"level","child_vitA","Malawi","JRC Global Surface Water 1.4; USDOS LSIB 2017 (Earth Engine)","only",4,-0.148337828971349
"level","child_vitA","SierraLeone","JRC Global Surface Water 1.4; USDOS LSIB 2017 (Earth Engine)","drop",325,0.0241758241758242
"level","child_vitA","SierraLeone","JRC Global Surface Water 1.4; USDOS LSIB 2017 (Earth Engine)","only",4,-0.265934065934066
"level","child_vitA","Gambia","WHO ESPEN implementation-unit database 2014-2025 (portal export, no key)","drop",326,0.625806451612903
"level","child_vitA","Gambia","WHO ESPEN implementation-unit database 2014-2025 (portal export, no key)","only",3,0.0800139866057486
"level","child_vitA","Ghana","WHO ESPEN implementation-unit database 2014-2025 (portal export, no key)","drop",326,0.364779516358464
"level","child_vitA","Ghana","WHO ESPEN implementation-unit database 2014-2025 (portal export, no key)","only",3,-0.0712099995308716
"level","child_vitA","Malawi","WHO ESPEN implementation-unit database 2014-2025 (portal export, no key)","drop",326,0.265965590143617
"level","child_vitA","Malawi","WHO ESPEN implementation-unit database 2014-2025 (portal export, no key)","only",3,0.00132259505799036
"level","child_vitA","SierraLeone","WHO ESPEN implementation-unit database 2014-2025 (portal export, no key)","drop",326,0.0417582417582418
"level","child_vitA","SierraLeone","WHO ESPEN implementation-unit database 2014-2025 (portal export, no key)","only",3,0.164835164835165
"level","child_vitA","Gambia","Global Data Lab Subnational HDI (SHDI)","drop",327,0.610233592880979
"level","child_vitA","Gambia","Global Data Lab Subnational HDI (SHDI)","only",2,0.536772530435309
"level","child_vitA","Ghana","Global Data Lab Subnational HDI (SHDI)","drop",327,0.365917496443812
"level","child_vitA","Ghana","Global Data Lab Subnational HDI (SHDI)","only",2,0.414512851346903
"level","child_vitA","Malawi","Global Data Lab Subnational HDI (SHDI)","drop",327,0.260625501202887
"level","child_vitA","Malawi","Global Data Lab Subnational HDI (SHDI)","only",2,0.225525394182329
"level","child_vitA","SierraLeone","Global Data Lab Subnational HDI (SHDI)","drop",327,0.0153846153846154
"level","child_vitA","SierraLeone","Global Data Lab Subnational HDI (SHDI)","only",2,-0.303630546769585
"level","child_vitA","Gambia","WHO Health Inequality Data Repository (HEAT) - UNICEF MICS by subnational region","drop",312,0.633815350389321
"level","child_vitA","Gambia","WHO Health Inequality Data Repository (HEAT) - UNICEF MICS by subnational region","only",17,-0.191994204840841
"level","child_vitA","Ghana","WHO Health Inequality Data Repository (HEAT) - UNICEF MICS by subnational region","drop",312,0.37348506401138
"level","child_vitA","Ghana","WHO Health Inequality Data Repository (HEAT) - UNICEF MICS by subnational region","only",17,-0.193730035652684
"level","child_vitA","Malawi","WHO Health Inequality Data Repository (HEAT) - UNICEF MICS by subnational region","drop",312,0.262174673762484
"level","child_vitA","Malawi","WHO Health Inequality Data Repository (HEAT) - UNICEF MICS by subnational region","only",17,-0.029343367596931
"level","child_vitA","SierraLeone","WHO Health Inequality Data Repository (HEAT) - UNICEF MICS by subnational region","drop",312,-0.0021978021978022
"level","child_vitA","SierraLeone","WHO Health Inequality Data Repository (HEAT) - UNICEF MICS by subnational region","only",17,0.0846391670112603
"level","child_vitA","Gambia","ACLED (Armed Conflict Location & Event Data Project) export","drop",322,0.619132369299221
"level","child_vitA","Gambia","ACLED (Armed Conflict Location & Event Data Project) export","only",7,0.0447163515016685
"level","child_vitA","Ghana","ACLED (Armed Conflict Location & Event Data Project) export","drop",322,0.368079658605974
"level","child_vitA","Ghana","ACLED (Armed Conflict Location & Event Data Project) export","only",7,-0.0549928876244666
"level","child_vitA","Malawi","ACLED (Armed Conflict Location & Event Data Project) export","drop",322,0.258165050667055
"level","child_vitA","Malawi","ACLED (Armed Conflict Location & Event Data Project) export","only",7,-0.00725377269082161
"level","child_vitA","SierraLeone","ACLED (Armed Conflict Location & Event Data Project) export","drop",322,-0.0021978021978022
"level","child_vitA","SierraLeone","ACLED (Armed Conflict Location & Event Data Project) export","only",7,-0.252747252747253
"level","child_vitA","Gambia","HCES microdata (IHS4, IHS 2015/16, SLIHS 2011, GLSS7)","drop",327,0.612903225806452
"level","child_vitA","Gambia","HCES microdata (IHS4, IHS 2015/16, SLIHS 2011, GLSS7)","only",2,-0.422469410456062
"level","child_vitA","Ghana","HCES microdata (IHS4, IHS 2015/16, SLIHS 2011, GLSS7)","drop",327,0.365433854907539
"level","child_vitA","Ghana","HCES microdata (IHS4, IHS 2015/16, SLIHS 2011, GLSS7)","only",2,-0.203139698275827
"level","child_vitA","Malawi","HCES microdata (IHS4, IHS 2015/16, SLIHS 2011, GLSS7)","drop",327,0.258948749726617
"level","child_vitA","Malawi","HCES microdata (IHS4, IHS 2015/16, SLIHS 2011, GLSS7)","only",2,-0.248341474083254
"level","child_vitA","SierraLeone","HCES microdata (IHS4, IHS 2015/16, SLIHS 2011, GLSS7)","drop",327,0.0153846153846154
"level","child_vitA","SierraLeone","HCES microdata (IHS4, IHS 2015/16, SLIHS 2011, GLSS7)","only",2,-0.551648351648352
"level","child_vitA","Gambia","MICS microdata (UNICEF MICS6 2017/2018, MICS5 2013-14)","drop",302,0.648943270300334
"level","child_vitA","Gambia","MICS microdata (UNICEF MICS6 2017/2018, MICS5 2013-14)","only",27,0.666221844230937
"level","child_vitA","Ghana","MICS microdata (UNICEF MICS6 2017/2018, MICS5 2013-14)","drop",302,0.361564722617354
"level","child_vitA","Ghana","MICS microdata (UNICEF MICS6 2017/2018, MICS5 2013-14)","only",27,0.381579032165905
"level","child_vitA","Malawi","MICS microdata (UNICEF MICS6 2017/2018, MICS5 2013-14)","drop",302,0.268754100750893
"level","child_vitA","Malawi","MICS microdata (UNICEF MICS6 2017/2018, MICS5 2013-14)","only",27,0.0956641831054382
"level","child_vitA","SierraLeone","MICS microdata (UNICEF MICS6 2017/2018, MICS5 2013-14)","drop",302,-0.00659340659340659
"level","child_vitA","SierraLeone","MICS microdata (UNICEF MICS6 2017/2018, MICS5 2013-14)","only",27,-0.274725274725275
"level","women_vitA","Gambia","ALL","full",329,0.769076751946607
"level","women_vitA","Ghana","ALL","full",329,0.307596017069701
"level","women_vitA","Malawi","ALL","full",329,0.240796092440038
"level","women_vitA","SierraLeone","ALL","full",329,-0.0241758241758242
"level","women_vitA","Gambia","GEE","drop",249,0.75706340378198
"level","women_vitA","Gambia","GEE","only",80,0.710789766407119
"level","women_vitA","Ghana","GEE","drop",249,0.294736842105263
"level","women_vitA","Ghana","GEE","only",80,0.330469416785206
"level","women_vitA","Malawi","GEE","drop",249,0.197072975140337
"level","women_vitA","Malawi","GEE","only",80,0.288255449442298
"level","women_vitA","SierraLeone","GEE","drop",249,-0.0153846153846154
"level","women_vitA","SierraLeone","GEE","only",80,-0.0593406593406593
"level","women_vitA","Gambia","AlphaEarth","drop",265,0.752614015572859
"level","women_vitA","Gambia","AlphaEarth","only",64,0.337931034482759
"level","women_vitA","Ghana","AlphaEarth","drop",265,0.310611664295875
"level","women_vitA","Ghana","AlphaEarth","only",64,0.295647226173542
"level","women_vitA","Malawi","AlphaEarth","drop",265,0.239301596559014
"level","women_vitA","Malawi","AlphaEarth","only",64,0.237114529416053
"level","women_vitA","SierraLeone","AlphaEarth","drop",265,-0.0153846153846154
"level","women_vitA","SierraLeone","AlphaEarth","only",64,0.0197802197802198
"level","women_vitA","Gambia","SoilGrids/iSDA","drop",284,0.75083426028921
"level","women_vitA","Gambia","SoilGrids/iSDA","only",45,0.705005561735261
"level","women_vitA","Ghana","SoilGrids/iSDA","drop",284,0.264125177809388
"level","women_vitA","Ghana","SoilGrids/iSDA","only",45,0.36827880512091
"level","women_vitA","Malawi","SoilGrids/iSDA","drop",284,0.274203543048772
"level","women_vitA","Malawi","SoilGrids/iSDA","only",45,0.0582671138003937
"level","women_vitA","SierraLeone","SoilGrids/iSDA","drop",284,-0.0593406593406593
"level","women_vitA","SierraLeone","SoilGrids/iSDA","only",45,0.485714285714286
"level","women_vitA","Gambia","MapSPAM","drop",317,0.751724137931035
"level","women_vitA","Gambia","MapSPAM","only",12,0.119911012235818
"level","women_vitA","Ghana","MapSPAM","drop",317,0.308990042674253
"level","women_vitA","Ghana","MapSPAM","only",12,0.0682958083277712
"level","women_vitA","Malawi","MapSPAM","drop",317,0.273875482977327
"level","women_vitA","Malawi","MapSPAM","only",12,-0.0377238118699034
"level","women_vitA","SierraLeone","MapSPAM","drop",317,-0.0461538461538462
"level","women_vitA","SierraLeone","MapSPAM","only",12,0.389010989010989
"level","women_vitA","Gambia","Malaria Atlas","drop",319,0.775750834260289
"level","women_vitA","Gambia","Malaria Atlas","only",10,0.259176863181313
"level","women_vitA","Ghana","Malaria Atlas","drop",319,0.278634423897582
"level","women_vitA","Ghana","Malaria Atlas","only",10,0.0857467994310099
"level","women_vitA","Malawi","Malaria Atlas","drop",319,0.244969745571189
"level","women_vitA","Malawi","Malaria Atlas","only",10,-0.175475687103594
"level","women_vitA","SierraLeone","Malaria Atlas","drop",319,-0.0285714285714286
"level","women_vitA","SierraLeone","Malaria Atlas","only",10,-0.0857142857142857
"level","women_vitA","Gambia","WFP prices","drop",325,0.76952169076752
"level","women_vitA","Gambia","WFP prices","only",4,0.0224694104560623
"level","women_vitA","Ghana","WFP prices","drop",325,0.310583214793741
"level","women_vitA","Ghana","WFP prices","only",4,0.0417638691322902
"level","women_vitA","Malawi","WFP prices","drop",325,0.244842166654516
"level","women_vitA","Malawi","WFP prices","only",4,0.0697309907414158
"level","women_vitA","SierraLeone","WFP prices","drop",325,-0.0241758241758242
"level","women_vitA","SierraLeone","WFP prices","only",4,0.103296703296703
"level","women_vitA","Gambia","IHME","drop",300,0.789543937708565
"level","women_vitA","Gambia","IHME","only",29,0.700111234705228
"level","women_vitA","Ghana","IHME","drop",300,0.302645803698435
"level","women_vitA","Ghana","IHME","only",29,0.27302987197724
"level","women_vitA","Malawi","IHME","drop",300,0.177498724210833
"level","women_vitA","Malawi","IHME","only",29,0.259149230881388
"level","women_vitA","SierraLeone","IHME","drop",300,0.0945054945054945
"level","women_vitA","SierraLeone","IHME","only",29,0.0417582417582418
"level","women_vitA","Gambia","WorldPop/GHS","drop",319,0.76329254727475
"level","women_vitA","Gambia","WorldPop/GHS","only",10,0.458509454949944
"level","women_vitA","Ghana","WorldPop/GHS","drop",319,0.316301564722617
"level","women_vitA","Ghana","WorldPop/GHS","only",10,0.185604551920341
"level","women_vitA","Malawi","WorldPop/GHS","drop",319,0.2372967850113
"level","women_vitA","Malawi","WorldPop/GHS","only",10,0.00304366844062113
"level","women_vitA","SierraLeone","WorldPop/GHS","drop",319,0.0285714285714286
"level","women_vitA","SierraLeone","WorldPop/GHS","only",10,-0.393406593406593
"level","women_vitA","Gambia","Koppen/AEZ","drop",324,0.765072302558398
"level","women_vitA","Gambia","Koppen/AEZ","only",5,-0.242214061724103
"level","women_vitA","Ghana","Koppen/AEZ","drop",324,0.308819345661451
"level","women_vitA","Ghana","Koppen/AEZ","only",5,0.237403561944734
"level","women_vitA","Malawi","Koppen/AEZ","drop",324,0.239301596559014
"level","women_vitA","Malawi","Koppen/AEZ","only",5,0.0298495993453468
"level","women_vitA","SierraLeone","Koppen/AEZ","drop",324,-0.0285714285714286
"level","women_vitA","SierraLeone","Koppen/AEZ","only",5,-0.192054851939124
"level","women_vitA","Gambia","Gridded Livestock of the World 4 (2020, 5 arc-min, dasymetric; FAO catalog)","drop",321,0.767741935483871
"level","women_vitA","Gambia","Gridded Livestock of the World 4 (2020, 5 arc-min, dasymetric; FAO catalog)","only",8,0.27741935483871
"level","women_vitA","Ghana","Gridded Livestock of the World 4 (2020, 5 arc-min, dasymetric; FAO catalog)","drop",321,0.285405405405405
"level","women_vitA","Ghana","Gridded Livestock of the World 4 (2020, 5 arc-min, dasymetric; FAO catalog)","only",8,0.451635846372688
"level","women_vitA","Malawi","Gridded Livestock of the World 4 (2020, 5 arc-min, dasymetric; FAO catalog)","drop",321,0.25085660129766
"level","women_vitA","Malawi","Gridded Livestock of the World 4 (2020, 5 arc-min, dasymetric; FAO catalog)","only",8,0.181289640591966
"level","women_vitA","SierraLeone","Gridded Livestock of the World 4 (2020, 5 arc-min, dasymetric; FAO catalog)","drop",321,0.00659340659340659
"level","women_vitA","SierraLeone","Gridded Livestock of the World 4 (2020, 5 arc-min, dasymetric; FAO catalog)","only",8,0.107692307692308
"level","women_vitA","Gambia","JRC Global Surface Water 1.4; USDOS LSIB 2017 (Earth Engine)","drop",325,0.768631813125695
"level","women_vitA","Gambia","JRC Global Surface Water 1.4; USDOS LSIB 2017 (Earth Engine)","only",4,-0.182647385984427
"level","women_vitA","Ghana","JRC Global Surface Water 1.4; USDOS LSIB 2017 (Earth Engine)","drop",325,0.312603129445235
"level","women_vitA","Ghana","JRC Global Surface Water 1.4; USDOS LSIB 2017 (Earth Engine)","only",4,-0.461479374110953
"level","women_vitA","Malawi","JRC Global Surface Water 1.4; USDOS LSIB 2017 (Earth Engine)","drop",325,0.264197710869724
"level","women_vitA","Malawi","JRC Global Surface Water 1.4; USDOS LSIB 2017 (Earth Engine)","only",4,-0.272071152584384
"level","women_vitA","SierraLeone","JRC Global Surface Water 1.4; USDOS LSIB 2017 (Earth Engine)","drop",325,-0.0241758241758242
"level","women_vitA","SierraLeone","JRC Global Surface Water 1.4; USDOS LSIB 2017 (Earth Engine)","only",4,-0.437362637362637
"level","women_vitA","Gambia","WHO ESPEN implementation-unit database 2014-2025 (portal export, no key)","drop",326,0.761512791991101
"level","women_vitA","Gambia","WHO ESPEN implementation-unit database 2014-2025 (portal export, no key)","only",3,0.145294519587209
"level","women_vitA","Ghana","WHO ESPEN implementation-unit database 2014-2025 (portal export, no key)","drop",326,0.296642958748222
"level","women_vitA","Ghana","WHO ESPEN implementation-unit database 2014-2025 (portal export, no key)","only",3,0.12267819027715
"level","women_vitA","Malawi","WHO ESPEN implementation-unit database 2014-2025 (portal export, no key)","drop",326,0.246409564773639
"level","women_vitA","Malawi","WHO ESPEN implementation-unit database 2014-2025 (portal export, no key)","only",3,0.0587323419199997
"level","women_vitA","SierraLeone","WHO ESPEN implementation-unit database 2014-2025 (portal export, no key)","drop",326,-0.0241758241758242
"level","women_vitA","SierraLeone","WHO ESPEN implementation-unit database 2014-2025 (portal export, no key)","only",3,0.301098901098901
"level","women_vitA","Gambia","Global Data Lab Subnational HDI (SHDI)","drop",327,0.772636262513904
"level","women_vitA","Gambia","Global Data Lab Subnational HDI (SHDI)","only",2,0.705105477637315
"level","women_vitA","Ghana","Global Data Lab Subnational HDI (SHDI)","drop",327,0.309672830725462
"level","women_vitA","Ghana","Global Data Lab Subnational HDI (SHDI)","only",2,0.208705169461466
"level","women_vitA","Malawi","Global Data Lab Subnational HDI (SHDI)","drop",327,0.237825326237515
"level","women_vitA","Malawi","Global Data Lab Subnational HDI (SHDI)","only",2,0.381554320623609
"level","women_vitA","SierraLeone","Global Data Lab Subnational HDI (SHDI)","drop",327,0.0153846153846154
"level","women_vitA","SierraLeone","Global Data Lab Subnational HDI (SHDI)","only",2,0.00660066406020837
"level","women_vitA","Gambia","WHO Health Inequality Data Repository (HEAT) - UNICEF MICS by subnational region","drop",312,0.768186874304783
"level","women_vitA","Gambia","WHO Health Inequality Data Repository (HEAT) - UNICEF MICS by subnational region","only",17,0.320215686712248
"level","women_vitA","Ghana","WHO Health Inequality Data Repository (HEAT) - UNICEF MICS by subnational region","drop",312,0.313911806543385
"level","women_vitA","Ghana","WHO Health Inequality Data Repository (HEAT) - UNICEF MICS by subnational region","only",17,-0.129440237059812
"level","women_vitA","Malawi","WHO Health Inequality Data Repository (HEAT) - UNICEF MICS by subnational region","drop",312,0.239574979951884
"level","women_vitA","Malawi","WHO Health Inequality Data Repository (HEAT) - UNICEF MICS by subnational region","only",17,0.0338857975202359
"level","women_vitA","SierraLeone","WHO Health Inequality Data Repository (HEAT) - UNICEF MICS by subnational region","drop",312,0.0197802197802198
"level","women_vitA","SierraLeone","WHO Health Inequality Data Repository (HEAT) - UNICEF MICS by subnational region","only",17,-0.22646696038148
"level","women_vitA","Gambia","ACLED (Armed Conflict Location & Event Data Project) export","drop",322,0.765962180200222
"level","women_vitA","Gambia","ACLED (Armed Conflict Location & Event Data Project) export","only",7,-0.296106785317019
"level","women_vitA","Ghana","ACLED (Armed Conflict Location & Event Data Project) export","drop",322,0.308051209103841
"level","women_vitA","Ghana","ACLED (Armed Conflict Location & Event Data Project) export","only",7,-0.0485064011379801
"level","women_vitA","Malawi","ACLED (Armed Conflict Location & Event Data Project) export","drop",322,0.248341474083254
"level","women_vitA","Malawi","ACLED (Armed Conflict Location & Event Data Project) export","only",7,-0.0821608223372457
"level","women_vitA","SierraLeone","ACLED (Armed Conflict Location & Event Data Project) export","drop",322,0.0241758241758242
"level","women_vitA","SierraLeone","ACLED (Armed Conflict Location & Event Data Project) export","only",7,0.213186813186813
"level","women_vitA","Gambia","HCES microdata (IHS4, IHS 2015/16, SLIHS 2011, GLSS7)","drop",327,0.767741935483871
"level","women_vitA","Gambia","HCES microdata (IHS4, IHS 2015/16, SLIHS 2011, GLSS7)","only",2,0.0389321468298109
"level","women_vitA","Ghana","HCES microdata (IHS4, IHS 2015/16, SLIHS 2011, GLSS7)","drop",327,0.310839260312944
"level","women_vitA","Ghana","HCES microdata (IHS4, IHS 2015/16, SLIHS 2011, GLSS7)","only",2,0.0633717827271997
"level","women_vitA","Malawi","HCES microdata (IHS4, IHS 2015/16, SLIHS 2011, GLSS7)","drop",327,0.24123350586863
"level","women_vitA","Malawi","HCES microdata (IHS4, IHS 2015/16, SLIHS 2011, GLSS7)","only",2,-0.126904570970329
"level","women_vitA","SierraLeone","HCES microdata (IHS4, IHS 2015/16, SLIHS 2011, GLSS7)","drop",327,0.0241758241758242
"level","women_vitA","SierraLeone","HCES microdata (IHS4, IHS 2015/16, SLIHS 2011, GLSS7)","only",2,-0.261538461538461
"level","women_vitA","Gambia","MICS microdata (UNICEF MICS6 2017/2018, MICS5 2013-14)","drop",302,0.765962180200222
"level","women_vitA","Gambia","MICS microdata (UNICEF MICS6 2017/2018, MICS5 2013-14)","only",27,0.753788795663298
"level","women_vitA","Ghana","MICS microdata (UNICEF MICS6 2017/2018, MICS5 2013-14)","drop",302,0.322958748221906
"level","women_vitA","Ghana","MICS microdata (UNICEF MICS6 2017/2018, MICS5 2013-14)","only",27,0.330887343583305
"level","women_vitA","Malawi","MICS microdata (UNICEF MICS6 2017/2018, MICS5 2013-14)","drop",302,0.236002770285048
"level","women_vitA","Malawi","MICS microdata (UNICEF MICS6 2017/2018, MICS5 2013-14)","only",27,0.195213669099895
"level","women_vitA","SierraLeone","MICS microdata (UNICEF MICS6 2017/2018, MICS5 2013-14)","drop",302,0.0549450549450549
"level","women_vitA","SierraLeone","MICS microdata (UNICEF MICS6 2017/2018, MICS5 2013-14)","only",27,-0.0681318681318681
"level","child_iron","Gambia","ALL","full",329,0.420689655172414
"level","child_iron","Ghana","ALL","full",329,0.553684210526316
"level","child_iron","Malawi","ALL","full",329,-0.064008165050667
"level","child_iron","SierraLeone","ALL","full",329,0.221978021978022
"level","child_iron","Gambia","GEE","drop",249,0.431813125695217
"level","child_iron","Gambia","GEE","only",80,0.266740823136819
"level","child_iron","Ghana","GEE","drop",249,0.57302987197724
"level","child_iron","Ghana","GEE","only",80,0.391180654338549
"level","child_iron","Malawi","GEE","drop",249,-0.0805387475395494
"level","child_iron","Malawi","GEE","only",80,-0.0241124152511482
"level","child_iron","SierraLeone","GEE","drop",249,0.38021978021978
