"target","outcome","representation","learner","country","n_areas","n_predictors","spearman","topk"
"prev","child_vitA","mean1","enet","Gambia",30,21,0.519880109469253,0.5
"prev","child_vitA","mean1","enet","Ghana",75,21,0.32215500753023,0.421052631578947
"prev","child_vitA","mean1","enet","Malawi",87,21,0.138580282912512,0.5
"prev","child_vitA","mean1","enet","SierraLeone",14,21,-0.296703296703297,0.25
"prev","child_vitA","mean1","index","Gambia",30,21,0.643947470640793,0.5
"prev","child_vitA","mean1","index","Ghana",75,21,0.327694427497929,0.421052631578947
"prev","child_vitA","mean1","index","Malawi",87,21,0.280368651930922,0.363636363636364
"prev","child_vitA","mean1","index","SierraLeone",14,21,-0.230769230769231,0.25
"prev","child_vitA","pc1","enet","Gambia",30,21,0.508297519198302,0.5
"prev","child_vitA","pc1","enet","Ghana",75,21,0.339001109899866,0.421052631578947
"prev","child_vitA","pc1","enet","Malawi",87,21,0.144363874765398,0.5
"prev","child_vitA","pc1","enet","SierraLeone",14,21,-0.261538461538461,0.25
"prev","child_vitA","pc1","index","Gambia",30,21,0.620336805857699,0.5
"prev","child_vitA","pc1","index","Ghana",75,21,0.336252760147254,0.421052631578947
"prev","child_vitA","pc1","index","Malawi",87,21,0.240132022673148,0.318181818181818
"prev","child_vitA","pc1","index","SierraLeone",14,21,-0.116483516483516,0.25
"prev","child_vitA","pc12","enet","Gambia",30,42,0.356610135072954,0.375
"prev","child_vitA","pc12","enet","Ghana",75,42,0.342190904431394,0.421052631578947
"prev","child_vitA","pc12","enet","Malawi",87,42,0.169283022475294,0.363636363636364
"prev","child_vitA","pc12","enet","SierraLeone",14,42,-0.331868131868132,0.25
"prev","child_vitA","pc12","index","Gambia",30,42,0.62078229009889,0.5
"prev","child_vitA","pc12","index","Ghana",75,42,0.313269151335258,0.473684210526316
"prev","child_vitA","pc12","index","Malawi",87,42,0.183832370730211,0.181818181818182
"prev","child_vitA","pc12","index","SierraLeone",14,42,-0.0021978021978022,0.5
"prev","child_vitA","pc123","enet","Gambia",30,61,0.564205791467703,0.5
"prev","child_vitA","pc123","enet","Ghana",75,61,NA,0.157894736842105
"prev","child_vitA","pc123","enet","Malawi",87,61,0.175156982950882,0.363636363636364
"prev","child_vitA","pc123","enet","SierraLeone",14,61,-0.331868131868132,0.25
"prev","child_vitA","pc123","index","Gambia",30,61,0.623677937666628,0.625
"prev","child_vitA","pc123","index","Ghana",75,61,0.319178815311081,0.473684210526316
"prev","child_vitA","pc123","index","Malawi",87,61,0.157761023080873,0.181818181818182
"prev","child_vitA","pc123","index","SierraLeone",14,61,-0.0153846153846154,0.5
"prev","child_vitA","pcvar","enet","Gambia",30,89,0.50696106647473,0.375
"prev","child_vitA","pcvar","enet","Ghana",75,89,NA,0.157894736842105
"prev","child_vitA","pcvar","enet","Malawi",87,89,0.140839498480046,0.318181818181818
"prev","child_vitA","pcvar","enet","SierraLeone",14,89,-0.331868131868132,0.25
"prev","child_vitA","pcvar","index","Gambia",30,89,0.614990994963414,0.75
"prev","child_vitA","pcvar","index","Ghana",75,89,0.339456794832941,0.526315789473684
"prev","child_vitA","pcvar","index","Malawi",87,89,0.177596935763818,0.136363636363636
"prev","child_vitA","pcvar","index","SierraLeone",14,89,0.010989010989011,0.5
"prev","child_vitA","sup1","enet","Gambia",30,21,0.450161825722948,0.375
"prev","child_vitA","sup1","enet","Ghana",75,21,0.254514275276834,0.578947368421053
"prev","child_vitA","sup1","enet","Malawi",87,21,0.0725660040291799,0.409090909090909
"prev","child_vitA","sup1","enet","SierraLeone",14,21,-0.0681318681318681,0.25
"prev","child_vitA","sup1","index","Gambia",30,21,0.642388275796627,0.625
"prev","child_vitA","sup1","index","Ghana",75,21,0.355989613811087,0.473684210526316
"prev","child_vitA","sup1","index","Malawi",87,21,0.193343668269527,0.227272727272727
"prev","child_vitA","sup1","index","SierraLeone",14,21,-0.0901098901098901,0.5
"prev","child_vitA","raw","enet","Gambia",30,329,0.363069656570216,0.625
"prev","child_vitA","raw","enet","Ghana",75,329,0.0173445077651868,0.315789473684211
"prev","child_vitA","raw","enet","Malawi",87,329,-0.0281724181271442,0.272727272727273
"prev","child_vitA","raw","enet","SierraLeone",14,329,-0.2,0.25
"prev","women_vitA","mean1","enet","Gambia",30,21,NA,0.125
"prev","women_vitA","mean1","enet","Ghana",75,21,0.0748485884947374,0.368421052631579
"prev","women_vitA","mean1","enet","Malawi",87,21,0.213558170310479,0.363636363636364
"prev","women_vitA","mean1","enet","SierraLeone",14,21,0.218268368582778,0.25
"prev","women_vitA","mean1","index","Gambia",30,21,0.452195445745882,0.375
"prev","women_vitA","mean1","index","Ghana",75,21,0.00815200744045247,0.315789473684211
"prev","women_vitA","mean1","index","Malawi",87,21,0.211311667532722,0.318181818181818
"prev","women_vitA","mean1","index","SierraLeone",14,21,-0.0586742926297791,0.5
"prev","women_vitA","pc1","enet","Gambia",30,21,NA,0.125
"prev","women_vitA","pc1","enet","Ghana",75,21,0.110636997840939,0.368421052631579
"prev","women_vitA","pc1","enet","Malawi",87,21,0.0867711697908453,0.409090909090909
"prev","women_vitA","pc1","enet","SierraLeone",14,21,0.22296231199316,0.25
"prev","women_vitA","pc1","index","Gambia",30,21,0.536908759660912,0.5
"prev","women_vitA","pc1","index","Ghana",75,21,0.0670804199696425,0.368421052631579
"prev","women_vitA","pc1","index","Malawi",87,21,0.217349143747943,0.409090909090909
"prev","women_vitA","pc1","index","SierraLeone",14,21,0.115001613554367,0.25
"prev","women_vitA","pc12","enet","Gambia",30,42,-0.0741534825405805,0.375
"prev","women_vitA","pc12","enet","Ghana",75,42,0.0898365842372733,0.368421052631579
"prev","women_vitA","pc12","enet","Malawi",87,42,NA,0.909090909090909
"prev","women_vitA","pc12","enet","SierraLeone",14,42,-0.00234697170519116,0.5
"prev","women_vitA","pc12","index","Gambia",30,42,0.451022131148721,0.375
"prev","women_vitA","pc12","index","Ghana",75,42,0.0737701839230183,0.421052631578947
"prev","women_vitA","pc12","index","Malawi",87,42,0.208292929425112,0.272727272727273
