"estimand","scheme","arm","cells","exact_admin2","within1_admin2","exact_admin1","within1_admin1"
"country","bands_5_20_40","transport_anchored_climate_soil",14,0.533481116584565,0.921914144968332,0.638888888888889,0.962797619047619
"country","bands_5_20_40","transport_anchored_full",14,0.499739619985925,0.926786300727187,0.594246031746032,0.959160052910053
"country","who20","transport_anchored_climate_soil",14,0.76404410039878,1,0.779100529100529,1
"country","who20","transport_anchored_full",14,0.745859723199625,1,0.769179894179894,1
"country","who_vitA","transport_anchored_climate_soil",8,0.606617405582923,0.949396551724138,0.754918981481482,1
"country","who_vitA","transport_anchored_full",8,0.615784072249589,0.944634646962233,0.796585648148148,1
"infill","bands_5_20_40","domain_index",16,0.586508620689655,0.892126436781609,0.61766975308642,0.943094135802469
"infill","bands_5_20_40","region_mean_jk",16,0.618117816091954,0.920632183908046,0.761188271604938,0.988618827160494
"infill","bands_5_20_40","spatial",16,0.627198275862069,0.931896551724138,0.686728395061728,0.965856481481482
"infill","bands_5_20_40","spatial_plus_domain",16,0.621551724137931,0.935488505747126,0.692901234567901,0.975115740740741
"infill","who20","domain_index",16,0.823261494252874,1,0.847029320987654,1
"infill","who20","region_mean_jk",16,0.82125,1,0.89891975308642,1
"infill","who20","spatial",16,0.828060344827586,1,0.838927469135803,1
"infill","who20","spatial_plus_domain",16,0.829497126436782,1,0.845100308641975,1
"infill","who_vitA","domain_index",8,0.640775862068966,0.909396551724138,0.728780864197531,0.947916666666667
"infill","who_vitA","region_mean_jk",8,0.65933908045977,0.942729885057471,0.739197530864197,1
"infill","who_vitA","spatial",8,0.682212643678161,0.942729885057471,0.746141975308642,1
"infill","who_vitA","spatial_plus_domain",8,0.669712643678161,0.936896551724138,0.763503086419753,1
