"estimand","target","arm","paired","mean_diff","median_diff","cells_better"
"infill","level","sl_disc",2,-0.0673523020033283,-0.0673523020033283,1
"infill","prev","sl_disc",2,-0.0657838002807449,-0.0657838002807449,1
"region","level","sl_disc",2,-0.0254787000682132,-0.0254787000682132,1
"region","prev","sl_disc",2,-0.0642751866938023,-0.0642751866938023,1
"infill","level","sl_nnls",2,0.0382007727637238,0.0382007727637238,1
"infill","prev","sl_nnls",2,-0.0304319834583585,-0.0304319834583585,1
"region","level","sl_nnls",2,0.073558358241598,0.073558358241598,2
"region","prev","sl_nnls",2,-0.0123477907483858,-0.0123477907483858,0
"infill","level","sl_rank_disc",2,0.0598800758183276,0.0598800758183276,2
"infill","prev","sl_rank_disc",2,-0.0125292555181532,-0.0125292555181532,1
"region","level","sl_rank_disc",2,0.159646788656412,0.159646788656412,2
"region","prev","sl_rank_disc",2,0.0229744139264083,0.0229744139264083,1
"infill","level","sl_rank_nnls",2,0.00726288547058396,0.00726288547058396,1
"infill","prev","sl_rank_nnls",2,-0.0492612071109727,-0.0492612071109727,0
"region","level","sl_rank_nnls",2,0.0886764598673179,0.0886764598673179,2
"region","prev","sl_rank_nnls",2,0.0106367815127343,0.0106367815127343,1
"infill","level","sl_lrn_mean",2,-0.469010271469031,-0.469010271469031,0
"infill","prev","sl_lrn_mean",2,-0.312545794290743,-0.312545794290743,0
"region","level","sl_lrn_mean",2,-0.757425448085249,-0.757425448085249,0
"region","prev","sl_lrn_mean",2,-0.548879000335229,-0.548879000335229,0
"infill","level","sl_lrn_lasso",2,-0.152318957486965,-0.152318957486965,1
"infill","prev","sl_lrn_lasso",2,-0.0124408178675589,-0.0124408178675589,1
"region","level","sl_lrn_lasso",2,-0.226553026690867,-0.226553026690867,1
"region","prev","sl_lrn_lasso",2,-0.0709795946233665,-0.0709795946233665,1
"infill","level","sl_lrn_enet",2,-0.1186388639614,-0.1186388639614,1
"infill","prev","sl_lrn_enet",2,-0.0232146767185414,-0.0232146767185414,1
"region","level","sl_lrn_enet",2,-0.13033706580767,-0.13033706580767,1
