"country","outcome","fraction","rep","arm","n_areas","mae","rho"
"Gambia","child_vitA",0.4,3,"model_sp",30,12.1854126702624,0.338345281184146
"Gambia","child_vitA",0.4,4,"survey",30,12.1084135647425,0.160374326828561
"Gambia","child_vitA",0.4,4,"model_idx",30,12.452939280047,0.613654542239843
"Gambia","child_vitA",0.4,4,"aug_idx",30,15.4385661517771,-0.0826373267408282
"Gambia","child_vitA",0.4,4,"model_sp",30,10.3983222429099,0.546386421820085
"Gambia","child_vitA",0.4,5,"survey",30,10.8612552883546,0.416908255940442
"Gambia","child_vitA",0.4,5,"model_idx",30,14.147217530205,0.607195020742581
"Gambia","child_vitA",0.4,5,"aug_idx",30,16.0586065072797,0.0438801977572592
"Gambia","child_vitA",0.4,5,"model_sp",30,13.2226597087834,0.225637768162962
"Gambia","child_vitA",0.4,6,"survey",30,10.4030892499377,0.419423413080807
"Gambia","child_vitA",0.4,6,"model_idx",30,19.5565070049753,0.570442570844369
"Gambia","child_vitA",0.4,6,"aug_idx",30,16.0655828218591,0.153023836848919
"Gambia","child_vitA",0.4,6,"model_sp",30,11.7086533019999,0.428778582145807
"Gambia","child_vitA",0.4,7,"survey",30,10.7328284779516,0.333890438772241
"Gambia","child_vitA",0.4,7,"model_idx",30,12.3683093759188,0.589598393215559
"Gambia","child_vitA",0.4,7,"aug_idx",30,13.279838534275,0.0106916217885708
"Gambia","child_vitA",0.4,7,"model_sp",30,11.4343403620029,0.493151054997826
"Gambia","child_vitA",0.4,8,"survey",30,10.4407965629848,0.322085106380694
"Gambia","child_vitA",0.4,8,"model_idx",30,12.7142541826177,0.552623201196751
"Gambia","child_vitA",0.4,8,"aug_idx",30,13.5205328504759,0.160597068949157
"Gambia","child_vitA",0.4,8,"model_sp",30,12.8476689042445,0.225192283921772
"Gambia","child_vitA",0.6,1,"survey",30,8.85745859028854,0.457957799943781
"Gambia","child_vitA",0.6,1,"model_idx",30,12.478494889016,0.62122777434008
"Gambia","child_vitA",0.6,1,"aug_idx",30,13.4215784388131,0.27798216650284
"Gambia","child_vitA",0.6,1,"model_sp",30,11.2137087718472,0.482904917450446
"Gambia","child_vitA",0.6,2,"survey",30,10.4056789120333,0.456449380936129
"Gambia","child_vitA",0.6,2,"model_idx",30,14.6358768382668,0.63102842764627
"Gambia","child_vitA",0.6,2,"aug_idx",30,12.8441635947248,0.325203496069027
"Gambia","child_vitA",0.6,2,"model_sp",30,10.4862967297026,0.604967599536629
"Gambia","child_vitA",0.6,3,"survey",30,10.4388057487829,0.445484241190449
"Gambia","child_vitA",0.6,3,"model_idx",30,14.9655768559145,0.504733645268778
"Gambia","child_vitA",0.6,3,"aug_idx",30,17.7365349981382,0.112930255141779
"Gambia","child_vitA",0.6,3,"model_sp",30,11.7698228434363,0.543268032131752
"Gambia","child_vitA",0.6,4,"survey",30,10.3700590695649,0.235241847861665
"Gambia","child_vitA",0.6,4,"model_idx",30,14.1305310238053,0.552400459076156
"Gambia","child_vitA",0.6,4,"aug_idx",30,14.3611833034414,0.0432119713954735
"Gambia","child_vitA",0.6,4,"model_sp",30,12.1219599410089,0.438133751210806
"Gambia","child_vitA",0.6,5,"survey",30,10.659860048318,0.262167475940579
"Gambia","child_vitA",0.6,5,"model_idx",30,14.5506455557535,0.537922221237467
"Gambia","child_vitA",0.6,5,"aug_idx",30,15.2944025614754,0.109811865453446
"Gambia","child_vitA",0.6,5,"model_sp",30,12.3151336737933,0.489587181068303
"Gambia","child_vitA",0.6,6,"survey",30,10.6482437829644,0.416750507633665
"Gambia","child_vitA",0.6,6,"model_idx",30,19.2832570330938,0.519880109469253
"Gambia","child_vitA",0.6,6,"aug_idx",30,16.042632103346,0.127631235101064
"Gambia","child_vitA",0.6,6,"model_sp",30,12.5614327613064,0.535694800031514
"Gambia","child_vitA",0.6,7,"survey",30,9.94614591403475,0.405613401603903
"Gambia","child_vitA",0.6,7,"model_idx",30,12.6874410558406,0.588484682612582
"Gambia","child_vitA",0.6,7,"aug_idx",30,12.4596907728305,0.290901209497363
"Gambia","child_vitA",0.6,7,"model_sp",30,9.69727429607519,0.467981195370566
"Gambia","child_vitA",0.6,8,"survey",30,9.44513153998358,0.471099585058899
"Gambia","child_vitA",0.6,8,"model_idx",30,14.3342402960081,0.522998499157587
"Gambia","child_vitA",0.6,8,"aug_idx",30,15.4893985670434,0.119835260880231
"Gambia","child_vitA",0.6,8,"model_sp",30,13.8581092618343,0.167947558928799
"Gambia","child_vitA",0.8,1,"survey",30,9.32392868430258,0.469985874455923
"Gambia","child_vitA",0.8,1,"model_idx",30,11.8534915618418,0.547277390302466
"Gambia","child_vitA",0.8,1,"aug_idx",30,12.9147327836471,0.235438421469152
"Gambia","child_vitA",0.8,1,"model_sp",30,10.9879809490526,0.358169329917121
"Gambia","child_vitA",0.8,2,"survey",30,9.09514149258877,0.465531032044019
"Gambia","child_vitA",0.8,2,"model_idx",30,12.5622758193,0.570219828723774
"Gambia","child_vitA",0.8,2,"aug_idx",30,11.331676029828,0.344359318440217
"Gambia","child_vitA",0.8,2,"model_sp",30,10.3028063156959,0.503397192545207
"Gambia","child_vitA",0.8,3,"survey",30,9.46352311780709,0.399153880106642
"Gambia","child_vitA",0.8,3,"model_idx",30,13.0710963400793,0.602294694089486
"Gambia","child_vitA",0.8,3,"aug_idx",30,12.8193774053032,0.29758347311522
"Gambia","child_vitA",0.8,3,"model_sp",30,11.5455864129183,0.490032665309493
"Gambia","child_vitA",0.8,4,"survey",30,9.46522694027791,0.413789519321064
"Gambia","child_vitA",0.8,4,"model_idx",30,12.3453038224518,0.588707424733178
"Gambia","child_vitA",0.8,4,"aug_idx",30,12.0202758244632,0.298919925838791
"Gambia","child_vitA",0.8,4,"model_sp",30,10.2448150614225,0.48646879137997
"Gambia","child_vitA",0.8,5,"survey",30,9.9576153610232,0.464862805682233
"Gambia","child_vitA",0.8,5,"model_idx",30,13.4888750458942,0.540595126684609
"Gambia","child_vitA",0.8,5,"aug_idx",30,14.1104290254226,0.261499249578793
"Gambia","child_vitA",0.8,5,"model_sp",30,13.3511037476159,0.384230158026762
"Gambia","child_vitA",0.8,6,"survey",30,9.53945649967651,0.459071510546757
"Gambia","child_vitA",0.8,6,"model_idx",30,12.9332673256282,0.530126247016634
"Gambia","child_vitA",0.8,6,"aug_idx",30,14.3237757886333,0.162379005913918
"Gambia","child_vitA",0.8,6,"model_sp",30,10.2213187414944,0.460853447511519
"Gambia","child_vitA",0.8,7,"survey",30,9.42105083897959,0.551064006352585
"Gambia","child_vitA",0.8,7,"model_idx",30,12.8406288707195,0.619891321616509
"Gambia","child_vitA",0.8,7,"aug_idx",30,12.8949062317729,0.379998057735453
"Gambia","child_vitA",0.8,7,"model_sp",30,9.42876211714244,0.539035931840443
"Gambia","child_vitA",0.8,8,"survey",30,9.99944178966614,0.367747241102715
"Gambia","child_vitA",0.8,8,"model_idx",30,12.3634259733687,0.573115476291512
"Gambia","child_vitA",0.8,8,"aug_idx",30,11.4873404260425,0.301370089165338
"Gambia","child_vitA",0.8,8,"model_sp",30,11.298253682887,0.49159186015366
"Gambia","child_vitA",1,1,"survey",30,9.27664708356822,0.486023307138779
"Gambia","child_vitA",1,1,"model_idx",30,11.2638515251437,0.615436479204605
"Gambia","child_vitA",1,1,"aug_idx",30,10.9189598977996,0.368860951705691
"Gambia","child_vitA",1,1,"model_sp",30,10.1531597385313,0.449048115119972
"Gambia","child_vitA",1,2,"survey",30,9.27664708356822,0.486023307138779
"Gambia","child_vitA",1,2,"model_idx",30,11.2008685569169,0.624791648269604
"Gambia","child_vitA",1,2,"aug_idx",30,11.1631449713602,0.375765957444143
"Gambia","child_vitA",1,2,"model_sp",30,9.62316240668375,0.559973691176394
"Gambia","child_vitA",1,3,"survey",30,9.27664708356822,0.486023307138779
"Gambia","child_vitA",1,3,"model_idx",30,12.3169958977819,0.593162267145082
"Gambia","child_vitA",1,3,"aug_idx",30,11.8926255387392,0.295801536150458
"Gambia","child_vitA",1,3,"model_sp",30,10.0450657146982,0.519434625228063
"Gambia","child_vitA",1,4,"survey",30,9.27664708356822,0.486023307138779
"Gambia","child_vitA",1,4,"model_idx",30,10.6954896709197,0.633033106731627
"Gambia","child_vitA",1,4,"aug_idx",30,10.6634504915902,0.433456166678306
"Gambia","child_vitA",1,4,"model_sp",30,9.98359688345039,0.490923633791874
"Gambia","child_vitA",1,5,"survey",30,9.27664708356822,0.486023307138779
"Gambia","child_vitA",1,5,"model_idx",30,11.3100729843246,0.666667166941506
"Gambia","child_vitA",1,5,"aug_idx",30,11.0208758352766,0.391357905885809
"Gambia","child_vitA",1,5,"model_sp",30,10.4022745987664,0.520548335831039
"Gambia","child_vitA",1,6,"survey",30,9.27664708356822,0.486023307138779
"Gambia","child_vitA",1,6,"model_idx",30,11.6700053810418,0.559750949055799
"Gambia","child_vitA",1,6,"aug_idx",30,11.6050701814441,0.280877814070578
"Gambia","child_vitA",1,6,"model_sp",30,10.0456976024484,0.480900238365089
"Gambia","child_vitA",1,7,"survey",30,9.27664708356822,0.486023307138779
"Gambia","child_vitA",1,7,"model_idx",30,11.2285243475882,0.593162267145082
"Gambia","child_vitA",1,7,"aug_idx",30,11.2051282957261,0.315402842762838
"Gambia","child_vitA",1,7,"model_sp",30,11.5795950094752,0.442588593622711
"Gambia","child_vitA",1,8,"survey",30,9.27664708356822,0.486023307138779
"Gambia","child_vitA",1,8,"model_idx",30,11.0567436250701,0.654193608188174
"Gambia","child_vitA",1,8,"aug_idx",30,10.730295868051,0.414077602186522
"Gambia","child_vitA",1,8,"model_sp",30,10.6069664154373,0.492482828636041
"Gambia","women_vitA",0.15,1,"survey",30,4.4012039868537,-0.0267575262086512
"Gambia","women_vitA",0.15,1,"model_idx",30,3.40136529293166,0.30482713234245
"Gambia","women_vitA",0.15,1,"aug_idx",30,5.26639756594535,-0.0152530897630941
"Gambia","women_vitA",0.15,1,"model_sp",30,3.39420613627382,0.194535560209308
"Gambia","women_vitA",0.15,2,"survey",30,5.01919765743875,-0.1024042006632
"Gambia","women_vitA",0.15,2,"model_idx",30,4.2016501987395,0.0849479768344625
"Gambia","women_vitA",0.15,2,"aug_idx",30,7.03384751295927,-0.100905055355853
"Gambia","women_vitA",0.15,2,"model_sp",30,3.32651449349713,0.107710280019388
"Gambia","women_vitA",0.15,3,"survey",30,4.89976065825169,0.0766344939221459
"Gambia","women_vitA",0.15,3,"model_idx",30,4.02447234484455,0.458062018731687
"Gambia","women_vitA",0.15,3,"aug_idx",30,6.02318184485458,0.110995560891439
"Gambia","women_vitA",0.15,3,"model_sp",30,3.46673808525081,0.335333311868638
"Gambia","women_vitA",0.15,4,"survey",30,4.93592979078139,-0.306204878838779
"Gambia","women_vitA",0.15,4,"model_idx",30,3.60157111540514,0.401977580987387
"Gambia","women_vitA",0.15,4,"aug_idx",30,4.57462193849825,-0.202514099470003
"Gambia","women_vitA",0.15,4,"model_sp",30,3.1092000360208,0.370298086864038
"Gambia","women_vitA",0.15,5,"survey",30,5.35383937074482,-0.126980891920003
"Gambia","women_vitA",0.15,5,"model_idx",30,4.27865532161187,0.21166595332786
"Gambia","women_vitA",0.15,5,"aug_idx",30,7.9279935124642,-0.274086289896829
"Gambia","women_vitA",0.15,5,"model_sp",30,3.23161676415868,0.316090952475196
"Gambia","women_vitA",0.15,6,"survey",30,3.73528169569225,0.191740934608815
"Gambia","women_vitA",0.15,6,"model_idx",30,2.75769987060075,0.496781400438003
"Gambia","women_vitA",0.15,6,"aug_idx",30,3.42930459720279,0.228092357688115
"Gambia","women_vitA",0.15,6,"model_sp",30,3.10966568302807,0.417230670750481
"Gambia","women_vitA",0.15,7,"survey",30,5.32164980517329,-0.0807330250984484
"Gambia","women_vitA",0.15,7,"model_idx",30,4.44596681268528,0.492088142049359
"Gambia","women_vitA",0.15,7,"aug_idx",30,5.31302018682964,0.0405966850617735
"Gambia","women_vitA",0.15,7,"model_sp",30,3.88169988883166,0.477773703963993
"Gambia","women_vitA",0.15,8,"survey",30,4.35734811429067,0.159385379225014
"Gambia","women_vitA",0.15,8,"model_idx",30,3.74313356267591,0.446798198598941
"Gambia","women_vitA",0.15,8,"aug_idx",30,4.4321948199465,0.0772041004931993
"Gambia","women_vitA",0.15,8,"model_sp",30,4.26663566172697,0.340495896096147
"Gambia","women_vitA",0.25,1,"survey",30,4.6335373791506,-0.209107922566039
"Gambia","women_vitA",0.25,1,"model_idx",30,2.99913526074819,0.47214179389762
"Gambia","women_vitA",0.25,1,"aug_idx",30,4.49230912685674,-0.230908312721301
"Gambia","women_vitA",0.25,1,"model_sp",30,3.29015133249504,0.32712010968851
"Gambia","women_vitA",0.25,2,"survey",30,4.73717339255398,-0.274116782892406
"Gambia","women_vitA",0.25,2,"model_idx",30,3.06873163147465,0.322661514219298
"Gambia","women_vitA",0.25,2,"aug_idx",30,4.84653063453971,-0.197820841081359
"Gambia","women_vitA",0.25,2,"model_sp",30,3.25229672300017,0.265169098958405
"Gambia","women_vitA",0.25,3,"survey",30,5.11717377696707,-0.117357571090576
"Gambia","women_vitA",0.25,3,"model_idx",30,3.14848130240059,0.486456231982985
"Gambia","women_vitA",0.25,3,"aug_idx",30,5.40111381482717,0.0145491010047974
"Gambia","women_vitA",0.25,3,"model_sp",30,2.85228640055798,0.44984881655156
"Gambia","women_vitA",0.25,4,"survey",30,4.92850920966782,-0.0920083357350113
"Gambia","women_vitA",0.25,4,"model_idx",30,5.26914401305435,0.427790502124931
"Gambia","women_vitA",0.25,4,"aug_idx",30,6.22220955473735,-0.278310222446609
"Gambia","women_vitA",0.25,4,"model_sp",30,4.0013561456669,0.190311627659528
"Gambia","women_vitA",0.25,5,"survey",30,5.34317231926006,-0.0492792130807655
"Gambia","women_vitA",0.25,5,"model_idx",30,3.82451536977147,0.478947018561155
"Gambia","women_vitA",0.25,5,"aug_idx",30,5.19123330556781,0.0840093251567336
"Gambia","women_vitA",0.25,5,"model_sp",30,2.68751321743794,0.528930220400217
"Gambia","women_vitA",0.25,6,"survey",30,4.23702424175127,-0.000586722566122445
"Gambia","women_vitA",0.25,6,"model_idx",30,3.06223727903512,0.435299715546762
"Gambia","women_vitA",0.25,6,"aug_idx",30,4.55329847159839,-0.0635936511661308
"Gambia","women_vitA",0.25,6,"model_sp",30,3.20332488754274,0.282064829157525
"Gambia","women_vitA",0.25,7,"survey",30,4.68718572831615,0.456352811930038
"Gambia","women_vitA",0.25,7,"model_idx",30,6.21343001091991,0.475896400608536
"Gambia","women_vitA",0.25,7,"aug_idx",30,6.20516963625709,0.370063423944606
"Gambia","women_vitA",0.25,7,"model_sp",30,8.9475812072752,0.475192411850239
"Gambia","women_vitA",0.25,8,"survey",30,4.04627181021106,0.273746147619632
