"country","Admin1","Admin2","n","n_eff","p_low","median_uic","mean_log_uic","salt_ppm","share_iodised"
"Gambia","Banjul","Banjul",225,194.100917885515,0.216180721653647,156.636039789928,4.95752473298876,4.15,0.0247099089225454
"Gambia","Banjul","Kanifing",138,120.951634631554,0.168122234578074,177.799228494493,5.11770011209722,5.08177570093458,0.0532372761867359
"Gambia","Lower River","Jarra East",41,40.3486957318177,0.581337415442011,84.8688770833531,4.30663159982935,5.74425574425574,0.0256536578451325
"Gambia","Lower River","Jarra West",61,59.1848887500634,0.288614843484719,158.358164755924,4.9844851128682,4.49561403508772,0
"Gambia","Lower River","Kiang Central",20,20,0.75,73.537518564198,4.17232460545322,4.23728813559322,0
"Gambia","Lower River","Kiang East",21,21,0.857142857142857,53.9801545538052,3.98345601784453,3.98803589232303,0
"Gambia","Maccarthy Island","Fulladu West",144,78.4720891434331,0.417090678964649,123.446668127602,4.77248891112722,4.39121756487026,0.0625731078493441
"Gambia","Maccarthy Island","Lower Saloum",10,10,0.9,49.3603845997273,3.84120386556896,5.23952095808383,0
"Gambia","Maccarthy Island","Niamina Dankunku",20,20,0.95,55.1905550804545,3.81597146263954,5.02,0
"Gambia","Maccarthy Island","Niamina East",22,22,0.227272727272727,160.428944307008,5.00793230368626,5.18962075848303,0.130434782608696
"Gambia","Maccarthy Island","Niani",45,35.6664618421289,0.620828889185525,77.4659329373816,4.08646898148571,6.2,0.0966654831641566
"Gambia","Maccarthy Island","Nianija",20,19.9999049221836,0.400044506148554,108.677266977288,4.70626092316484,8.07086614173228,0.0527302167735043
"Gambia","Maccarthy Island","Sami",18,18,0.388888888888889,105.901527813251,4.2535045436037,12.4,0.277777777777778
"Gambia","North Bank","Central Baddibu",32,32,0.28125,151.203410295741,4.96082087686266,5.85,0.172413793103448
"Gambia","North Bank","Jokadu",12,12,0.416666666666667,128.971102598573,4.86408876871445,6.08782435129741,0
"Gambia","North Bank","Lower Baddibu",23,23,0.478260869565217,102.859262049848,4.40084702466474,4.83549351944168,0
"Gambia","North Bank","Upper Nuimi",17,17,0.470588235294118,113.71450196155,4.5936461177533,7.14285714285714,0.411764705882353
"Gambia","Upper River","Fulladu East",152,126.253239019901,0.17807803716457,190.866948892247,5.28660024673475,8.29170829170829,0.177727804602185
"Gambia","Upper River","Kantora",16,16,0.625,85.9158812996136,4.3835341889011,4.45,0
"Gambia","Upper River","Sandu",15,15,0.4,129.831224082686,4.65726576765329,4.85,0
"Gambia","Upper River","Wuli",10,10,0.4,119.469704697493,4.73738144399813,4.75490196078431,0
"Gambia","Western","Foni Bintang Karanai",20,20,0.15,174.999749030928,5.03403315696874,4.79041916167665,0.277777777777778
"Gambia","Western","Foni Brefet",16,16,0.5,87.3438430598133,4.77604709911546,3.95,0.3125
"Gambia","Western","Kombo Central",40,39.9625074453692,0.299687384480134,158.611146623792,4.83992333852008,4.59081836327345,0.0260659948622804
"Gambia","Western","Kombo East",27,27,0.37037037037037,110.150125154377,4.82074546771453,4.33168316831683,0.105263157894737
"Gambia","Western","Kombo Saint Mary",91,72.1675953414304,0.199445696657222,187.175215471067,5.04808330945553,4.995004995005,0.0666215580256163
"Gambia","Western","Kombo South",29,29,0.137931034482759,191.510729388286,5.21071217528118,5.58282208588957,0.172413793103448
"SierraLeone","Eastern","Kailahun",23,16.1705131203994,0.269732753262896,NA,NA,27.0909930715935,0.873857723754974
"SierraLeone","Eastern","Kenema",60,43.1684173961254,0.210071413246698,NA,NA,24.7969976905312,0.890046768574029
"SierraLeone","Eastern","Kono",20,17.1347764040844,0.139314145744029,NA,NA,24.0323325635104,0.882848165056027
"SierraLeone","Northern","Bombali",19,13.4716302966374,0.0661048961208775,NA,NA,25.0154734411085,0.724732648353953
"SierraLeone","Northern","Kambia",18,15.850565696361,0.508406264394288,NA,NA,5.40727482678984,0.276318063958513
"SierraLeone","Northern","Koinadugu",20,16.572735161184,0.28892747870669,NA,NA,23.7592378752887,0.705059710873664
"SierraLeone","Northern","Port Loko",54,38.2739165080349,0.300340805452887,NA,NA,19.5535796766744,0.638923531342304
"SierraLeone","Northern","Tonkolili",31,24.8913657107043,0.19157444943574,NA,NA,25.889376443418,0.827889814408885
"SierraLeone","Southern","Bo",36,26.4684626254338,0.109150356071125,NA,NA,26.053233256351,0.941891547861507
"SierraLeone","Southern","Bonthe",28,23.325972038803,0.0759578160459218,NA,NA,26.4355658198614,0.939173967459324
"SierraLeone","Southern","Moyamba",14,10.2343159503706,0.870974174892811,NA,NA,5.76229792147806,0.250839359504132
"SierraLeone","Southern","Pujehun",42,33.439610396576,0.108915906788247,NA,NA,23.7592378752887,0.943120158664821
"SierraLeone","Western","Western Rural",64,44.8865599130602,0.128910487265154,NA,NA,30.3135103926097,0.921544614324805
"SierraLeone","Western","Western Urban",87,62.3530791865187,0.0620778457993539,NA,NA,27.3094688221709,0.930158069883527
