"country","outcome","target","estimand","arm","rep","n_units","collapsed","spearman","wmae"
"Ghana","child_vitA","level","infill","null_train_mean",6,75,FALSE,-0.226461849280858,0.101509579651253
"Ghana","child_vitA","level","infill","null_train_mean",7,75,FALSE,-0.195976600339204,0.101637947689892
"Ghana","child_vitA","level","infill","null_train_mean",8,75,FALSE,-0.171152897629571,0.0999996496258894
"Ghana","child_vitA","level","infill","null_train_mean",9,75,FALSE,-0.197283111008132,0.100801309455984
"Ghana","child_vitA","level","infill","null_train_mean",10,75,FALSE,-0.188137536325636,0.100859385157917
"Ghana","child_vitA","level","infill","spatial",1,75,FALSE,0.306429587482219,0.0952517337797997
"Ghana","child_vitA","level","infill","spatial",2,75,FALSE,0.333826458036984,0.0904227929384378
"Ghana","child_vitA","level","infill","spatial",3,75,FALSE,0.283641536273115,0.0961736809110152
"Ghana","child_vitA","level","infill","spatial",4,75,FALSE,0.358833570412518,0.0940254755490954
"Ghana","child_vitA","level","infill","spatial",5,75,FALSE,0.348790896159317,0.0916946136158055
"Ghana","child_vitA","level","infill","spatial",6,75,FALSE,0.400284495021337,0.0866289692710108
"Ghana","child_vitA","level","infill","spatial",7,75,FALSE,0.37778093883357,0.0914090232939399
"Ghana","child_vitA","level","infill","spatial",8,75,FALSE,0.390896159317212,0.0880417377579198
"Ghana","child_vitA","level","infill","spatial",9,75,FALSE,0.428051209103841,0.0914580347318973
"Ghana","child_vitA","level","infill","spatial",10,75,FALSE,0.415334281650071,0.0861453688637973
"Ghana","child_vitA","level","infill","domain_index",1,75,FALSE,0.242304409672831,0.121229451883822
"Ghana","child_vitA","level","infill","domain_index",2,75,FALSE,0.29302987197724,0.113176790646036
"Ghana","child_vitA","level","infill","domain_index",3,75,FALSE,0.322873399715505,0.115923088180003
"Ghana","child_vitA","level","infill","domain_index",4,75,FALSE,0.229644381223329,0.119898052858817
"Ghana","child_vitA","level","infill","domain_index",5,75,FALSE,0.313058321479374,0.115421070151639
"Ghana","child_vitA","level","infill","domain_index",6,75,FALSE,0.309416785206259,0.117800532654981
"Ghana","child_vitA","level","infill","domain_index",7,75,FALSE,0.329246088193457,0.1163146857568
"Ghana","child_vitA","level","infill","domain_index",8,75,FALSE,0.257382645803698,0.118813929258964
"Ghana","child_vitA","level","infill","domain_index",9,75,FALSE,0.338918918918919,0.112986878103205
"Ghana","child_vitA","level","infill","domain_index",10,75,FALSE,0.330981507823613,0.11662310099774
"Ghana","child_vitA","level","infill","domain_enet",1,75,FALSE,0.29877667140825,0.0954213443617961
"Ghana","child_vitA","level","infill","domain_enet",2,75,FALSE,0.292775834165833,0.0967250737852142
"Ghana","child_vitA","level","infill","domain_enet",3,75,FALSE,0.373001422475107,0.0913195618320366
"Ghana","child_vitA","level","infill","domain_enet",4,75,FALSE,0.098058481823542,0.104494322930861
"Ghana","child_vitA","level","infill","domain_enet",5,75,FALSE,0.3875106685633,0.0940925589247245
"Ghana","child_vitA","level","infill","domain_enet",6,75,FALSE,0.296756756756757,0.100638478223922
"Ghana","child_vitA","level","infill","domain_enet",7,75,FALSE,0.294110953058321,0.0988717680996907
"Ghana","child_vitA","level","infill","domain_enet",8,75,FALSE,0.325007112375533,0.096509424251567
"Ghana","child_vitA","level","infill","domain_enet",9,75,FALSE,0.33900426742532,0.0953152404952116
"Ghana","child_vitA","level","infill","domain_enet",10,75,FALSE,0.404096728307255,0.0886721475068969
"Ghana","child_vitA","level","infill","spatial_plus_domain",1,75,FALSE,0.301337126600284,0.0955477677537577
"Ghana","child_vitA","level","infill","spatial_plus_domain",2,75,FALSE,0.352944523470839,0.0911939200182636
"Ghana","child_vitA","level","infill","spatial_plus_domain",3,75,FALSE,0.340170697012802,0.0953200762445557
"Ghana","child_vitA","level","infill","spatial_plus_domain",4,75,FALSE,0.342304409672831,0.095561292490365
"Ghana","child_vitA","level","infill","spatial_plus_domain",5,75,FALSE,0.35149359886202,0.0922290244759268
"Ghana","child_vitA","level","infill","spatial_plus_domain",6,75,FALSE,0.448051209103841,0.0883474153790426
"Ghana","child_vitA","level","infill","spatial_plus_domain",7,75,FALSE,0.384324324324324,0.0915506815243408
"Ghana","child_vitA","level","infill","spatial_plus_domain",8,75,FALSE,0.39877667140825,0.0896222688869344
"Ghana","child_vitA","level","infill","spatial_plus_domain",9,75,FALSE,0.420256045519203,0.092074769740016
"Ghana","child_vitA","level","infill","spatial_plus_domain",10,75,FALSE,0.418207681365576,0.0854426662254533
"Malawi","child_vitA","level","infill","null_train_mean",1,27,TRUE,-0.42518833940613,0.0519229586552433
"Malawi","child_vitA","level","infill","null_train_mean",2,27,TRUE,-0.368496560818646,0.0511965249522239
"Malawi","child_vitA","level","infill","null_train_mean",3,27,TRUE,-0.274737080847038,0.0498980614059256
"Malawi","child_vitA","level","infill","null_train_mean",4,27,TRUE,-0.582492450321951,0.0546641332652602
"Malawi","child_vitA","level","infill","null_train_mean",5,27,TRUE,-0.259785402977811,0.0505940463266149
"Malawi","child_vitA","level","infill","null_train_mean",6,27,TRUE,-0.296541611072993,0.0506898973044091
"Malawi","child_vitA","level","infill","null_train_mean",7,27,TRUE,-0.0906445470821859,0.0489914451742787
"Malawi","child_vitA","level","infill","null_train_mean",8,27,TRUE,-0.304951929874433,0.0503844666239508
"Malawi","child_vitA","level","infill","null_train_mean",9,27,TRUE,-0.41958146020517,0.0518676785331261
"Malawi","child_vitA","level","infill","null_train_mean",10,27,TRUE,-0.552589094583497,0.0513157802020286
"Malawi","child_vitA","level","infill","spatial",1,27,TRUE,-0.109279609279609,0.0555758909409354
"Malawi","child_vitA","level","infill","spatial",2,27,TRUE,0.0152625152625153,0.0519566171942181
"Malawi","child_vitA","level","infill","spatial",3,27,TRUE,-0.0903540903540904,0.05293496968741
"Malawi","child_vitA","level","infill","spatial",4,27,TRUE,-0.457264957264957,0.0591875143477377
