"estimand","target","arm","paired","mean_diff","median_diff","cells_better"
"infill","level","sl_disc",6,0.0128544333807492,0.0250071123755335,4
"infill","prev","sl_disc",6,-0.00232778824425151,-0.0180232175541152,2
"region","level","sl_disc",6,0.0299478425794215,0.0224466571834993,4
"region","prev","sl_disc",6,-0.0677240418347506,-0.0529180809409976,3
"infill","level","sl_nnls",6,0.00106211474632529,0.0147795163584637,4
"infill","prev","sl_nnls",6,-0.00594628026839208,-0.00828470850208934,3
"region","level","sl_nnls",6,-0.00806069227121858,-0.0212091038406828,2
"region","prev","sl_nnls",6,-0.0611288880957802,-0.00253845875358468,3
"infill","level","sl_rank_disc",6,-0.00307254623044096,0.00028449502133715,3
"infill","prev","sl_rank_disc",6,-0.013063083825569,-0.0475362099769365,2
"region","level","sl_rank_disc",6,0.0328971076339498,0.0187766714082504,4
"region","prev","sl_rank_disc",6,0.0278010288962371,-0.0166620305134902,3
"infill","level","sl_rank_nnls",6,0.0145282124229493,0.0270128022759602,4
"infill","prev","sl_rank_nnls",6,0.00894633182309947,-0.00547531275304602,2
"region","level","sl_rank_nnls",6,0.00168800379326696,-0.0194452347083926,2
"region","prev","sl_rank_nnls",6,0.0394123997718098,0.0718212383071397,4
"infill","level","sl_lrn_mean",6,-0.622621598440098,-0.620059294510217,0
"infill","prev","sl_lrn_mean",6,-0.470391445281706,-0.484189821544622,0
"region","level","sl_lrn_mean",6,-0.955906263935751,-0.933465710766745,0
"region","prev","sl_lrn_mean",6,-0.753667174970009,-0.731264412642801,0
"infill","level","sl_lrn_lasso",6,-0.0308819345661451,-0.00136557610241819,3
"infill","prev","sl_lrn_lasso",6,-0.0567018498423288,-0.0748097503063387,1
"region","level","sl_lrn_lasso",6,-0.0501422475106685,-0.0405405405405405,1
"region","prev","sl_lrn_lasso",6,-0.140928591879144,-0.129666802892392,3
"infill","level","sl_lrn_enet",6,-0.0117259364627786,0.0169701280227596,4
"infill","prev","sl_lrn_enet",6,-0.0759690198336892,-0.101671909345186,1
"region","level","sl_lrn_enet",6,-0.0873304883831199,-0.0721194879089616,1
"region","prev","sl_lrn_enet",6,-0.164209011875918,-0.174105968580297,1
"infill","level","sl_lrn_ridge",6,0.0277382645803699,0.0461877667140825,4
"infill","prev","sl_lrn_ridge",6,-0.014652132040453,-0.0172163972404333,3
"region","level","sl_lrn_ridge",6,-0.0151778093883357,0.0126458036984353,4
"region","prev","sl_lrn_ridge",6,-0.103194726170229,-0.047385534457793,2
"infill","level","sl_lrn_ranger",6,0.0309483167377904,0.0429445234708392,5
"infill","prev","sl_lrn_ranger",6,0.00920790066861014,-0.00953767923416169,3
"region","level","sl_lrn_ranger",6,0.0284542437174016,0.0304551920341394,4
"region","prev","sl_lrn_ranger",6,0.0317476756554447,0.0295552126222556,4
"infill","level","sl_lrn_xgb",6,0.016434329065908,0.0268136557610242,5
"infill","prev","sl_lrn_xgb",6,-0.02732048185222,-0.0375213972471669,2
"region","level","sl_lrn_xgb",6,-0.00139876718824086,-0.0106970128022759,2
"region","prev","sl_lrn_xgb",6,0.0102530442944752,0.0258633136334543,3
"infill","level","sl_lrn_domain_index",6,-0.00453295400663821,-0.00358463726884778,0
"infill","prev","sl_lrn_domain_index",6,-0.00586416222370316,-0.00394331541202565,1
"region","level","sl_lrn_domain_index",6,0.00174964438122336,-0.00035561877667134,3
"region","prev","sl_lrn_domain_index",6,-0.00637389356884718,-0.00857482491277196,2
"infill","level","sl_lrn_domain_pc_ridge",6,0.000749170222854451,0.00762446657183502,3
