"variable","assigned_domain","proposed_subdomain","data_origin","definition_source","unit_source","var_type","countries_present"
"dhs_w_sib_adult_death_any","Adult and maternal mortality","dhs_w","DHS","MISSING_needs_RA","MISSING_needs_RA","continuous","Gambia;Malawi;SierraLeone"
"dhs_w_sib_adult_deaths","Adult and maternal mortality","dhs_w","DHS","MISSING_needs_RA","MISSING_needs_RA","continuous","Gambia;Malawi;SierraLeone"
"dhs_w_sib_dead_prop","Adult and maternal mortality","dhs_w","DHS","MISSING_needs_RA","MISSING_needs_RA","continuous","Gambia;Malawi;SierraLeone"
"dhs_w_sib_female_dead","Adult and maternal mortality","dhs_w","DHS","MISSING_needs_RA","MISSING_needs_RA","continuous","Gambia;Malawi;SierraLeone"
"dhs_w_sib_female_n","Adult and maternal mortality","dhs_w","DHS","MISSING_needs_RA","MISSING_needs_RA","continuous","Gambia;Malawi;SierraLeone"
"dhs_w_sib_maternal_any","Adult and maternal mortality","dhs_w","DHS","MISSING_needs_RA","MISSING_needs_RA","continuous","Gambia;Malawi;SierraLeone"
"dhs_w_sib_maternal_deaths","Adult and maternal mortality","dhs_w","DHS","MISSING_needs_RA","MISSING_needs_RA","continuous","Gambia;Malawi;SierraLeone"
"dhs_w_sib_mean_age_death","Adult and maternal mortality","dhs_w","DHS","MISSING_needs_RA","MISSING_needs_RA","continuous","Gambia;Malawi;SierraLeone"
"dhs_w_sib_n","Adult and maternal mortality","dhs_w","DHS","MISSING_needs_RA","MISSING_needs_RA","continuous","Gambia;Malawi;SierraLeone"
"dhs_hh_agland_any","Agricultural production, land use","dhs_hh","DHS","MISSING_needs_RA","MISSING_needs_RA","continuous","Gambia;Ghana;Malawi;SierraLeone"
"dhs_hh_agland_ha","Agricultural production, land use","dhs_hh","DHS","MISSING_needs_RA","MISSING_needs_RA","continuous","Gambia;Ghana;Malawi;SierraLeone"
"dhs_hh_cattle","Agricultural production, land use","dhs_hh","DHS","MISSING_needs_RA","MISSING_needs_RA","continuous","Gambia;Ghana;Malawi"
"dhs_hh_cattle_any","Agricultural production, land use","dhs_hh","DHS","MISSING_needs_RA","MISSING_needs_RA","continuous","Gambia;Ghana;Malawi"
"dhs_hh_chickens","Agricultural production, land use","dhs_hh","DHS","MISSING_needs_RA","MISSING_needs_RA","continuous","Gambia;Ghana;Malawi;SierraLeone"
"dhs_hh_chickens_any","Agricultural production, land use","dhs_hh","DHS","MISSING_needs_RA","MISSING_needs_RA","continuous","Gambia;Ghana;Malawi;SierraLeone"
"dhs_hh_cows","Agricultural production, land use","dhs_hh","DHS","MISSING_needs_RA","MISSING_needs_RA","continuous","Gambia;Ghana;Malawi;SierraLeone"
"dhs_hh_cows_any","Agricultural production, land use","dhs_hh","DHS","MISSING_needs_RA","MISSING_needs_RA","continuous","Gambia;Ghana;Malawi;SierraLeone"
"dhs_hh_goats","Agricultural production, land use","dhs_hh","DHS","MISSING_needs_RA","MISSING_needs_RA","continuous","Gambia;Ghana;Malawi;SierraLeone"
"dhs_hh_goats_any","Agricultural production, land use","dhs_hh","DHS","MISSING_needs_RA","MISSING_needs_RA","continuous","Gambia;Ghana;Malawi;SierraLeone"
"dhs_hh_horses","Agricultural production, land use","dhs_hh","DHS","MISSING_needs_RA","MISSING_needs_RA","continuous","Gambia;Ghana;Malawi;SierraLeone"
"dhs_hh_horses_any","Agricultural production, land use","dhs_hh","DHS","MISSING_needs_RA","MISSING_needs_RA","continuous","Gambia;Ghana;Malawi;SierraLeone"
"dhs_hh_livestock_any","Agricultural production, land use","dhs_hh","DHS","MISSING_needs_RA","MISSING_needs_RA","continuous","Gambia;Ghana;Malawi;SierraLeone"
"dhs_hh_livestock_total","Agricultural production, land use","dhs_hh","DHS","MISSING_needs_RA","MISSING_needs_RA","continuous","Gambia;Ghana;Malawi;SierraLeone"
"dhs_hh_owns_land","Agricultural production, land use","dhs_hh","DHS","MISSING_needs_RA","MISSING_needs_RA","continuous","Gambia;Ghana;Malawi;SierraLeone"
"dhs_hh_sheep","Agricultural production, land use","dhs_hh","DHS","MISSING_needs_RA","MISSING_needs_RA","continuous","Gambia;Ghana;Malawi;SierraLeone"
"dhs_hh_sheep_any","Agricultural production, land use","dhs_hh","DHS","MISSING_needs_RA","MISSING_needs_RA","continuous","Gambia;Ghana;Malawi;SierraLeone"
"dhs_hh_clean_fuel","Built environment","dhs_hh","DHS","MISSING_needs_RA","MISSING_needs_RA","continuous","Gambia;Ghana;Malawi;SierraLeone"
"dhs_hh_cook_indoors","Built environment","dhs_hh","DHS","MISSING_needs_RA","MISSING_needs_RA","continuous","SierraLeone"
"dhs_hh_solid_fuel","Built environment","dhs_hh","DHS","MISSING_needs_RA","MISSING_needs_RA","continuous","Gambia;Ghana;Malawi;SierraLeone"
"dhs_c_diet_groups_n","Dietary diversity","dhs_c","DHS","MISSING_needs_RA","MISSING_needs_RA","continuous","Gambia;Ghana;Malawi;SierraLeone"
"dhs_c_fg_dairy","Dietary diversity","dhs_c","DHS","MISSING_needs_RA","MISSING_needs_RA","continuous","Gambia;Ghana;Malawi;SierraLeone"
"dhs_c_fg_eggs","Dietary diversity","dhs_c","DHS","MISSING_needs_RA","MISSING_needs_RA","continuous","Gambia;Ghana;Malawi;SierraLeone"
"dhs_c_fg_flesh","Dietary diversity","dhs_c","DHS","MISSING_needs_RA","MISSING_needs_RA","continuous","Gambia;Ghana;Malawi;SierraLeone"
"dhs_c_fg_grains","Dietary diversity","dhs_c","DHS","MISSING_needs_RA","MISSING_needs_RA","continuous","Gambia;Ghana;Malawi;SierraLeone"
"dhs_c_fg_legumes","Dietary diversity","dhs_c","DHS","MISSING_needs_RA","MISSING_needs_RA","continuous","Gambia;Ghana;Malawi;SierraLeone"
"dhs_c_fg_other_fruitveg","Dietary diversity","dhs_c","DHS","MISSING_needs_RA","MISSING_needs_RA","continuous","Gambia;Ghana;Malawi;SierraLeone"
"dhs_c_fg_roots","Dietary diversity","dhs_c","DHS","MISSING_needs_RA","MISSING_needs_RA","continuous","Gambia;Ghana;Malawi;SierraLeone"
"dhs_c_fg_vitA_fruitveg","Dietary diversity","dhs_c","DHS","MISSING_needs_RA","MISSING_needs_RA","continuous","Gambia;Ghana;Malawi;SierraLeone"
"dhs_c_mdd_4plus","Dietary diversity","dhs_c","DHS","MISSING_needs_RA","MISSING_needs_RA","continuous","Gambia;Ghana;Malawi;SierraLeone"
"dhs_w_decides_earnings","Education, employment, SES","dhs_w","DHS","MISSING_needs_RA","MISSING_needs_RA","continuous","Gambia;Ghana;Malawi;SierraLeone"
"dhs_w_occ_agric","Education, employment, SES","dhs_w","DHS","MISSING_needs_RA","MISSING_needs_RA","continuous","Gambia;Ghana;Malawi;SierraLeone"
"dhs_w_owns_house","Education, employment, SES","dhs_w","DHS","MISSING_needs_RA","MISSING_needs_RA","continuous","Gambia;Ghana;Malawi;SierraLeone"
"dhs_w_working","Education, employment, SES","dhs_w","DHS","MISSING_needs_RA","MISSING_needs_RA","continuous","Gambia;Ghana;Malawi;SierraLeone"
