"outcome","arm","country","n","capture","lift"
"child_vitA","domain_index","Gambia",30,0.106989169760811,0.534945848804057
"child_vitA","domain_index","Ghana",75,0.314881695466057,1.57440847733029
"child_vitA","domain_index","Malawi",87,0.193683790053524,0.968418950267619
"child_vitA","domain_enet","Gambia",30,0.0600011206339742,0.300005603169871
"child_vitA","domain_enet","Ghana",75,0.192283995954829,0.961419979774145
"child_vitA","domain_enet","Malawi",87,0.163321615013756,0.816608075068782
"women_vitA","domain_index","Gambia",30,0.183345621141011,0.916728105705057
"women_vitA","domain_index","Ghana",75,0.347914907510627,1.73957453755313
"women_vitA","domain_index","Malawi",87,0.0536640620633172,0.268320310316586
"women_vitA","domain_enet","Gambia",30,0.144400114448257,0.722000572241283
"women_vitA","domain_enet","Ghana",75,0.186654948168926,0.93327474084463
"women_vitA","domain_enet","Malawi",87,0.0204458397347846,0.102229198673923
"child_iron","domain_index","Gambia",30,0.0949828037986082,0.474914018993041
"child_iron","domain_index","Ghana",75,0.293476115580341,1.46738057790171
"child_iron","domain_index","Malawi",87,0.125492272509654,0.627461362548268
"child_iron","domain_enet","Gambia",30,0.0785719585588137,0.392859792794069
"child_iron","domain_enet","Ghana",75,0.349988008074386,1.74994004037193
"child_iron","domain_enet","Malawi",87,0.112402184921519,0.562010924607594
"women_iron","domain_index","Gambia",30,0.233736306808073,1.16868153404037
"women_iron","domain_index","Ghana",75,0.287461582940848,1.43730791470424
"women_iron","domain_index","Malawi",87,0.18093158218194,0.904657910909702
"women_iron","domain_enet","Gambia",30,0.093075989769881,0.465379948849405
"women_iron","domain_enet","Ghana",75,0.236747967160235,1.18373983580118
"women_iron","domain_enet","Malawi",87,0.229912023819109,1.14956011909555
