"country","outcome","rung","target","n_resp","n_units","n_regions","n_clusters","mean_clusters_per_unit","share_single_cluster","median_n_per_unit","s2_region","s2_district","s2_cluster","s2_resid","singular","icc_region","icc_district","icc_cluster","ceiling_vc","ceiling_within_vc","cluster_share_of_ceiling","r_max_emp","ce01_within","ce01_cluster","achieved_spearman","headroom_ratio"
"Ghana","child_iron","admin2","level",1165,75,16,90,1.2,0.827,14,0.0818,0,0.0706,0.6206,TRUE,0.1058,0,0.0913,0.6241,0.8337,0.2515,0.8108,0.900087263146907,0.896831303044416,0.593419630156472,0.9509
"Ghana","women_iron","admin2","prev",981,75,16,90,1.2,0.827,12,0.0036,3e-04,0,0.1143,TRUE,0.0307,0.0022,0,0.5018,0.5018,0,0.3839,0.768913307852139,0.81886501302623,0.316508437406055,0.6308
"Ghana","women_iron","admin2","level",981,75,16,90,1.2,0.827,12,0.0351,0,0.0357,0.5794,TRUE,0.054,0,0.0548,0.5275,0.7317,0.2791,0.3839,0.768913307852139,0.81886501302623,0.3670213371266,0.6957
"Ghana","women_folate","admin2","prev",475,75,16,90,1.2,0.827,6,0.0189,0.0154,0.0061,0.2155,FALSE,0.0738,0.0601,0.024,0.6337,0.6833,0.0727,0.7131,NA,NA,0.270019237496487,0.4261
"Ghana","women_folate","admin2","level",475,75,16,90,1.2,0.827,6,0.0497,0.0222,0.0055,0.3725,FALSE,0.1105,0.0494,0.0122,0.68,0.7032,0.0329,0.7131,NA,NA,0.393675675675676,0.5789
"Ghana","women_b12","admin2","prev",473,75,16,90,1.2,0.827,6,0.0086,0,0,0.071,TRUE,0.1082,0,0,0.6032,0.6032,0,0.4862,NA,NA,0.252550346326058,0.4187
"Ghana","women_b12","admin2","level",473,75,16,90,1.2,0.827,6,0.0506,0.0069,0,0.3442,TRUE,0.126,0.0171,0,0.6637,0.6637,0,0.4862,NA,NA,0.582708392603129,0.8779
"SierraLeone","child_vitA","admin2","prev",486,14,4,60,4.29,0,36,0,0,0,0.11,TRUE,0,0,0,0,0,NA,0.1826,0,0,NA,NA
"SierraLeone","child_vitA","admin2","level",486,14,4,60,4.29,0,36,0,0,0,0.1166,TRUE,0,0,0,0,0,NA,0.1826,0,0,NA,NA
"SierraLeone","women_vitA","admin2","prev",774,14,4,60,4.29,0,54,0,0,1e-04,0.0177,TRUE,0,0,0.0058,0,0.2576,1,0.4521,0.412946793700787,0.303020245612855,NA,NA
"SierraLeone","women_vitA","admin2","level",774,14,4,60,4.29,0,54,0,7e-04,0.0054,0.1038,TRUE,0,0.0067,0.0492,0.4018,0.6973,0.4237,0.4521,0.412946793700787,0.303020245612855,NA,NA
"SierraLeone","child_iron","admin2","prev",486,14,4,60,4.29,0,36,0,0.0011,0,0.0535,TRUE,0,0.0202,0,0.6228,0.6228,0,0.2505,0.260834395881855,0,NA,NA
"SierraLeone","child_iron","admin2","level",486,14,4,60,4.29,0,36,0,0.0267,0.0014,0.6328,TRUE,0,0.0404,0.002,0.7481,0.7533,0.0069,0.2505,0.260834395881855,0,NA,NA
"SierraLeone","women_iron","admin2","prev",774,14,4,60,4.29,0,54,0,0,0.0046,0.1389,TRUE,0,0,0.0319,0,0.5346,1,0.8214,0.531265141993811,0,NA,NA
"SierraLeone","women_iron","admin2","level",774,14,4,60,4.29,0,54,0,0,0.0077,0.6224,TRUE,0,0,0.0123,0,0.3617,1,0.8214,0.531265141993811,0,NA,NA
"SierraLeone","women_folate","admin2","prev",766,14,4,59,4.21,0,47,0.0044,0,0.0134,0.1473,TRUE,0.0266,0,0.0811,0.6222,0.8465,0.265,0.8475,NA,NA,NA,NA
"SierraLeone","women_folate","admin2","level",766,14,4,59,4.21,0,47,0.0059,0.0036,0.0139,0.13,FALSE,0.0387,0.0238,0.0905,0.767,0.9089,0.1561,0.8475,NA,NA,NA,NA
"SierraLeone","women_b12","admin2","prev",768,14,4,59,4.21,0,47,0,0,0,0.0052,TRUE,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"SierraLeone","women_b12","admin2","level",768,14,4,59,4.21,0,47,0.0149,8e-04,0.0253,0.1713,FALSE,0.0702,0.0038,0.119,0.7701,0.9269,0.1691,NA,NA,NA,NA,NA
"Malawi","child_vitA","admin2","prev",1149,87,27,103,1.18,0.851,12,3e-04,0.0037,4e-04,0.0803,FALSE,0.0033,0.0433,0.0044,0.5471,0.5705,0.041,0.6341,0,0,0.224271415180129,0.4099
"Malawi","child_vitA","admin2","level",1149,87,27,103,1.18,0.851,12,6e-04,0.0043,0,0.098,TRUE,0.0063,0.042,0,0.5605,0.5605,0,0.6341,0,0,0.125249690165488,0.2234
"Malawi","child_vitA","district","prev",1149,27,3,103,3.81,0.037,39,3e-04,0,0.004,0.0803,TRUE,0.0031,0,0.0468,0.2535,0.6119,0.5858,0.6341,0,0,0.224271415180129,0.8848
"Malawi","child_vitA","district","level",1149,27,3,103,3.81,0.037,39,9e-04,0,0.0041,0.0981,FALSE,0.0091,0,0.0398,0.4181,0.6479,0.3547,0.6341,0,0,0.125249690165488,0.2996
"Malawi","women_vitA","admin2","prev",836,87,27,103,1.18,0.851,8,0,0,0,0.013,TRUE,0,0,0,0,0,NA,NA,NA,NA,-0.063555459257467,NA
