"domain_set","target","model","outcome_class","arm","shares_population","cells","base_mean","arm_mean","mean_delta","median_delta","cells_up","mean_topk_delta"
"all","level","domain_enet","folate / B12","all_other",NA,6,0.294311602528797,0.315589067470003,0.0212774649412053,0.00168586425603268,3,0.0227272727272727
"all","level","domain_enet","folate / B12","block_only_all",NA,6,0.269217879078513,-0.244130503744483,-0.513348382822995,-0.636965079827951,1,-0.310007974481659
"all","level","domain_enet","folate / B12","other_samepop",TRUE,6,0.294311602528797,0.293363690079176,-0.000947912449621819,-0.0113014865646445,3,-0.0075757575757576
"all","level","domain_enet","folate / B12","other_xpop",FALSE,6,0.294311602528797,0.270019201775417,-0.0242924007533808,-0.0197802197802198,2,0.0542264752791068
"all","level","domain_enet","iron / vitA","all_other",NA,16,0.254396255117496,0.360429737970155,0.106033482852659,0.112239159058684,14,0.039361543062201
"all","level","domain_enet","iron / vitA","block_only_all",NA,16,0.254396255117496,0.452796473011557,0.198400217894061,0.14343754396386,14,0.169333133971292
"all","level","domain_enet","iron / vitA","block_only_same_nutrient",FALSE,16,NA,NA,NA,NA,0,-0.17654754784689
"all","level","domain_enet","iron / vitA","other_samepop",TRUE,16,0.254396255117496,0.253069960171733,-0.0013262949457635,0,7,0.0198116028708134
"all","level","domain_enet","iron / vitA","other_xpop",FALSE,16,0.254396255117496,0.253034955066348,-0.00136130005114804,0,5,0.0188397129186603
"all","level","domain_enet","iron / vitA","same_nutrient",FALSE,16,0.254396255117496,0.369923300203884,0.115527045086387,0.107013489265733,15,0.0606683612440191
"all","level","domain_index","folate / B12","all_other",NA,6,0.302436869070685,0.273230741688303,-0.0292061273823819,-0.0269556025369978,0,-0.016347687400319
"all","level","domain_index","folate / B12","block_only_all",NA,6,0.302436869070685,-0.20624132101636,-0.508678190087045,-0.385331228514869,0,-0.202751196172249
"all","level","domain_index","folate / B12","other_samepop",TRUE,6,0.302436869070685,0.279704889300339,-0.0227319797703455,-0.0240235305993124,1,-0.0239234449760766
"all","level","domain_index","folate / B12","other_xpop",FALSE,6,0.302436869070685,0.305999478951406,0.00356260988072073,-0.000910384068278758,2,0.00757575757575758
"all","level","domain_index","iron / vitA","all_other",NA,16,0.302057487821508,0.329584338621038,0.0275268507995295,0.0212517780938834,12,0.0291193181818182
"all","level","domain_index","iron / vitA","block_only_all",NA,16,0.302057487821508,0.437695535229986,0.135638047408478,0.115691150954309,12,0.109823564593301
"all","level","domain_index","iron / vitA","block_only_same_nutrient",FALSE,16,0.302057487821508,0.454162104847185,0.152104617025677,0.15125475192216,15,0.131466806220096
"all","level","domain_index","iron / vitA","other_samepop",TRUE,16,0.302057487821508,0.298767481690714,-0.00329000613079432,-0.000865714077422176,7,0.00284090909090909
"all","level","domain_index","iron / vitA","other_xpop",FALSE,16,0.302057487821508,0.300691297837097,-0.00136618998441107,-0.00450221187063294,7,-3.46944695195361e-18
"all","level","domain_index","iron / vitA","same_nutrient",FALSE,16,0.302057487821508,0.328479273325248,0.0264217855037401,0.0276669284876077,14,0.0134943181818182
"all","prev","domain_enet","folate / B12","all_other",NA,6,0.0589545469504211,0.0784030864193827,0.0194485394689616,-0.0385410319086497,1,0.0101674641148325
"all","prev","domain_enet","folate / B12","block_only_all",NA,6,0.100567665022906,-0.269263909979482,-0.369831575002388,-0.389218597992532,0,-0.013755980861244
"all","prev","domain_enet","folate / B12","other_samepop",TRUE,6,0.0589545469504211,0.130451446383089,0.0714968994326678,0,1,0.0416666666666667
"all","prev","domain_enet","folate / B12","other_xpop",FALSE,6,0.0589545469504211,0.0413257248615235,-0.0176288220888975,-0.0263736263736264,1,-0.00119617224880382
"all","prev","domain_enet","iron / vitA","all_other",NA,16,0.261495705008737,0.225824421264456,-0.0305130163909203,-0.00232013540897014,6,0.00411184210526316
"all","prev","domain_enet","iron / vitA","block_only_all",NA,16,0.261495705008737,0.322618799114556,0.0508484829012884,0.0904030447627116,8,0.103543660287081
"all","prev","domain_enet","iron / vitA","block_only_same_nutrient",FALSE,16,NA,NA,NA,NA,0,-0.0644811602870813
"all","prev","domain_enet","iron / vitA","other_samepop",TRUE,16,0.261495705008737,0.247637571307534,-0.0308279175776111,-0.00153682039661669,4,0.0275493421052632
"all","prev","domain_enet","iron / vitA","other_xpop",FALSE,16,0.261495705008737,0.255928212876049,-0.0222419949052902,0,5,0.0123729066985646
"all","prev","domain_enet","iron / vitA","same_nutrient",FALSE,16,0.261495705008737,0.265633622160049,-0.0162613382477042,0,6,0.0078125
"all","prev","domain_index","folate / B12","all_other",NA,6,0.118499220128579,0.111033771190848,-0.00746544893773086,-0.0335494556505926,1,-0.0151515151515152
"all","prev","domain_index","folate / B12","block_only_all",NA,6,0.118499220128579,-0.114937396036143,-0.233436616164722,-0.35227123989765,1,0.0151515151515151
"all","prev","domain_index","folate / B12","other_samepop",TRUE,6,0.118499220128579,0.113985757309938,-0.00451346281864063,-0.0261690248883126,1,-0.00757575757575758
"all","prev","domain_index","folate / B12","other_xpop",FALSE,6,0.118499220128579,0.123890751438316,0.00539153130973644,-0.00269486073944518,2,-0.00757575757575758
"all","prev","domain_index","iron / vitA","all_other",NA,16,0.262442252820965,0.287126964594208,0.0246847117732429,0.0244281565930277,12,0.0102048444976077
"all","prev","domain_index","iron / vitA","block_only_all",NA,16,0.262442252820965,0.321160346676971,0.0587180938560058,0.0604557639547599,10,0.0591357655502392
"all","prev","domain_index","iron / vitA","block_only_same_nutrient",FALSE,16,0.262442252820965,0.371517465221509,0.109075212400544,0.120104315883495,11,0.0864608253588517
"all","prev","domain_index","iron / vitA","other_samepop",TRUE,16,0.262442252820965,0.265089705695455,0.00264745287449019,0.00596200589121956,11,-3.46944695195361e-18
"all","prev","domain_index","iron / vitA","other_xpop",FALSE,16,0.262442252820965,0.267960223124265,0.0055179703033004,0.00247311760830042,9,-0.0078125
"all","prev","domain_index","iron / vitA","same_nutrient",FALSE,16,0.262442252820965,0.29515430556754,0.0327120527465756,0.0237182074314861,15,-0.000448564593301438
