"domain_set","target","outcome","heldout","arm","biomarker","z","sd_axis","share_abs_contrib"
"all","level","child_iron","Gambia","same_nutrient","women_iron",4.84187535353649,0.992123638389473,0.0192103952828828
"all","level","child_iron","Ghana","same_nutrient","women_iron",5.17943427467616,0.98946851025047,0.0299403870904609
"all","level","child_iron","Malawi","same_nutrient","women_iron",5.59069774717864,0.988403983088187,0.0187849248327977
"all","level","child_iron","SierraLeone","same_nutrient","women_iron",5.84121710172483,0.992719424921442,0.021958278657462
"all","level","child_iron","Gambia","other_xpop","women_vitA",1.20555985301834,0.992123638389473,0.00485313973538403
"all","level","child_iron","Ghana","other_xpop","women_vitA",0.347287956097852,0.98946851025047,0.00206523053427296
"all","level","child_iron","Malawi","other_xpop","women_vitA",4.29211799409997,0.988403983088187,0.0144848562965984
"all","level","child_iron","SierraLeone","other_xpop","women_vitA",2.28750166406928,0.992719424921442,0.00871559926116008
"all","level","child_iron","Gambia","other_samepop","child_vitA",2.90645470326263,0.992123638389473,0.011620746350735
"all","level","child_iron","Ghana","other_samepop","child_vitA",1.9485609530206,0.98946851025047,0.0114782815107048
"all","level","child_iron","Malawi","other_samepop","child_vitA",4.88123425399426,0.988403983088187,0.016440295311076
"all","level","child_iron","SierraLeone","other_samepop","child_vitA",4.02438438547732,0.992719424921442,0.0152324840589054
"all","level","child_iron","Gambia","all_other","child_vitA",2.90645470326263,0.992123638389473,0.0113463996367072
"all","level","child_iron","Gambia","all_other","women_iron",4.84187535353649,0.992123638389473,0.0189020158100788
"all","level","child_iron","Gambia","all_other","women_vitA",1.20555985301834,0.992123638389473,0.00470633994844682
"all","level","child_iron","Ghana","all_other","child_vitA",1.9485609530206,0.98946851025047,0.0111163771735254
"all","level","child_iron","Ghana","all_other","women_iron",5.17943427467616,0.98946851025047,0.0295482391010308
"all","level","child_iron","Ghana","all_other","women_vitA",0.347287956097852,0.98946851025047,0.00198124872707825
"all","level","child_iron","Malawi","all_other","child_vitA",4.88123425399426,0.988403983088187,0.0159106931335997
"all","level","child_iron","Malawi","all_other","women_iron",5.59069774717864,0.988403983088187,0.0182232344586368
"all","level","child_iron","Malawi","all_other","women_vitA",4.29211799409997,0.988403983088187,0.0139904312605863
"all","level","child_iron","SierraLeone","all_other","child_vitA",4.02438438547732,0.992719424921442,0.0147778066714044
"all","level","child_iron","SierraLeone","all_other","women_iron",5.84121710172483,0.992719424921442,0.0214493370381052
"all","level","child_iron","SierraLeone","all_other","women_vitA",2.28750166406928,0.992719424921442,0.00839985799421154
"all","level","child_iron","Gambia","block_only_same_nutrient","women_iron",4.84187535353649,0.992123638389473,1
"all","level","child_iron","Ghana","block_only_same_nutrient","women_iron",5.17943427467616,0.98946851025047,1
"all","level","child_iron","Malawi","block_only_same_nutrient","women_iron",5.59069774717864,0.988403983088187,1
"all","level","child_iron","SierraLeone","block_only_same_nutrient","women_iron",5.84121710172483,0.992719424921442,1
"all","level","child_iron","Gambia","block_only_all","child_vitA",2.90645470326263,0.992123638389473,0.324602461336481
"all","level","child_iron","Gambia","block_only_all","women_iron",4.84187535353649,0.992123638389473,0.540756632290915
"all","level","child_iron","Gambia","block_only_all","women_vitA",1.20555985301834,0.992123638389473,0.134640906372604
"all","level","child_iron","Ghana","block_only_all","child_vitA",1.9485609530206,0.98946851025047,0.260667175424848
"all","level","child_iron","Ghana","block_only_all","women_iron",5.17943427467616,0.98946851025047,0.692874657364748
"all","level","child_iron","Ghana","block_only_all","women_vitA",0.347287956097852,0.98946851025047,0.0464581672104041
"all","level","child_iron","Malawi","block_only_all","child_vitA",4.88123425399426,0.988403983088187,0.330616210020768
"all","level","child_iron","Malawi","block_only_all","women_iron",5.59069774717864,0.988403983088187,0.378669656968695
"all","level","child_iron","Malawi","block_only_all","women_vitA",4.29211799409997,0.988403983088187,0.290714133010537
"all","level","child_iron","SierraLeone","block_only_all","child_vitA",4.02438438547732,0.992719424921442,0.331140477899778
"all","level","child_iron","SierraLeone","block_only_all","women_iron",5.84121710172483,0.992719424921442,0.480635853165924
"all","level","child_iron","SierraLeone","block_only_all","women_vitA",2.28750166406928,0.992719424921442,0.188223668934298
"all","level","child_vitA","Gambia","same_nutrient","women_vitA",5.08352576312208,0.992123638389473,0.0222578723719531
"all","level","child_vitA","Ghana","same_nutrient","women_vitA",4.81860195470203,0.98946851025047,0.0225373956082791
"all","level","child_vitA","Malawi","same_nutrient","women_vitA",6.48510437896468,0.988403983088187,0.0229976863832153
"all","level","child_vitA","SierraLeone","same_nutrient","women_vitA",6.61338900862943,0.992719424921442,0.0237585669452819
"all","level","child_vitA","Gambia","other_xpop","women_iron",2.66347400230003,0.992123638389473,0.0117867326638108
"all","level","child_vitA","Ghana","other_xpop","women_iron",2.92458516432533,0.98946851025047,0.0138010250394778
"all","level","child_vitA","Malawi","other_xpop","women_iron",5.17442279974524,0.988403983088187,0.0184353924387189
"all","level","child_vitA","SierraLeone","other_xpop","women_iron",4.2710343780428,0.992719424921442,0.0154738807645616
"all","level","child_vitA","Gambia","other_samepop","child_iron",2.91713833991923,0.992123638389473,0.0128948042630613
"all","level","child_vitA","Ghana","other_samepop","child_iron",2.14785790912367,0.98946851025047,0.0101729611264632
"all","level","child_vitA","Malawi","other_samepop","child_iron",5.04386770099849,0.988403983088187,0.0179786143549003
"all","level","child_vitA","SierraLeone","other_samepop","child_iron",4.14996056752128,0.992719424921442,0.0150418305982761
"all","level","child_vitA","Gambia","all_other","child_iron",2.91713833991923,0.992123638389473,0.0124678485873612
"all","level","child_vitA","Gambia","all_other","women_iron",2.66347400230003,0.992123638389473,0.0113836872672858
"all","level","child_vitA","Gambia","all_other","women_vitA",5.08352576312208,0.992123638389473,0.0217269879310253
"all","level","child_vitA","Ghana","all_other","child_iron",2.14785790912367,0.98946851025047,0.00981307371697329
"all","level","child_vitA","Ghana","all_other","women_iron",2.92458516432533,0.98946851025047,0.0133617636842654
"all","level","child_vitA","Ghana","all_other","women_vitA",4.81860195470203,0.98946851025047,0.0220150951296099
"all","level","child_vitA","Malawi","all_other","child_iron",5.04386770099849,0.988403983088187,0.0172612406136178
"all","level","child_vitA","Malawi","all_other","women_iron",5.17442279974524,0.988403983088187,0.0177080292897673
"all","level","child_vitA","Malawi","all_other","women_vitA",6.48510437896468,0.988403983088187,0.0221934740809272
"all","level","child_vitA","SierraLeone","all_other","child_iron",4.14996056752128,0.992719424921442,0.0144709324096589
"all","level","child_vitA","SierraLeone","all_other","women_iron",4.2710343780428,0.992719424921442,0.0148931173678363
"all","level","child_vitA","SierraLeone","all_other","women_vitA",6.61338900862943,0.992719424921442,0.0230609192028587
"all","level","child_vitA","Gambia","block_only_same_nutrient","women_vitA",5.08352576312208,0.992123638389473,1
"all","level","child_vitA","Ghana","block_only_same_nutrient","women_vitA",4.81860195470203,0.98946851025047,1
"all","level","child_vitA","Malawi","block_only_same_nutrient","women_vitA",6.48510437896468,0.988403983088187,1
"all","level","child_vitA","SierraLeone","block_only_same_nutrient","women_vitA",6.61338900862943,0.992719424921442,1
"all","level","child_vitA","Gambia","block_only_all","child_iron",2.91713833991923,0.992123638389473,0.273546564298349
"all","level","child_vitA","Gambia","block_only_all","women_iron",2.66347400230003,0.992123638389473,0.249759893953922
"all","level","child_vitA","Gambia","block_only_all","women_vitA",5.08352576312208,0.992123638389473,0.476693541747729
"all","level","child_vitA","Ghana","block_only_all","child_iron",2.14785790912367,0.98946851025047,0.217151767382579
"all","level","child_vitA","Ghana","block_only_all","women_iron",2.92458516432533,0.98946851025047,0.295680098109111
"all","level","child_vitA","Ghana","block_only_all","women_vitA",4.81860195470203,0.98946851025047,0.48716813450831
"all","level","child_vitA","Malawi","block_only_all","child_iron",5.04386770099849,0.988403983088187,0.301966620397981
"all","level","child_vitA","Malawi","block_only_all","women_iron",5.17442279974524,0.988403983088187,0.309782702079996
"all","level","child_vitA","Malawi","block_only_all","women_vitA",6.48510437896468,0.988403983088187,0.388250677522023
"all","level","child_vitA","SierraLeone","block_only_all","child_iron",4.14996056752128,0.992719424921442,0.276031301326699
"all","level","child_vitA","SierraLeone","block_only_all","women_iron",4.2710343780428,0.992719424921442,0.284084428803715
"all","level","child_vitA","SierraLeone","block_only_all","women_vitA",6.61338900862943,0.992719424921442,0.439884269869586
"all","level","women_iron","Gambia","same_nutrient","child_iron",4.79507699390417,0.992123638389473,0.0241043618154706
"all","level","women_iron","Ghana","same_nutrient","child_iron",5.11123237895707,0.98946851025047,0.0262047190386867
"all","level","women_iron","Malawi","same_nutrient","child_iron",5.73972901230503,0.988403983088187,0.023741595911312
"all","level","women_iron","SierraLeone","same_nutrient","child_iron",6.02369711465643,0.992719424921442,0.0250562275253282
"all","level","women_iron","Gambia","other_xpop","child_vitA",2.73264903628583,0.992123638389473,0.0138806566250845
"all","level","women_iron","Ghana","other_xpop","child_vitA",2.93178042266992,0.98946851025047,0.0152007620271228
"all","level","women_iron","Malawi","other_xpop","child_vitA",5.11745459585846,0.988403983088187,0.0212222688813457
"all","level","women_iron","SierraLeone","other_xpop","child_vitA",4.37844260379955,0.992719424921442,0.0183381102807845
"all","level","women_iron","Gambia","other_samepop","women_vitA",2.60621257221062,0.992123638389473,0.01324692265838
"all","level","women_iron","Ghana","other_samepop","women_vitA",1.6759661292589,0.98946851025047,0.00874653765977601
"all","level","women_iron","Malawi","other_samepop","women_vitA",6.19831739489986,0.988403983088187,0.0255899421448674
"all","level","women_iron","SierraLeone","other_samepop","women_vitA",3.8019630469475,0.992719424921442,0.0159621968484887
"all","level","women_iron","Gambia","all_other","child_iron",4.79507699390417,0.992123638389473,0.0234743590454008
"all","level","women_iron","Gambia","all_other","child_vitA",2.73264903628583,0.992123638389473,0.0133777173347561
"all","level","women_iron","Gambia","all_other","women_vitA",2.60621257221062,0.992123638389473,0.0127587460527714
"all","level","women_iron","Ghana","all_other","child_iron",5.11123237895707,0.98946851025047,0.0255999608395764
"all","level","women_iron","Ghana","all_other","child_vitA",2.93178042266992,0.98946851025047,0.0146840249955337
"all","level","women_iron","Ghana","all_other","women_vitA",1.6759661292589,0.98946851025047,0.00839419226058334
"all","level","women_iron","Malawi","all_other","child_iron",5.73972901230503,0.988403983088187,0.022680031474083
"all","level","women_iron","Malawi","all_other","child_vitA",5.11745459585846,0.988403983088187,0.0202211691618957
"all","level","women_iron","Malawi","all_other","women_vitA",6.19831739489986,0.988403983088187,0.0244921029026473
"all","level","women_iron","SierraLeone","all_other","child_iron",6.02369711465643,0.992719424921442,0.0242316887578295
