"target","outcome","heldout","domain","variant","spearman"
"level","child_vitA","Malawi","Household assets and characteristics","drop",0.241598017059124
"level","child_vitA","Malawi","Household assets and characteristics","only",0.28044818512348
"level","child_vitA","SierraLeone","Household assets and characteristics","drop",0.0461538461538462
"level","child_vitA","SierraLeone","Household assets and characteristics","only",-0.147252747252747
"level","child_vitA","Gambia","Household diet and consumption (HCES)","drop",0.599555061179088
"level","child_vitA","Gambia","Household diet and consumption (HCES)","only",-0.099888765294772
"level","child_vitA","Ghana","Household diet and consumption (HCES)","drop",0.374366998577525
"level","child_vitA","Ghana","Household diet and consumption (HCES)","only",0.203139698275827
"level","child_vitA","Malawi","Household diet and consumption (HCES)","drop",0.272472114893927
"level","child_vitA","Malawi","Household diet and consumption (HCES)","only",-0.179521761318072
"level","child_vitA","SierraLeone","Household diet and consumption (HCES)","drop",0.0461538461538462
"level","child_vitA","SierraLeone","Household diet and consumption (HCES)","only",-0.323076923076923
"level","child_vitA","Gambia","Immunisation","drop",0.591101223581758
"level","child_vitA","Gambia","Immunisation","only",-0.106117908787542
"level","child_vitA","Ghana","Immunisation","drop",0.378093883357041
"level","child_vitA","Ghana","Immunisation","only",-0.168819345661451
"level","child_vitA","Malawi","Immunisation","drop",0.275479332215499
"level","child_vitA","Malawi","Immunisation","only",-0.0543121673835387
"level","child_vitA","SierraLeone","Immunisation","drop",0.0461538461538462
"level","child_vitA","SierraLeone","Immunisation","only",0.0285714285714286
"level","child_vitA","Gambia","Infant and young child feeding","drop",0.5706340378198
"level","child_vitA","Gambia","Infant and young child feeding","only",0.260511679644049
"level","child_vitA","Ghana","Infant and young child feeding","drop",0.385035561877667
"level","child_vitA","Ghana","Infant and young child feeding","only",-0.131379800853485
"level","child_vitA","Malawi","Infant and young child feeding","drop",0.26383319967923
"level","child_vitA","Malawi","Infant and young child feeding","only",-0.0957570897426551
"level","child_vitA","SierraLeone","Infant and young child feeding","drop",0.0769230769230769
"level","child_vitA","SierraLeone","Infant and young child feeding","only",-0.525274725274725
"level","child_vitA","Gambia","Infection and inflammation burden","drop",0.630700778642937
"level","child_vitA","Gambia","Infection and inflammation burden","only",-0.265406006674082
"level","child_vitA","Ghana","Infection and inflammation burden","drop",0.354708392603129
"level","child_vitA","Ghana","Infection and inflammation burden","only",0.0602560455192034
"level","child_vitA","Malawi","Infection and inflammation burden","drop",0.280546037763359
"level","child_vitA","Malawi","Infection and inflammation burden","only",-0.0647007363126048
"level","child_vitA","SierraLeone","Infection and inflammation burden","drop",0.010989010989011
"level","child_vitA","SierraLeone","Infection and inflammation burden","only",0.375824175824176
"level","child_vitA","Gambia","Livestock density","drop",0.600889877641824
"level","child_vitA","Gambia","Livestock density","only",0.359733036707453
"level","child_vitA","Ghana","Livestock density","drop",0.367596017069701
"level","child_vitA","Ghana","Livestock density","only",0.306372688477952
"level","child_vitA","Malawi","Livestock density","drop",0.261791937012466
"level","child_vitA","Malawi","Livestock density","only",0.148173798935627
"level","child_vitA","SierraLeone","Livestock density","drop",0.032967032967033
"level","child_vitA","SierraLeone","Livestock density","only",0.296703296703297
"level","child_vitA","Gambia","Ruralness, population density, built environment","drop",0.599555061179088
"level","child_vitA","Gambia","Ruralness, population density, built environment","only",-0.575083426028921
"level","child_vitA","Ghana","Ruralness, population density, built environment","drop",0.373086770981508
"level","child_vitA","Ghana","Ruralness, population density, built environment","only",-0.128961593172119
"level","child_vitA","Malawi","Ruralness, population density, built environment","drop",0.276226580156011
"level","child_vitA","Malawi","Ruralness, population density, built environment","only",-0.172085733032004
"level","child_vitA","SierraLeone","Ruralness, population density, built environment","drop",0.0461538461538462
"level","child_vitA","SierraLeone","Ruralness, population density, built environment","only",-0.367032967032967
"level","child_vitA","Gambia","Satellite embedding","drop",0.639154616240267
"level","child_vitA","Gambia","Satellite embedding","only",0.443381535038932
"level","child_vitA","Ghana","Satellite embedding","drop",0.381735419630156
"level","child_vitA","Ghana","Satellite embedding","only",0.316756756756757
"level","child_vitA","Malawi","Satellite embedding","drop",0.257399577167019
"level","child_vitA","Malawi","Satellite embedding","only",0.28900269738281
"level","child_vitA","SierraLeone","Satellite embedding","drop",0.0901098901098901
"level","child_vitA","SierraLeone","Satellite embedding","only",0.415384615384615
"level","child_vitA","Gambia","Soil characteristics","drop",0.599110122358176
"level","child_vitA","Gambia","Soil characteristics","only",0.482091212458287
"level","child_vitA","Ghana","Soil characteristics","drop",0.390412517780939
"level","child_vitA","Ghana","Soil characteristics","only",0.138634423897582
"level","child_vitA","Malawi","Soil characteristics","drop",0.276244805715535
"level","child_vitA","Malawi","Soil characteristics","only",0.123077203470147
"level","child_vitA","SierraLeone","Soil characteristics","drop",0.0461538461538462
"level","child_vitA","SierraLeone","Soil characteristics","only",0.305494505494505
"level","child_vitA","Gambia","Water and coast proximity","drop",0.605784204671858
"level","child_vitA","Gambia","Water and coast proximity","only",0.00200222469410456
"level","child_vitA","Ghana","Water and coast proximity","drop",0.376443812233286
"level","child_vitA","Ghana","Water and coast proximity","only",0.26927453769559
"level","child_vitA","Malawi","Water and coast proximity","drop",0.269556025369979
"level","child_vitA","Malawi","Water and coast proximity","only",-0.148337828971349
"level","child_vitA","SierraLeone","Water and coast proximity","drop",0.0725274725274725
"level","child_vitA","SierraLeone","Water and coast proximity","only",-0.265934065934066
"level","child_vitA","Gambia","Water and sanitation","drop",0.6
"level","child_vitA","Gambia","Water and sanitation","only",0.320578420467186
"level","child_vitA","Ghana","Water and sanitation","drop",0.37877667140825
"level","child_vitA","Ghana","Water and sanitation","only",0.304807965860597
"level","child_vitA","Malawi","Water and sanitation","drop",0.262958372822046
"level","child_vitA","Malawi","Water and sanitation","only",0.174582634686885
"level","child_vitA","SierraLeone","Water and sanitation","drop",0.0725274725274725
"level","child_vitA","SierraLeone","Water and sanitation","only",-0.410989010989011
"level","women_vitA","Gambia","ALL","full",0.760177975528365
"level","women_vitA","Ghana","ALL","full",0.308108108108108
"level","women_vitA","Malawi","ALL","full",0.236020995844572
"level","women_vitA","SierraLeone","ALL","full",-0.0593406593406593
"level","women_vitA","Gambia","Agricultural production, land use","drop",0.781979977753059
"level","women_vitA","Gambia","Agricultural production, land use","only",0.119911012235818
"level","women_vitA","Ghana","Agricultural production, land use","drop",0.308847795163585
"level","women_vitA","Ghana","Agricultural production, land use","only",0.0682958083277712
"level","women_vitA","Malawi","Agricultural production, land use","drop",0.261154042429103
"level","women_vitA","Malawi","Agricultural production, land use","only",-0.0377238118699034
"level","women_vitA","SierraLeone","Agricultural production, land use","drop",-0.0241758241758242
"level","women_vitA","SierraLeone","Agricultural production, land use","only",0.389010989010989
"level","women_vitA","Gambia","Anaemia and haemoglobin","drop",0.75706340378198
"level","women_vitA","Gambia","Anaemia and haemoglobin","only",0.705895439377086
"level","women_vitA","Ghana","Anaemia and haemoglobin","drop",0.289416785206259
"level","women_vitA","Ghana","Anaemia and haemoglobin","only",0.301194879089616
"level","women_vitA","Malawi","Anaemia and haemoglobin","drop",0.185244587008821
"level","women_vitA","Malawi","Anaemia and haemoglobin","only",0.192844645330612
"level","women_vitA","SierraLeone","Anaemia and haemoglobin","drop",-0.0505494505494506
"level","women_vitA","SierraLeone","Anaemia and haemoglobin","only",0.142857142857143
"level","women_vitA","Gambia","Built environment","drop",0.76551724137931
"level","women_vitA","Gambia","Built environment","only",0.22091212458287
"level","women_vitA","Ghana","Built environment","drop",0.323726884779516
"level","women_vitA","Ghana","Built environment","only",0.00975817923186344
"level","women_vitA","Malawi","Built environment","drop",0.240030618940001
"level","women_vitA","Malawi","Built environment","only",0.0312021579062477
"level","women_vitA","SierraLeone","Built environment","drop",-0.0461538461538462
"level","women_vitA","SierraLeone","Built environment","only",-0.542857142857143
"level","women_vitA","Gambia","Child anthropometry","drop",0.737931034482759
"level","women_vitA","Gambia","Child anthropometry","only",0.745494994438265
"level","women_vitA","Ghana","Child anthropometry","drop",0.322503556187767
"level","women_vitA","Ghana","Child anthropometry","only",0.257126600284495
"level","women_vitA","Malawi","Child anthropometry","drop",0.218269300867537
"level","women_vitA","Malawi","Child anthropometry","only",0.223500036451119
"level","women_vitA","SierraLeone","Child anthropometry","drop",-0.0549450549450549
"level","women_vitA","SierraLeone","Child anthropometry","only",0.169230769230769
"level","women_vitA","Gambia","Climate and weather","drop",0.730367074527253
"level","women_vitA","Gambia","Climate and weather","only",0.730812013348165
"level","women_vitA","Ghana","Climate and weather","drop",0.264466571834993
