"country","outcome","target","estimand","arm","rep","n_areas","n","spearman","pearson","mae","wmae","bias","rmse_sd","topk"
"Malawi","women_iron","prev","infill","domain_index",1,87,87,0.132003745074617,0.0558228100818513,18.1763259365616,17.2894042268668,-2.38199769076577,1.45097733894052,0.272727272727273
"Malawi","women_iron","prev","infill","sl_disc",1,87,87,-0.163686787357185,-0.0870207015366395,14.4114955552172,13.6066997298151,-8.41469951863364,1.12732196882398,0.136363636363636
"Malawi","women_iron","prev","infill","sl_nnls",1,87,87,-0.0472810553145744,-0.0213793130584828,14.4161025997289,13.5343744256644,-8.13565610434022,1.11984378762766,0.227272727272727
"Malawi","women_iron","prev","infill","sl_rank_disc",1,87,87,-0.108307679764259,-0.151298219397736,16.993206367953,16.5849241966422,-5.5338983479141,1.33814064435161,0.181818181818182
"Malawi","women_iron","prev","infill","sl_rank_nnls",1,87,87,0.0564725368978502,-0.0158396789898545,15.5204942571863,15.0447975868176,-7.12238587765896,1.16957927312494,0.318181818181818
"Malawi","women_iron","prev","infill","sl_lrn_mean",1,87,87,-0.213100530928992,-0.239151365160466,13.871153363398,12.9873127876959,-7.88499560027716,1.1097344151979,0.181818181818182
"Malawi","women_iron","prev","infill","sl_lrn_lasso",1,87,87,-0.230333041392277,-0.239113645163722,13.9112534624104,13.0270788503474,-7.89584465665325,1.11092337268273,0.227272727272727
"Malawi","women_iron","prev","infill","sl_lrn_enet",1,87,87,-0.268089473147233,-0.246728416839333,13.9554374565986,13.0739298601714,-7.91666369364476,1.11258217244017,0.136363636363636
"Malawi","women_iron","prev","infill","sl_lrn_ridge",1,87,87,-0.0721619238904507,-0.0685677237538305,14.0620826767063,13.1781174057396,-8.0370599200533,1.10988547568476,0.227272727272727
"Malawi","women_iron","prev","infill","sl_lrn_ranger",1,87,87,-0.0587310681227437,0.0223285414541169,14.5541401576372,13.6515733845593,-8.63314544072333,1.12753074272157,0.318181818181818
"Malawi","women_iron","prev","infill","sl_lrn_xgb",1,87,87,-0.10353144160014,-0.0435363421061334,15.3611131698406,14.5195409933698,-7.85691341306915,1.16319806629068,0.181818181818182
"Malawi","women_iron","prev","infill","sl_lrn_domain_index",1,87,87,0.146841554720127,0.0651714266199121,18.1233487581139,17.3180785811904,-2.44070277405118,1.43112265145612,0.272727272727273
"Malawi","women_iron","prev","infill","sl_lrn_domain_pc_ridge",1,87,87,-0.0830287913413729,-0.0551534009096621,14.0697119901463,13.1425221475215,-7.94097416364228,1.10741437922759,0.181818181818182
"Malawi","women_iron","prev","infill","sl_lrn_domain_pc_enet",1,87,87,-0.161189756888395,-0.212204189579435,13.8224056805493,12.8821398430115,-7.75653904481784,1.10686677785576,0.0909090909090909
