"domain_set","target","outcome","heldout","arm","model","n_units","n_cov","n_block","block_cols","shares_population","spearman","pearson","topk","delta_vs_base","topk_delta_vs_base"
"all","level","child_iron","SierraLeone","all_other","domain_enet",14,329,3,"child_vitA;women_vitA;women_iron",NA,0.446153846153846,0.415191801521563,0.25,0.140659340659341,0
"all","level","child_iron","Gambia","block_only_same_nutrient","domain_index",30,0,1,"women_iron",FALSE,0.743715239154616,0.737408986867757,0.875,0.323025583982202,0.375
"all","level","child_iron","Ghana","block_only_same_nutrient","domain_index",75,0,1,"women_iron",FALSE,0.382958748221906,0.357886633101413,0.526315789473684,-0.17072546230441,-0.0526315789473685
"all","level","child_iron","Malawi","block_only_same_nutrient","domain_index",87,0,1,"women_iron",FALSE,0.306098272216957,0.318488355652455,0.454545454545455,0.370106437267624,0.318181818181818
"all","level","child_iron","SierraLeone","block_only_same_nutrient","domain_index",14,0,1,"women_iron",FALSE,0.437362637362637,0.488825485068124,0.75,0.215384615384615,0.5
"all","level","child_iron","Gambia","block_only_same_nutrient","domain_enet",30,0,1,"women_iron",FALSE,NA,NA,0.25,NA,0
"all","level","child_iron","Ghana","block_only_same_nutrient","domain_enet",75,0,1,"women_iron",FALSE,NA,NA,0.105263157894737,NA,-0.368421052631579
"all","level","child_iron","Malawi","block_only_same_nutrient","domain_enet",87,0,1,"women_iron",FALSE,NA,NA,0.272727272727273,NA,0.0909090909090909
"all","level","child_iron","SierraLeone","block_only_same_nutrient","domain_enet",14,0,1,"women_iron",FALSE,NA,NA,0.25,NA,0
"all","level","child_iron","Gambia","block_only_all","domain_index",30,0,3,"child_vitA;women_vitA;women_iron",NA,0.699666295884316,0.688602042312525,0.75,0.278976640711902,0.25
"all","level","child_iron","Ghana","block_only_all","domain_index",75,0,3,"child_vitA;women_vitA;women_iron",NA,0.434793741109531,0.450094501720168,0.526315789473684,-0.118890469416785,-0.0526315789473685
"all","level","child_iron","Malawi","block_only_all","domain_index",87,0,3,"child_vitA;women_vitA;women_iron",NA,0.165998396150762,0.150946354734343,0.318181818181818,0.230006561201429,0.181818181818182
"all","level","child_iron","SierraLeone","block_only_all","domain_index",14,0,3,"child_vitA;women_vitA;women_iron",NA,0.204395604395604,0.340921524531401,0.5,-0.0175824175824175,0.25
"all","level","child_iron","Gambia","block_only_all","domain_enet",30,0,3,"child_vitA;women_vitA;women_iron",NA,0.723248053392659,0.707399060716347,0.75,0.480978865406007,0.5
"all","level","child_iron","Ghana","block_only_all","domain_enet",75,0,3,"child_vitA;women_vitA;women_iron",NA,0.392546230440967,0.391600766072944,0.473684210526316,-0.0656614509246088,0
"all","level","child_iron","Malawi","block_only_all","domain_enet",87,0,3,"child_vitA;women_vitA;women_iron",NA,0.268808777429467,0.263199582746856,0.409090909090909,0.270704235620033,0.227272727272727
"all","level","child_iron","SierraLeone","block_only_all","domain_enet",14,0,3,"child_vitA;women_vitA;women_iron",NA,0.402197802197802,0.404898771025896,0.75,0.0967032967032967,0.5
"all","level","child_vitA","Gambia","base","domain_index",30,329,0,"",FALSE,0.612903225806452,0.631664147723943,0.5,0,0
"all","level","child_vitA","Ghana","base","domain_index",75,329,0,"",FALSE,0.366543385490754,0.400135342871119,0.578947368421053,0,0
"all","level","child_vitA","Malawi","base","domain_index",87,329,0,"",FALSE,0.261190493548152,0.262241003744748,0.409090909090909,0,0
"all","level","child_vitA","SierraLeone","base","domain_index",14,329,0,"",FALSE,0.0417582417582418,-0.00788651462406942,0.5,0,0
"all","level","child_vitA","Gambia","base","domain_enet",30,329,0,"",FALSE,0.721913236929922,0.72133552114434,0.5,0,0
"all","level","child_vitA","Ghana","base","domain_enet",75,329,0,"",FALSE,0.218662873399715,0.19190508587691,0.368421052631579,0,0
"all","level","child_vitA","Malawi","base","domain_enet",87,329,0,"",FALSE,0.191040314937669,0.228411690668262,0.409090909090909,0,0
"all","level","child_vitA","SierraLeone","base","domain_enet",14,329,0,"",FALSE,-0.120879120879121,-0.114351288452854,0.25,0,0
"all","level","child_vitA","Gambia","same_nutrient","domain_index",30,329,1,"women_vitA",FALSE,0.665850945494994,0.653973509466225,0.5,0.0529477196885428,0
"all","level","child_vitA","Ghana","same_nutrient","domain_index",75,329,1,"women_vitA",FALSE,0.381280227596017,0.418852300585324,0.578947368421053,0.0147368421052632,0
"all","level","child_vitA","Malawi","same_nutrient","domain_index",87,329,1,"women_vitA",FALSE,0.260333892250492,0.287923298042561,0.454545454545455,-0.000856601297659798,0.0454545454545454
"all","level","child_vitA","SierraLeone","same_nutrient","domain_index",14,329,1,"women_vitA",FALSE,-0.010989010989011,0.0111569622000571,0.5,-0.0527472527472527,0
"all","level","child_vitA","Gambia","same_nutrient","domain_enet",30,329,1,"women_vitA",FALSE,0.796218020022247,0.806897124676577,0.5,0.0743047830923248,0
"all","level","child_vitA","Ghana","same_nutrient","domain_enet",75,329,1,"women_vitA",FALSE,0.373200568990043,0.372964098963467,0.526315789473684,0.154537695590327,0.157894736842105
