"target","outcome","heldout","arm","n_domains","spearman"
"prev","child_vitA","Ghana","fixed_csa",3,0.28412524392289
"prev","child_vitA","Malawi","full",23,0.202646463509917
"prev","child_vitA","Malawi","nested",4,0.197420377993807
"prev","child_vitA","Malawi","fixed_cs",2,0.2011995327295
"prev","child_vitA","Malawi","fixed_csa",3,0.142874895284684
"prev","child_vitA","SierraLeone","full",23,-0.182417582417582
"prev","child_vitA","SierraLeone","nested",5,-0.0505494505494506
"prev","child_vitA","SierraLeone","fixed_cs",2,0.235164835164835
"prev","child_vitA","SierraLeone","fixed_csa",3,0.0373626373626374
"prev","women_vitA","Gambia","full",23,0.455715389537365
"prev","women_vitA","Gambia","nested",1,-0.241937469934616
"prev","women_vitA","Gambia","fixed_cs",2,0.559905725765269
"prev","women_vitA","Gambia","fixed_csa",3,0.576566793044957
"prev","women_vitA","Ghana","full",23,0.25858243558278
"prev","women_vitA","Ghana","nested",5,0.212758828656543
"prev","women_vitA","Ghana","fixed_cs",2,0.224705060812411
"prev","women_vitA","Ghana","fixed_csa",3,0.226131476592216
"prev","women_vitA","Malawi","full",23,0.0823110040548564
"prev","women_vitA","Malawi","nested",5,0.0994518957909204
"prev","women_vitA","Malawi","fixed_cs",2,0.0623922145788777
"prev","women_vitA","Malawi","fixed_csa",3,0.0626763177568235
"prev","women_vitA","SierraLeone","full",23,-0.0846391670112603
"prev","women_vitA","SierraLeone","nested",5,-0.256205046088139
"prev","women_vitA","SierraLeone","fixed_cs",2,0.0274505406523006
"prev","women_vitA","SierraLeone","fixed_csa",3,0.0571886263589597
"prev","child_iron","Gambia","full",23,0.589387032237601
"prev","child_iron","Gambia","nested",2,0.431638672155887
"prev","child_iron","Gambia","fixed_cs",2,0.565135168698945
"prev","child_iron","Gambia","fixed_csa",3,0.626766051269657
"prev","child_iron","Ghana","full",23,0.536815083732064
"prev","child_iron","Ghana","nested",5,0.528876651194295
"prev","child_iron","Ghana","fixed_cs",2,0.497908197643179
"prev","child_iron","Ghana","fixed_csa",3,0.539485024171925
"prev","child_iron","Malawi","full",23,-0.137538585050325
"prev","child_iron","Malawi","nested",5,-0.0670728617015974
"prev","child_iron","Malawi","fixed_cs",2,0.179347396314959
"prev","child_iron","Malawi","fixed_csa",3,0.127241432363202
"prev","child_iron","SierraLeone","full",23,0.30989010989011
"prev","child_iron","SierraLeone","nested",5,0.0901098901098901
"prev","child_iron","SierraLeone","fixed_cs",2,0.208791208791209
"prev","child_iron","SierraLeone","fixed_csa",3,0.230769230769231
"prev","women_iron","Gambia","full",23,0.355100680804534
"prev","women_iron","Gambia","nested",3,0.825675831118813
"prev","women_iron","Gambia","fixed_cs",2,0.736010684274059
"prev","women_iron","Gambia","fixed_csa",3,0.837245527485878
"prev","women_iron","Ghana","full",23,0.312741610318214
"prev","women_iron","Ghana","nested",4,0.298223930671035
"prev","women_iron","Ghana","fixed_cs",2,0.318122791872273
"prev","women_iron","Ghana","fixed_csa",3,0.350582539428304
"prev","women_iron","Malawi","full",23,0.142241185790733
"prev","women_iron","Malawi","nested",4,0.224427656060527
"prev","women_iron","Malawi","fixed_cs",2,0.119850255327547
"prev","women_iron","Malawi","fixed_csa",3,0.18435723936969
"prev","women_iron","SierraLeone","full",23,-0.0813186813186813
"prev","women_iron","SierraLeone","nested",4,0.257142857142857
"prev","women_iron","SierraLeone","fixed_cs",2,-0.142857142857143
"prev","women_iron","SierraLeone","fixed_csa",3,0.103296703296703
"prev","women_folate","Ghana","full",23,0.00320671004099596
"prev","women_folate","Ghana","nested",3,0.133156852946779
"prev","women_folate","Ghana","fixed_cs",2,0.13506662692675
"prev","women_folate","Ghana","fixed_csa",3,0.0142520446266487
"prev","women_folate","Malawi","full",23,-0.0067953310528324
"prev","women_folate","Malawi","nested",4,0.266228038508228
"prev","women_folate","Malawi","fixed_cs",2,0.435599337831907
"prev","women_folate","Malawi","fixed_csa",3,0.311942930015708
"prev","women_folate","SierraLeone","full",23,0.0901098901098901
"prev","women_folate","SierraLeone","nested",4,0.424175824175824
"prev","women_folate","SierraLeone","fixed_cs",2,0.12967032967033
"prev","women_folate","SierraLeone","fixed_csa",3,0.0373626373626374
"prev","women_b12","Ghana","full",23,0.190534127350011
"prev","women_b12","Ghana","nested",2,0.128973668891975
"prev","women_b12","Ghana","fixed_cs",2,0.282243635902409
"prev","women_b12","Ghana","fixed_csa",3,0.269439716313667
"prev","women_b12","Malawi","full",23,0.298165084283424
"prev","women_b12","Malawi","nested",1,-0.04433055000593
"prev","women_b12","Malawi","fixed_cs",2,0.0889858640509145
"prev","women_b12","Malawi","fixed_csa",3,0.0927693397212744
"prev","women_b12","SierraLeone","full",23,-0.275293085061784
"prev","women_b12","SierraLeone","nested",5,-0.187199297842013
"prev","women_b12","SierraLeone","fixed_cs",2,0.167928781887688
"prev","women_b12","SierraLeone","fixed_csa",3,0.178940505290159
