"country","outcome","target","rep","set","n_cols","addon_cols","spearman"
"Gambia","women_vitA","level",5,"plus",456,28,0.725472747497219
"Gambia","women_vitA","level",5,"addon_only",28,28,0.614238042269188
"Gambia","women_vitA","level",5,"replace",411,28,0.718353726362625
"Gambia","women_vitA","level",6,"base",428,0,0.724582869855395
"Gambia","women_vitA","level",6,"plus",456,28,0.717908787541713
"Gambia","women_vitA","level",6,"addon_only",28,28,0.540378197997775
"Gambia","women_vitA","level",6,"replace",411,28,0.74460511679644
"Gambia","women_vitA","level",7,"base",428,0,0.749054505005562
"Gambia","women_vitA","level",7,"plus",456,28,0.741935483870968
"Gambia","women_vitA","level",7,"addon_only",28,28,0.567074527252503
"Gambia","women_vitA","level",7,"replace",411,28,0.734816462736374
"Gambia","women_vitA","level",8,"base",428,0,0.752169076751947
"Gambia","women_vitA","level",8,"plus",456,28,0.735706340378198
"Gambia","women_vitA","level",8,"addon_only",28,28,0.583537263626251
"Gambia","women_vitA","level",8,"replace",411,28,0.746384872080089
"Gambia","women_vitA","level",9,"base",428,0,0.709899888765295
"Gambia","women_vitA","level",9,"plus",456,28,0.705895439377086
"Gambia","women_vitA","level",9,"addon_only",28,28,0.462068965517241
"Gambia","women_vitA","level",9,"replace",411,28,0.719688542825362
"Gambia","women_vitA","level",10,"base",428,0,0.701001112347052
"Gambia","women_vitA","level",10,"plus",456,28,0.693882091212458
"Gambia","women_vitA","level",10,"addon_only",28,28,0.529699666295884
"Gambia","women_vitA","level",10,"replace",411,28,0.709454949944383
"Gambia","women_vitA","prev",1,"base",428,0,0.460408647926009
"Gambia","women_vitA","prev",1,"plus",456,28,0.444451569404619
"Gambia","women_vitA","prev",1,"addon_only",28,28,0.471907130978188
"Gambia","women_vitA","prev",1,"replace",411,28,0.455715389537365
"Gambia","women_vitA","prev",2,"base",428,0,0.472376456817052
"Gambia","women_vitA","prev",2,"plus",456,28,0.456888704134526
"Gambia","women_vitA","prev",2,"addon_only",28,28,0.404558873101142
"Gambia","women_vitA","prev",2,"replace",411,28,0.460173985006577
"Gambia","women_vitA","prev",3,"base",428,0,0.493730782485384
"Gambia","women_vitA","prev",3,"plus",456,28,0.479181681480587
"Gambia","women_vitA","prev",3,"addon_only",28,28,0.408782805650922
"Gambia","women_vitA","prev",3,"replace",411,28,0.490680164532765
"Gambia","women_vitA","prev",4,"base",428,0,0.472845782655917
"Gambia","women_vitA","prev",4,"plus",456,28,0.464632580475789
"Gambia","women_vitA","prev",4,"addon_only",28,28,0.36630881723369
"Gambia","women_vitA","prev",4,"replace",411,28,0.472845782655917
"Gambia","women_vitA","prev",5,"base",428,0,0.422627917897422
"Gambia","women_vitA","prev",5,"plus",456,28,0.43084112007755
"Gambia","women_vitA","prev",5,"addon_only",28,28,0.421923929139126
"Gambia","women_vitA","prev",5,"replace",411,28,0.424974547091745
"Gambia","women_vitA","prev",6,"base",428,0,0.472376456817052
"Gambia","women_vitA","prev",6,"plus",456,28,0.463224602959196
"Gambia","women_vitA","prev",6,"addon_only",28,28,0.406670839376032
"Gambia","women_vitA","prev",6,"replace",411,28,0.460643310845442
"Gambia","women_vitA","prev",7,"base",428,0,0.494434771243681
"Gambia","women_vitA","prev",7,"plus",456,28,0.467683198428408
"Gambia","women_vitA","prev",7,"addon_only",28,28,0.444686232324051
"Gambia","women_vitA","prev",7,"replace",411,28,0.500301344229486
"Gambia","women_vitA","prev",8,"base",428,0,0.501239995907215
"Gambia","women_vitA","prev",8,"plus",456,28,0.504525276779266
"Gambia","women_vitA","prev",8,"addon_only",28,28,0.516258422750877
"Gambia","women_vitA","prev",8,"replace",411,28,0.507810557651317
"Gambia","women_vitA","prev",9,"base",428,0,0.512269153120529
"Gambia","women_vitA","prev",9,"plus",456,28,0.512269153120529
"Gambia","women_vitA","prev",9,"addon_only",28,28,0.44351291772689
"Gambia","women_vitA","prev",9,"replace",411,28,0.514146456475987
"Gambia","women_vitA","prev",10,"base",428,0,0.536439433822048
"Gambia","women_vitA","prev",10,"plus",456,28,0.506402580134724
"Gambia","women_vitA","prev",10,"addon_only",28,28,0.429902468399821
"Gambia","women_vitA","prev",10,"replace",411,28,0.531042186675107
"Gambia","child_iron","level",1,"base",428,0,0.412680756395996
"Gambia","child_iron","level",1,"plus",456,28,0.418464961067853
"Gambia","child_iron","level",1,"addon_only",28,28,0.402892102335929
"Gambia","child_iron","level",1,"replace",411,28,0.414015572858732
"Gambia","child_iron","level",2,"base",428,0,0.485650723025584
"Gambia","child_iron","level",2,"plus",456,28,0.487430478309232
"Gambia","child_iron","level",2,"addon_only",28,28,0.430923248053393
"Gambia","child_iron","level",2,"replace",411,28,0.494549499443827
"Gambia","child_iron","level",3,"base",428,0,0.43047830923248
"Gambia","child_iron","level",3,"plus",456,28,0.42825361512792
"Gambia","child_iron","level",3,"addon_only",28,28,0.430033370411568
"Gambia","child_iron","level",3,"replace",411,28,0.439822024471635
"Gambia","child_iron","level",4,"base",428,0,0.491434927697442
"Gambia","child_iron","level",4,"plus",456,28,0.480756395995551
"Gambia","child_iron","level",4,"addon_only",28,28,0.402447163515017
"Gambia","child_iron","level",4,"replace",411,28,0.496329254727475
"Gambia","child_iron","level",5,"base",428,0,0.44293659621802
"Gambia","child_iron","level",5,"plus",456,28,0.455839822024472
"Gambia","child_iron","level",5,"addon_only",28,28,0.426473859844271
"Gambia","child_iron","level",5,"replace",411,28,0.448720800889878
"Gambia","child_iron","level",6,"base",428,0,0.426918798665184
"Gambia","child_iron","level",6,"plus",456,28,0.434037819799778
"Gambia","child_iron","level",6,"addon_only",28,28,0.361957730812013
"Gambia","child_iron","level",6,"replace",411,28,0.42825361512792
"Gambia","child_iron","level",7,"base",428,0,0.401557285873192
"Gambia","child_iron","level",7,"plus",456,28,0.408676307007786
"Gambia","child_iron","level",7,"addon_only",28,28,0.306340378197998
"Gambia","child_iron","level",7,"replace",411,28,0.393993325917686
"Gambia","child_iron","level",8,"base",428,0,0.480756395995551
"Gambia","child_iron","level",8,"plus",456,28,0.478086763070078
"Gambia","child_iron","level",8,"addon_only",28,28,0.417130144605117
"Gambia","child_iron","level",8,"replace",411,28,0.466073414905451
"Gambia","child_iron","level",9,"base",428,0,0.486095661846496
"Gambia","child_iron","level",9,"plus",456,28,0.466073414905451
"Gambia","child_iron","level",9,"addon_only",28,28,0.390878754171301
"Gambia","child_iron","level",9,"replace",411,28,0.497219132369299
"Gambia","child_iron","level",10,"base",428,0,0.391768631813126
"Gambia","child_iron","level",10,"plus",456,28,0.391323692992214
"Gambia","child_iron","level",10,"addon_only",28,28,0.369966629588432
"Gambia","child_iron","level",10,"replace",411,28,0.398442714126808
"Gambia","child_iron","prev",1,"base",428,0,0.513294029208058
"Gambia","child_iron","prev",1,"plus",456,28,0.524641231414218
"Gambia","child_iron","prev",1,"addon_only",28,28,0.434531096247653
"Gambia","child_iron","prev",1,"replace",411,28,0.524418737253313
"Gambia","child_iron","prev",2,"base",428,0,0.551118036561924
"Gambia","child_iron","prev",2,"plus",456,28,0.547113141665632
"Gambia","child_iron","prev",2,"addon_only",28,28,0.34664590269014
"Gambia","child_iron","prev",2,"replace",411,28,0.551340530722829
"Gambia","child_iron","prev",3,"base",428,0,0.488152189025782
"Gambia","child_iron","prev",3,"plus",456,28,0.489042165669402
"Gambia","child_iron","prev",3,"addon_only",28,28,0.406274337812706
