"country","outcome","n","clusters","w_finite","w_distinct","age_col","age_min","age_max","preg_col","preg_share","report","survey_binary","survey_binary_col","pipeline_uniform_wtd","pipeline_uniform_unwtd"
"Gambia","child_vitA",1020,70,1,70,"gw_cage",3,59,"gw_wPreg",0,18.3,22.8,"gw_cVAD_Thurn",17.3,20.1
"Gambia","women_vitA",1413,70,1,70,"gw_cage",Inf,-Inf,"gw_wPreg",0.023,1.8,1.9,"gw_wVAD_Thurn",1.7,2.7
"Gambia","child_iron",1013,70,1,70,"gw_cage",4,59,"gw_wPreg",0,59,37.5,"gw_cIDA_Brinda",57.3,62.3
"Gambia","women_iron",1402,70,1,70,"gw_cage",Inf,-Inf,"gw_wPreg",0.021,41.4,28.2,"gw_wIDA_Brinda",41.5,45.1
"Ghana","child_vitA",1165,90,1,90,"",Inf,-Inf,"gw_wPreg",0.083,20.8,20.8,"gw_cVADAdjThurn",14.7,14.9
"Ghana","women_vitA",992,90,1,90,"",Inf,-Inf,"gw_wPreg",0.005,1.5,1.5,"gw_wVADAdjThurn",1.7,1.5
"Ghana","child_iron",1165,90,1,90,"",Inf,-Inf,"gw_wPreg",0.083,21.5,21.5,"gw_cIDAdjThurn",21.5,23.9
"Ghana","women_iron",981,90,1,90,"",Inf,-Inf,"gw_wPreg",0.005,13.7,8.2,"gw_wIDA_Thurn",14,13.6
"Ghana","women_folate",475,90,1,90,"",Inf,-Inf,"gw_wPreg",0.004,53.8,53.8,"gw_wFolateDef",53.8,54.7
"Ghana","women_b12",473,90,1,90,"",Inf,-Inf,"gw_wPreg",0.004,6.9,6.9,"gw_wB12Def",6.9,8.5
"SierraLeone","child_vitA",486,60,1,10,"",Inf,-Inf,"",NA,17.4,18.3,"gw_cVAD",12,12.6
"SierraLeone","women_vitA",774,60,1,21,"",Inf,-Inf,"",NA,1.8,1.8,"gw_wVAD",1.4,1.8
"SierraLeone","child_iron",486,60,1,10,"",Inf,-Inf,"",NA,5.2,5.1,"gw_cIDA",5.1,5.8
"SierraLeone","women_iron",774,60,1,21,"",Inf,-Inf,"",NA,8.3,8.9,"gw_wIDA",18,17.3
"SierraLeone","women_folate",766,59,1,21,"",Inf,-Inf,"",NA,79.2,79.2,"gw_wFolDef",79.2,79.4
"SierraLeone","women_b12",768,59,1,21,"",Inf,-Inf,"",NA,0.5,0.5,"gw_wB12DefWHO",0.5,0.5
"Malawi","child_vitA",1149,103,1,103,"",Inf,-Inf,"",NA,4,20.8,"vitA_def",10.2,9.3
"Malawi","women_vitA",836,103,1,103,"",Inf,-Inf,"",NA,1,3.6,"vitA_def",2.2,1.3
"Malawi","child_iron",1149,103,1,103,"",Inf,-Inf,"",NA,22,10.3,"iron_def",21.5,20.1
"Malawi","women_iron",781,103,1,103,"",Inf,-Inf,"",NA,15,8.7,"iron_def",15.9,17.8
"Malawi","women_folate",828,103,1,103,"",Inf,-Inf,"",NA,8,18.6,"folate_def",18.6,20.8
"Malawi","women_b12",839,103,1,103,"",Inf,-Inf,"",NA,13,2.3,"b12_def",2.3,2.7
"Malawi","child_zinc",1134,103,1,103,"",Inf,-Inf,"",NA,62,61.1,"zinc_def",61.1,59.1
"Malawi","women_zinc",844,103,1,103,"",Inf,-Inf,"",NA,63,64.1,"zinc_def",64.1,61.8
