"estimand","target","arm","paired","mean_diff","median_diff","cells_better"
"country","level","domain_enet",22,-0.045755962281066,-0.0655650684519971,6
"country","prev","domain_enet",21,-0.017908337807928,-0.0260757834654429,7
"infill","level","domain_enet",18,-0.0601084216563616,-0.0798335215690553,4
"infill","prev","domain_enet",18,-0.0989607886255308,-0.0910850489474518,0
"region","level","domain_enet",18,-0.083223876875026,-0.0867855860075285,4
"region","prev","domain_enet",18,-0.167678467754937,-0.151372482631203,4
"country","level","index_soft1",22,0.00194321983650792,-0.00152204836415359,10
"country","prev","index_soft1",22,0.00477042869350044,0,10
"infill","level","index_soft1",18,0.000457600340694982,0.000739687055476557,9
"infill","prev","index_soft1",18,-0.00703610951917653,0.00122534337742888,9
"region","level","index_soft1",18,-0.00599950488461182,0.000638558792232874,10
"region","prev","index_soft1",18,-0.0147797162906953,-0.00982940368495188,8
"country","level","index_soft2",22,-0.00110932553486023,-0.0154874796414492,10
"country","prev","index_soft2",22,-0.0352194248910121,-0.0158700928466123,8
"infill","level","index_soft2",18,0.00076839382850859,0.000339177922008285,9
"infill","prev","index_soft2",18,-0.0183288756447463,-0.00483867063531289,9
"region","level","index_soft2",18,-0.0122978097613672,-0.00422691879866516,8
"region","prev","index_soft2",18,-0.0464459378402694,-0.0130313808614037,6
"country","level","index_meta",22,0.0127846385491349,-0.002475106685633,10
"country","prev","index_meta",22,-0.014999746780356,-0.0136977118289807,9
"infill","level","index_meta",18,-0.250407543396408,-0.234808996136181,1
"infill","prev","index_meta",18,-0.169429157817683,-0.10458553717396,3
"region","level","index_meta",18,-0.262568058999876,-0.277074068673908,2
"region","prev","index_meta",18,-0.173899881092405,-0.119906627160328,3
"country","level","index_meta_agree",22,-0.00396250739360791,-0.00828394509165202,8
"country","prev","index_meta_agree",22,-0.0715200881219021,-0.0350736978790257,7
"infill","level","index_meta_agree",18,-0.253602761074411,-0.244784369075721,0
"infill","prev","index_meta_agree",18,-0.179848450412969,-0.115697253853026,2
"region","level","index_meta_agree",18,-0.220252329818027,-0.274401710101917,3
"region","prev","index_meta_agree",18,-0.205054843624166,-0.161594587394422,4
"country","level","index_decor",22,0.0260305780473027,0.00560475984208735,11
"country","prev","index_decor",22,-0.0032857642171587,-0.0173707640964949,11
"infill","level","index_decor",18,0.00146858506885901,0.00109974115038897,9
"infill","prev","index_decor",18,-0.00931460341613406,-0.0107786330044334,6
"region","level","index_decor",18,0.00775945896856798,0.00846396280596259,12
"region","prev","index_decor",18,-0.00386156460123537,-0.0021935032960612,8
"country","level","ridge_min",22,0.00768446334499104,-0.00684856442675205,10
"country","prev","ridge_min",21,0.0190277926554833,0.0467998244605032,12
"infill","level","ridge_min",18,-0.045696220126493,-0.0317923186344239,3
"infill","prev","ridge_min",18,-0.0655344207779229,-0.0590965902700484,0
"region","level","ridge_min",18,-0.0749957783491411,-0.0338877822904002,2
"region","prev","ridge_min",18,-0.168010954490984,-0.125506722715182,2
"country","level","ridge_nested",21,-0.0386091159041014,-0.00273383392870158,10
"country","prev","ridge_nested",20,-0.00768325766847413,0.0293719186749302,12
"infill","level","ridge_nested",18,-0.0377585759678674,-0.0279210417947598,2
"infill","prev","ridge_nested",18,-0.0446006370775329,-0.0464687544245581,2
"region","level","ridge_nested",18,-0.0345906746901256,-0.0333143669985775,5
"region","prev","ridge_nested",18,-0.0627042054423615,-0.0396810495342637,2
"country","level","enet_1se",15,0.0092985702660998,-0.0349644381223329,7
"country","prev","enet_1se",9,0.062335821638798,0.0395604395604396,6
"infill","level","enet_1se",18,-0.201867135993681,-0.133038828278089,1
"infill","prev","enet_1se",18,-0.28373982329408,-0.278665818969577,0
"region","level","enet_1se",18,-0.318526536516779,-0.271196169671183,0
"region","prev","enet_1se",18,-0.477593369916354,-0.432578650034723,0
"country","level","enet_nested",22,-0.0725571326041279,-0.0251920341394025,8
"country","prev","enet_nested",20,-0.0719596828041146,-0.0247288066619804,9
"infill","level","enet_nested",18,-0.0505324076778896,-0.0660549179822056,4
"infill","prev","enet_nested",18,-0.0641171910946293,-0.0701790412096763,3
"region","level","enet_nested",18,-0.0446406347291528,-0.0359703758227958,7
"region","prev","enet_nested",18,-0.0695679396093692,-0.0612576974278376,4
"country","level","lasso_min",22,-0.033814513486946,-0.0503279508542666,8
"country","prev","lasso_min",21,-0.0434091200336336,-0.038857844598783,7
"infill","level","lasso_min",18,-0.0589970133230774,-0.0768136557610242,3
"infill","prev","lasso_min",18,-0.0723769071098961,-0.062547886820556,4
