"country","outcome","n_raw","n_psu","n_kish","deff_binary","deff_cont","deff_weights","rho_binary","rho_cont","deff_method","method","outcome_source","level_source","weight_col","weight_ndistinct"
"Gambia","child_vitA",1020,70,410.6,3.228,5.372,2.484,0.0221,0.0857,"district","cluster_robust_national","uniform_derived","brinda_adjusted_rbp","gw_svy_weight",70
"Gambia","women_vitA",1413,70,549.2,1.901,5.574,2.573,0,0.0608,"district","cluster_robust_national","uniform_derived","brinda_adjusted_rbp","gw_svy_weight",70
"Gambia","child_iron",1013,70,410.8,5.63,4.112,2.466,0.0952,0.0496,"district","cluster_robust_national","uniform_derived","configured_continuous","gw_svy_weight",70
"Gambia","women_iron",1402,70,548.3,2.754,2.959,2.557,0.0041,0.0083,"district","cluster_robust_national","uniform_derived","configured_continuous","gw_svy_weight",70
"Ghana","child_vitA",1165,90,902.9,1.503,2.342,1.29,0.0138,0.0683,"district","cluster_robust_national","uniform_derived","brinda_adjusted_rbp","gw_PSUStrat_weight",90
"Ghana","women_vitA",992,90,779,1.563,3.325,1.274,0.0227,0.1607,"district","cluster_robust_national","uniform_derived","brinda_adjusted_rbp","gw_PSUStrat_weight",90
"Ghana","child_iron",1165,90,902.9,2.572,3.513,1.29,0.0831,0.1442,"district","cluster_robust_national","uniform_derived","configured_continuous","gw_PSUStrat_weight",90
"Ghana","women_iron",981,90,768.9,1.618,2.899,1.276,0.0271,0.1285,"district","cluster_robust_national","uniform_derived","configured_continuous","gw_PSUStrat_weight",90
"Ghana","women_folate",475,90,374.1,1.844,1.9,1.27,0.1057,0.1161,"district","cluster_robust_national","configured_binary","configured_continuous","gw_PSUStrat_weight",90
"Ghana","women_b12",473,90,372.2,1.148,1.455,1.271,0,0.034,"district","cluster_robust_national","configured_binary","configured_continuous","gw_PSUStrat_weight",90
"Malawi","child_vitA",1149,103,642.2,3.247,2.424,1.789,0.0802,0.035,"district","cluster_robust_national","uniform_derived","brinda_adjusted_rbp","svy_weight",103
"Malawi","women_vitA",836,103,464.7,2.576,2.755,1.799,0.0607,0.0747,"district","cluster_robust_national","uniform_derived","brinda_adjusted_rbp","svy_weight",103
"Malawi","child_iron",1149,103,642.2,5.193,6.899,1.789,0.1874,0.2813,"district","cluster_robust_national","uniform_derived","configured_continuous","svy_weight",103
"Malawi","women_iron",781,103,446.6,2.35,2.791,1.749,0.0522,0.0906,"district","cluster_robust_national","uniform_derived","configured_continuous","svy_weight",103
"Malawi","women_folate",828,103,466.5,4.447,5.567,1.775,0.2138,0.3035,"district","cluster_robust_national","configured_binary","configured_continuous","svy_weight",103
"Malawi","women_b12",839,103,471,2.572,4.09,1.781,0.0622,0.1814,"district","cluster_robust_national","uniform_derived","configured_continuous","svy_weight",103
"Malawi","child_zinc",1134,103,634.7,4.649,4.245,1.787,0.1601,0.1377,"district","cluster_robust_national","configured_binary","configured_continuous","svy_weight",103
"Malawi","women_zinc",844,103,475.3,4.417,3.157,1.776,0.2067,0.108,"district","cluster_robust_national","configured_binary","configured_continuous","svy_weight",103
"SierraLeone","child_vitA",486,60,380.1,1.303,1.173,1.278,0.0027,0,"district","cluster_robust_national","uniform_derived","brinda_adjusted_rbp","gw_svy_weight",10
"SierraLeone","women_vitA",774,60,561.4,0.99,2.213,1.379,0,0.0508,"district","cluster_robust_national","uniform_derived","brinda_adjusted_rbp","gw_svy_weight",21
"SierraLeone","child_iron",486,60,380.1,1.085,1.595,1.278,0,0.0349,"district","cluster_robust_national","uniform_derived","configured_continuous","gw_svy_weight",10
"SierraLeone","women_iron",774,60,561.4,2.035,1.642,1.379,0.04,0.0161,"district","cluster_robust_national","uniform_derived","configured_continuous","gw_svy_weight",21
"SierraLeone","women_folate",766,59,552.3,2.539,2.976,1.387,0.0693,0.0956,"district","cluster_robust_national","configured_binary","configured_continuous","gw_svy_weight",21
"SierraLeone","women_b12",768,59,554,1.046,4.662,1.386,0,0.1966,"district","cluster_robust_national","configured_binary","configured_continuous","gw_svy_weight",21
