"scope","fit","country","outcome","target","n_train","column","beta","sd_tr","beta_std","share","rank","fold_sign_agree","loco_sign_agree","loco_fits","incountry_sign_agree","incountry_fits","domain"
"country","Gambia","Gambia","child_vitA","level",30,"aef_A28",-0.0383779731851841,0.995831098714052,-0.0382179792034203,3.53850676254865e-05,409,0.6,NA,NA,NA,NA,"Satellite embedding"
"country","Gambia","Gambia","child_vitA","level",30,"aef_A29",-0.279503775036012,0.995831098714052,-0.278338551388837,0.000529002155283838,322,1,NA,NA,NA,NA,"Satellite embedding"
"country","Gambia","Gambia","child_vitA","level",30,"aef_A30",-0.913381394193869,0.995831098714052,-0.909573597325054,0.00398039074881163,163,1,NA,NA,NA,NA,"Satellite embedding"
"country","Gambia","Gambia","child_vitA","level",30,"aef_A31",-0.656904109065974,0.995831098714052,-0.654165540680945,0.00166104287417742,232,1,NA,NA,NA,NA,"Satellite embedding"
"country","Gambia","Gambia","child_vitA","level",30,"aef_A32",-0.45116824211827,0.995831098714052,-0.449287366253525,0.00120008156489777,279,1,NA,NA,NA,NA,"Satellite embedding"
"country","Gambia","Gambia","child_vitA","level",30,"aef_A33",-0.501996104880002,0.995831098714052,-0.499903332672827,0.000249318215616029,271,1,NA,NA,NA,NA,"Satellite embedding"
"country","Gambia","Gambia","child_vitA","level",30,"aef_A34",-0.850114142517342,0.995831098714052,-0.846570100575399,0.00346089551123152,179,1,NA,NA,NA,NA,"Satellite embedding"
"country","Gambia","Gambia","child_vitA","level",30,"aef_A35",0.2219475149946,0.995831098714052,0.221022237713927,0.000350964007951078,340,1,NA,NA,NA,NA,"Satellite embedding"
"country","Gambia","Gambia","child_vitA","level",30,"aef_A36",-0.764230669893988,0.995831098714052,-0.761044667671507,0.00222534588869179,204,1,NA,NA,NA,NA,"Satellite embedding"
"country","Gambia","Gambia","child_vitA","level",30,"aef_A37",0.224579650075415,0.995831098714052,0.223643399683418,0.000662911912874361,339,1,NA,NA,NA,NA,"Satellite embedding"
"country","Gambia","Gambia","child_vitA","level",30,"aef_A38",-0.557596459303227,0.995831098714052,-0.555271894706998,3.20160729703889e-05,259,1,NA,NA,NA,NA,"Satellite embedding"
"country","Gambia","Gambia","child_vitA","level",30,"aef_A39",-0.249493348312758,0.995831098714052,-0.248453235172142,0.000182784560114897,333,0.8,NA,NA,NA,NA,"Satellite embedding"
"country","Gambia","Gambia","child_vitA","level",30,"aef_A40",0.851285177280158,0.995831098714052,0.847736253409886,0.00291969984436144,178,1,NA,NA,NA,NA,"Satellite embedding"
"country","Gambia","Gambia","child_vitA","level",30,"aef_A41",-0.207839888121536,0.995831098714052,-0.206973424144675,0.000249575004895953,342,0.8,NA,NA,NA,NA,"Satellite embedding"
"country","Gambia","Gambia","child_vitA","level",30,"aef_A42",-0.103060751734934,0.995831098714052,-0.102631101634495,0.000211753109452013,390,0.8,NA,NA,NA,NA,"Satellite embedding"
"country","Gambia","Gambia","child_vitA","level",30,"aef_A43",-0.731604117553337,0.995831098714052,-0.728554132206864,0.00304766899995812,208,1,NA,NA,NA,NA,"Satellite embedding"
"country","Gambia","Gambia","child_vitA","level",30,"aef_A44",-0.822336778042718,0.995831098714052,-0.818908537191253,0.00330407230295943,187,1,NA,NA,NA,NA,"Satellite embedding"
"country","Gambia","Gambia","child_vitA","level",30,"aef_A45",0.714153155247235,0.995831098714052,0.711175921239962,0.00296976909006064,217,1,NA,NA,NA,NA,"Satellite embedding"
"country","Gambia","Gambia","child_vitA","level",30,"aef_A46",0.682824466819857,0.995831098714052,0.679977839022055,0.00195981007884507,227,1,NA,NA,NA,NA,"Satellite embedding"
"country","Gambia","Gambia","child_vitA","level",30,"aef_A47",0.0716487041442917,0.995831098714052,0.0713500077694481,-3.02719217879016e-05,396,0.6,NA,NA,NA,NA,"Satellite embedding"
"country","Gambia","Gambia","child_vitA","level",30,"aef_A48",0.447909443021766,0.995831098714052,0.446042152768765,0.000387387050207753,280,1,NA,NA,NA,NA,"Satellite embedding"
"country","Gambia","Gambia","child_vitA","level",30,"aef_A49",-0.961212695481372,0.995831098714052,-0.95720549463911,0.003798577648221,149,1,NA,NA,NA,NA,"Satellite embedding"
"country","Gambia","Gambia","child_vitA","level",30,"aef_A50",0.100037928931648,0.995831098714052,0.099620880681081,0.000209743416711829,391,0.6,NA,NA,NA,NA,"Satellite embedding"
"country","Gambia","Gambia","child_vitA","level",30,"aef_A51",0.141925895514812,0.995831098714052,0.141334220466491,0.000265284079587678,370,0.8,NA,NA,NA,NA,"Satellite embedding"
"country","Gambia","Gambia","child_vitA","level",30,"aef_A52",0.996130040490827,0.995831098714052,0.991977272684054,0.00356338815949908,132,1,NA,NA,NA,NA,"Satellite embedding"
"country","Gambia","Gambia","child_vitA","level",30,"aef_A53",0.382633378860026,0.995831098714052,0.38103821807485,-1.445729979088e-05,298,1,NA,NA,NA,NA,"Satellite embedding"
"country","Gambia","Gambia","child_vitA","level",30,"aef_A54",-0.859785832007051,0.995831098714052,-0.856201469746358,0.00309103968552035,176,1,NA,NA,NA,NA,"Satellite embedding"
"country","Gambia","Gambia","child_vitA","level",30,"aef_A55",0.636223070976561,0.995831098714052,0.633570719797817,0.00225671582620541,238,1,NA,NA,NA,NA,"Satellite embedding"
"country","Gambia","Gambia","child_vitA","level",30,"aef_A56",-0.713963238675367,0.995831098714052,-0.710986796411534,0.00198684911534069,218,1,NA,NA,NA,NA,"Satellite embedding"
"country","Gambia","Gambia","child_vitA","level",30,"aef_A57",0.586233548156062,0.995831098714052,0.583789598363288,0.00184780799786562,254,1,NA,NA,NA,NA,"Satellite embedding"
"country","Gambia","Gambia","child_vitA","level",30,"aef_A58",0.604675322960947,0.995831098714052,0.602154491229475,0.00141407111432271,247,1,NA,NA,NA,NA,"Satellite embedding"
"country","Gambia","Gambia","child_vitA","level",30,"aef_A59",-0.210129884470027,0.995831098714052,-0.209253873724444,0.000423300800339607,341,1,NA,NA,NA,NA,"Satellite embedding"
"country","Gambia","Gambia","child_vitA","level",30,"aef_A60",-0.993670852812204,0.995831098714052,-0.989528337116107,0.00450845387649258,133,1,NA,NA,NA,NA,"Satellite embedding"
"country","Gambia","Gambia","child_vitA","level",30,"aef_A61",0.688967489103666,0.995831098714052,0.686095251652366,0.00227191886092899,225,1,NA,NA,NA,NA,"Satellite embedding"
"country","Gambia","Gambia","child_vitA","level",30,"aef_A62",0.873783651488096,0.995831098714052,0.870140933699767,0.00379781738894423,172,1,NA,NA,NA,NA,"Satellite embedding"
"country","Gambia","Gambia","child_vitA","level",30,"aef_A63",0.290902844668883,0.995831098714052,0.289690099425657,0.000548486455187735,320,1,NA,NA,NA,NA,"Satellite embedding"
"country","Gambia","Gambia","child_vitA","level",30,"aod_t0",-0.833433758612113,0.995831098714052,-0.829959255544083,0.00349547504795191,183,1,NA,NA,NA,NA,"Climate and weather"
"country","Gambia","Gambia","child_vitA","level",30,"built_surface",-1.00399223264514,0.995831098714052,-0.999806688135388,0.00426025750351629,129,1,NA,NA,NA,NA,"Ruralness, population density, built environment"
"country","Gambia","Gambia","child_vitA","level",30,"built_surface_nres",-0.870357257841282,0.977803880653583,-0.851038704272217,0.00237226376281477,177,1,NA,NA,NA,NA,"Ruralness, population density, built environment"
"country","Gambia","Gambia","child_vitA","level",30,"dhs_AN_NUTS_W_THN",-0.320812635145387,0.995831098714052,-0.319475198938181,-0.000410480203801086,311,0.6,NA,NA,NA,NA,"Adult nutrition"
"country","Gambia","Gambia","child_vitA","level",30,"dhs_c_ari_2wk",-0.266548657269112,0.995831098714052,-0.265437442229055,0.00017623109124391,328,1,NA,NA,NA,NA,"Infant and child morbidity/mortality"
"country","Gambia","Gambia","child_vitA","level",30,"dhs_c_bcg",0.202792285409782,0.949495483514688,0.192550359088209,-0.000120485208493892,350,0.8,NA,NA,NA,NA,"Infant and child morbidity/mortality"
"country","Gambia","Gambia","child_vitA","level",30,"dhs_c_bottle_fed",-0.465324308749009,0.995831098714052,-0.463384417639883,0.000880048142851747,278,1,NA,NA,NA,NA,"Infant and child morbidity/mortality"
"country","Gambia","Gambia","child_vitA","level",30,"dhs_c_diarrhea_2wk",0.421374686860222,0.995831098714052,0.419618017386305,0.000567427916134813,285,1,NA,NA,NA,NA,"Infant and child morbidity/mortality"
"country","Gambia","Gambia","child_vitA","level",30,"dhs_c_diet_diversity_score",-0.720400324486328,0.995831098714052,-0.71739704664718,0.000334294688461368,214,1,NA,NA,NA,NA,"Dietary diversity"
