"scope","fit","country","outcome","target","n_train","domain","share","n_axes"
"country","Gambia","Gambia","child_vitA","level",30,"Agricultural production, land use",0.0107779297770613,2
"country","Gambia","Gambia","child_vitA","level",30,"Anaemia and haemoglobin",0.0452803841113069,1
"country","Gambia","Gambia","child_vitA","level",30,"Built environment",0.043959351099748,4
"country","Gambia","Gambia","child_vitA","level",30,"Child anthropometry",0.0710611931626814,2
"country","Gambia","Gambia","child_vitA","level",30,"Climate and weather",0.151226765215956,3
"country","Gambia","Gambia","child_vitA","level",30,"Ecosystem productivity/greenness",0.033199829711434,4
"country","Gambia","Gambia","child_vitA","level",30,"Education, employment, SES",0.0639305909863059,3
"country","Gambia","Gambia","child_vitA","level",30,"Food fortification and supplementation",0.000362777856871583,1
"country","Gambia","Gambia","child_vitA","level",30,"Food prices and supply",0.0299055046396465,5
"country","Gambia","Gambia","child_vitA","level",30,"Household assets and characteristics",0.0355506961361826,2
"country","Gambia","Gambia","child_vitA","level",30,"Household diet and consumption (HCES)",0.0416487306533862,3
"country","Gambia","Gambia","child_vitA","level",30,"Immunisation",0.0364853558539792,3
"country","Gambia","Gambia","child_vitA","level",30,"Infant and young child feeding",0.00386320539921659,3
"country","Gambia","Gambia","child_vitA","level",30,"Infection and inflammation burden",0.0824350669528107,6
"country","Gambia","Gambia","child_vitA","level",30,"Livestock density",0.025273369387651,3
"country","Gambia","Gambia","child_vitA","level",30,"Market prices (RTFP)",0.0207277528248621,3
"country","Gambia","Gambia","child_vitA","level",30,"Ruralness, population density, built environment",0.0321071584022567,1
"country","Gambia","Gambia","child_vitA","level",30,"Satellite embedding",0.108814232808984,5
"country","Gambia","Gambia","child_vitA","level",30,"Soil characteristics",0.122454245910198,4
"country","Gambia","Gambia","child_vitA","level",30,"Water and coast proximity",0.025351587360185,2
"country","Gambia","Gambia","child_vitA","level",30,"Water and sanitation",0.015584271749277,5
"country","Gambia","Gambia","child_vitA","prev",30,"Agricultural production, land use",0.0107026048754909,2
"country","Gambia","Gambia","child_vitA","prev",30,"Anaemia and haemoglobin",0.0460818567783387,1
"country","Gambia","Gambia","child_vitA","prev",30,"Built environment",0.0441358214657481,4
"country","Gambia","Gambia","child_vitA","prev",30,"Child anthropometry",0.0630624567676499,2
"country","Gambia","Gambia","child_vitA","prev",30,"Climate and weather",0.138765527782292,3
"country","Gambia","Gambia","child_vitA","prev",30,"Ecosystem productivity/greenness",0.0412387002146526,4
"country","Gambia","Gambia","child_vitA","prev",30,"Education, employment, SES",0.0681722870561889,3
"country","Gambia","Gambia","child_vitA","prev",30,"Food fortification and supplementation",-0.000139692895892715,1
"country","Gambia","Gambia","child_vitA","prev",30,"Food prices and supply",0.0287208984781839,5
"country","Gambia","Gambia","child_vitA","prev",30,"Household assets and characteristics",0.043562840999022,2
"country","Gambia","Gambia","child_vitA","prev",30,"Household diet and consumption (HCES)",0.037927129338502,3
"country","Gambia","Gambia","child_vitA","prev",30,"Immunisation",0.0362570166340424,3
"country","Gambia","Gambia","child_vitA","prev",30,"Infant and young child feeding",0.00883049443917526,3
"country","Gambia","Gambia","child_vitA","prev",30,"Infection and inflammation burden",0.0719099272682776,6
"country","Gambia","Gambia","child_vitA","prev",30,"Livestock density",0.0283556288923466,3
"country","Gambia","Gambia","child_vitA","prev",30,"Market prices (RTFP)",0.0179599533754492,3
"country","Gambia","Gambia","child_vitA","prev",30,"Ruralness, population density, built environment",0.032269135465904,1
"country","Gambia","Gambia","child_vitA","prev",30,"Satellite embedding",0.120293022675615,5
"country","Gambia","Gambia","child_vitA","prev",30,"Soil characteristics",0.110096486566124,4
"country","Gambia","Gambia","child_vitA","prev",30,"Water and coast proximity",0.0257314352749957,2
"country","Gambia","Gambia","child_vitA","prev",30,"Water and sanitation",0.0260664685478938,5
"country","Gambia","Gambia","women_vitA","level",30,"Agricultural production, land use",0.0220711679958078,2
"country","Gambia","Gambia","women_vitA","level",30,"Anaemia and haemoglobin",0.0432979229482615,1
"country","Gambia","Gambia","women_vitA","level",30,"Built environment",0.0379897240726384,4
"country","Gambia","Gambia","women_vitA","level",30,"Child anthropometry",0.0596065778291248,2
"country","Gambia","Gambia","women_vitA","level",30,"Climate and weather",0.132376038378561,3
"country","Gambia","Gambia","women_vitA","level",30,"Ecosystem productivity/greenness",0.0414614114751732,4
"country","Gambia","Gambia","women_vitA","level",30,"Education, employment, SES",0.0713286972836543,3
"country","Gambia","Gambia","women_vitA","level",30,"Food fortification and supplementation",0.00296135401509608,1
"country","Gambia","Gambia","women_vitA","level",30,"Food prices and supply",0.0324479342827862,5
"country","Gambia","Gambia","women_vitA","level",30,"Household assets and characteristics",0.0686758019114465,2
"country","Gambia","Gambia","women_vitA","level",30,"Household diet and consumption (HCES)",0.0325071263349078,3
"country","Gambia","Gambia","women_vitA","level",30,"Immunisation",0.0463789498026184,3
"country","Gambia","Gambia","women_vitA","level",30,"Infant and young child feeding",0.0091456459809594,3
"country","Gambia","Gambia","women_vitA","level",30,"Infection and inflammation burden",0.0649363864481867,6
"country","Gambia","Gambia","women_vitA","level",30,"Livestock density",0.0270833887587924,3
"country","Gambia","Gambia","women_vitA","level",30,"Market prices (RTFP)",0.0262710157298238,3
"country","Gambia","Gambia","women_vitA","level",30,"Ruralness, population density, built environment",0.0400882452947617,1
"country","Gambia","Gambia","women_vitA","level",30,"Satellite embedding",0.105690107919153,5
"country","Gambia","Gambia","women_vitA","level",30,"Soil characteristics",0.0948985625785445,4
"country","Gambia","Gambia","women_vitA","level",30,"Water and coast proximity",0.0152273527856733,2
"country","Gambia","Gambia","women_vitA","level",30,"Water and sanitation",0.0255565881740292,5
"country","Gambia","Gambia","women_vitA","prev",30,"Agricultural production, land use",0.00601020280749721,2
"country","Gambia","Gambia","women_vitA","prev",30,"Anaemia and haemoglobin",0.0439180711950355,1
"country","Gambia","Gambia","women_vitA","prev",30,"Built environment",0.0281285335156744,4
"country","Gambia","Gambia","women_vitA","prev",30,"Child anthropometry",0.0633756598102848,2
"country","Gambia","Gambia","women_vitA","prev",30,"Climate and weather",0.158164326156945,3
"country","Gambia","Gambia","women_vitA","prev",30,"Ecosystem productivity/greenness",0.0521021075696269,4
"country","Gambia","Gambia","women_vitA","prev",30,"Education, employment, SES",0.0788051762444546,3
"country","Gambia","Gambia","women_vitA","prev",30,"Food fortification and supplementation",0.000275709774667532,1
"country","Gambia","Gambia","women_vitA","prev",30,"Food prices and supply",0.0271897826254511,5
"country","Gambia","Gambia","women_vitA","prev",30,"Household assets and characteristics",0.0522158557885158,2
"country","Gambia","Gambia","women_vitA","prev",30,"Household diet and consumption (HCES)",0.0221804378623127,3
"country","Gambia","Gambia","women_vitA","prev",30,"Immunisation",0.0328153860214622,3
