"country","outcome","rep","arm","n_areas","spearman","topk","capture","mae_pp"
"Gambia","child_vitA",1,"mse_discrete",30,0.52611688884592,0.625,0.126797120586952,9.17622223794503
"Gambia","child_vitA",1,"mse_nnls",30,0.584029840200678,0.625,0.127422423484596,9.04111870790366
"Gambia","child_vitA",1,"rank_discrete",30,0.643724728520198,0.625,0.127422423484596,11.2700574614681
"Gambia","child_vitA",1,"rank_nnls",30,0.64550666548496,0.625,0.127422423484596,10.4301318785173
"Gambia","child_vitA",1,"wrank_discrete",30,0.643724728520198,0.625,0.127422423484596,11.2700574614681
"Gambia","child_vitA",1,"wrank_nnls",30,0.633255848852223,0.625,0.127422423484596,9.42446841324267
"Gambia","child_vitA",1,"burden_discrete",30,0.4372079263363,0.625,0.161313210473317,10.2558738692761
"Gambia","child_vitA",1,"burden_ens",30,0.563314822985322,0.625,0.189645463085282,9.16897483094476
"Gambia","child_vitA",1,"domain_index",30,0.643724728520198,0.625,0.127422423484596,11.2700574614681
"Gambia","child_vitA",1,"enet",30,0.459962479029138,0.5,0.127422423484596,9.942276199305
"Gambia","child_vitA",1,"rf",30,0.52611688884592,0.625,0.126797120586952,9.17622223794503
"Gambia","child_vitA",1,"mean",30,-0.19358197634098,0.125,0.0522625084003941,10.932926807403
"Gambia","child_vitA",2,"mse_discrete",30,0.540817868805204,0.625,0.204458704218483,9.20353892019816
"Gambia","child_vitA",2,"mse_nnls",30,0.59605791471282,0.5,0.127422423484596,8.89670789228672
"Gambia","child_vitA",2,"rank_discrete",30,0.620114063737104,0.625,0.127422423484596,11.7183007178865
"Gambia","child_vitA",2,"rank_nnls",30,0.624791648269604,0.625,0.127422423484596,10.6953263240254
"Gambia","child_vitA",2,"wrank_discrete",30,0.620114063737104,0.625,0.127422423484596,11.7183007178865
"Gambia","child_vitA",2,"wrank_nnls",30,0.623009711304842,0.625,0.127422423484596,9.64864011175803
"Gambia","child_vitA",2,"burden_discrete",30,0.463105423992306,0.5,0.131392780152609,9.95511807835739
"Gambia","child_vitA",2,"burden_ens",30,0.579797739909369,0.375,0.133518443716357,9.13289739399831
"Gambia","child_vitA",2,"domain_index",30,0.620114063737104,0.625,0.127422423484596,11.7183007178865
"Gambia","child_vitA",2,"enet",30,0.328767369998551,0.375,0.107061459016484,10.6573291066663
"Gambia","child_vitA",2,"rf",30,0.540817868805204,0.625,0.204458704218483,9.20353892019816
"Gambia","child_vitA",2,"mean",30,-0.152684375705562,0.25,0.064228412460843,10.9218580551775
"Gambia","child_vitA",3,"mse_discrete",30,0.355941908711168,0.5,0.177376416620967,10.1668181142567
"Gambia","child_vitA",3,"mse_nnls",30,0.417641476116046,0.625,0.126797120586952,9.94604649252734
"Gambia","child_vitA",3,"rank_discrete",30,0.553514169679132,0.625,0.126797120586952,11.1450948263768
"Gambia","child_vitA",3,"rank_nnls",30,0.564428533588298,0.5,0.126797120586952,10.5526699792465
"Gambia","child_vitA",3,"wrank_discrete",30,0.576233865979845,0.625,0.127422423484596,11.2963963831613
"Gambia","child_vitA",3,"wrank_nnls",30,0.536140284272705,0.625,0.126797120586952,9.61916094513839
"Gambia","child_vitA",3,"burden_discrete",30,0.00416971782616899,0.375,0.102325221755106,11.7248165774513
"Gambia","child_vitA",3,"burden_ens",30,0.202027103379868,0.5,0.102325221755106,11.7695652276928
"Gambia","child_vitA",3,"domain_index",30,0.576233865979845,0.625,0.127422423484596,11.2963963831613
"Gambia","child_vitA",3,"enet",30,0.310502516109743,0.375,0.104389849428481,10.4181827828889
"Gambia","child_vitA",3,"rf",30,0.355941908711168,0.5,0.177376416620967,10.1668181142567
"Gambia","child_vitA",3,"mean",30,-0.437604326798976,0.125,0.140571203026037,11.1366911717136
"Gambia","child_vitA",4,"mse_discrete",30,0.464862805682233,0.5,0.1892322728818,9.53658880290945
"Gambia","child_vitA",4,"mse_nnls",30,0.568437891759012,0.5,0.180318730643903,9.26951519857105
"Gambia","child_vitA",4,"rank_discrete",30,0.6063040522602,0.625,0.182197326843446,10.4482427755749
"Gambia","child_vitA",4,"rank_nnls",30,0.633478590972818,0.625,0.182197326843446,9.75241225449051
"Gambia","child_vitA",4,"wrank_discrete",30,0.607640504983772,0.625,0.127422423484596,11.0293905394678
"Gambia","child_vitA",4,"wrank_nnls",30,0.598062593798177,0.625,0.180318730643903,9.24111853943526
"Gambia","child_vitA",4,"burden_discrete",30,-0.0633623315582151,0.125,0.141966313970927,10.9422283611976
"Gambia","child_vitA",4,"burden_ens",30,0.034747770812855,0.25,0.145947741423986,10.9490632231488
"Gambia","child_vitA",4,"domain_index",30,0.607640504983772,0.625,0.127422423484596,11.0293905394678
"Gambia","child_vitA",4,"enet",30,0.358392072037716,0.625,0.157037894356896,10.5329018038727
"Gambia","child_vitA",4,"rf",30,0.464862805682233,0.5,0.1892322728818,9.53658880290945
"Gambia","child_vitA",4,"mean",30,-0.384437445972932,0,0.326098508726723,11.1533637072802
"Gambia","child_vitA",5,"mse_discrete",30,0.335757022754441,0.5,0.142023551923635,9.69569954703391
"Gambia","child_vitA",5,"mse_nnls",30,0.45662134722021,0.5,0.142023551923635,9.46292459214724
"Gambia","child_vitA",5,"rank_discrete",30,0.607195020742581,0.625,0.127422423484596,12.8345393595886
"Gambia","child_vitA",5,"rank_nnls",30,0.585589035044845,0.625,0.127422423484596,11.4589928938455
"Gambia","child_vitA",5,"wrank_discrete",30,0.607195020742581,0.625,0.127422423484596,12.8345393595886
"Gambia","child_vitA",5,"wrank_nnls",30,0.56665595479425,0.625,0.127422423484596,9.20800744409936
"Gambia","child_vitA",5,"burden_discrete",30,0.312729937315695,0.375,0.309575759718,10.2818197209994
"Gambia","child_vitA",5,"burden_ens",30,0.293128630703315,0.5,0.318323380220138,10.6147150489609
"Gambia","child_vitA",5,"domain_index",30,0.607195020742581,0.625,0.127422423484596,12.8345393595886
"Gambia","child_vitA",5,"enet",30,0.240784232363437,0.375,0.238635499215874,10.580712573273
"Gambia","child_vitA",5,"rf",30,0.455284894496638,0.625,0.142023551923635,9.22912236457668
"Gambia","child_vitA",5,"mean",30,-0.192218722986466,0.375,0.0983986528969385,11.062462017959
"Gambia","women_vitA",1,"mse_discrete",30,0.140524592990629,0.125,0.179423424365917,3.47694111196578
"Gambia","women_vitA",1,"mse_nnls",30,0.373114041897225,0.25,0.176714577340189,3.22096882519071
"Gambia","women_vitA",1,"rank_discrete",30,0.460877973764874,0.375,0.366340886899765,3.4501787130223
"Gambia","women_vitA",1,"rank_nnls",30,0.441870277290864,0.5,0.238472158990721,3.2677920518813
