"estimand","target","arm","paired","mean_diff","median_diff","cells_better"
"infill","level","hapc_lasso",18,-0.0287212141553232,-0.00883203718408204,6
"infill","prev","hapc_lasso",18,-0.024767994645212,-0.0409867334714035,4
"region","level","hapc_lasso",18,-0.0350778969161401,-0.0239148445324899,5
"region","prev","hapc_lasso",18,-0.0689683745983504,-0.0334750253182987,3
"infill","level","hal_group",18,-0.160240660619495,-0.146093135296069,1
"infill","prev","hal_group",18,-0.130133079589642,-0.100648591332233,2
"region","level","hal_group",18,-0.191108652917792,-0.138081047558265,2
"region","prev","hal_group",18,-0.227293421913626,-0.163837245389716,4
"infill","level","hal_lasso",18,-0.121884087028649,-0.114418961042816,2
"infill","prev","hal_lasso",18,-0.163463811074755,-0.146055388258,2
"region","level","hal_lasso",18,-0.182572905823446,-0.184637122239692,4
"region","prev","hal_lasso",18,-0.236622774618734,-0.244625565860455,5
"infill","level","hapc_lasso_xy",18,-0.026729816189541,-0.0106032777786923,5
"infill","prev","hapc_lasso_xy",18,-0.0232034886978563,-0.0312922768854469,4
"region","level","hapc_lasso_xy",18,-0.0266380000660159,-0.0136567736872168,6
"region","prev","hapc_lasso_xy",18,-0.0655334260877986,-0.0280258343392412,4
"infill","level","hapc_xy_only",18,-0.0314192708731838,-0.0705081449224744,7
"infill","prev","hapc_xy_only",18,-0.0463484220773846,-0.0601236851695839,5
"region","level","hapc_xy_only",18,-0.0590785559196014,-0.0212624846074367,6
"region","prev","hapc_xy_only",18,-0.10267108269459,-0.101963386465453,5
"infill","level","spatial",18,-0.00534601294031395,-0.0495783207831682,6
"infill","prev","spatial",18,-0.013621212755022,-0.0539679139856055,7
"region","level","spatial",18,-0.00373976475103389,-0.00920214774348906,9
"region","prev","spatial",18,-0.0372475463515642,-0.0459028073819079,5
"infill","level","spatial_plus_domain",18,-0.00256865551091558,-0.033643190832445,6
"infill","prev","spatial_plus_domain",18,-0.0111937216409572,-0.0449544248064956,7
"region","level","spatial_plus_domain",18,0.00339675852579489,0.00440079597214618,10
"region","prev","spatial_plus_domain",18,-0.0371026936936478,-0.0459028073819079,6
