"target","outcome","country","set","n_units","spearman","capture","thin"
"level","child_vitA","Gambia","full",6,1,0.216341566745107,TRUE
"level","child_vitA","Ghana","full",16,0.573529411764706,0.281873499479778,FALSE
"level","child_vitA","Malawi","full",27,0.56043956043956,0.158309785241804,FALSE
"level","child_vitA","SierraLeone","full",4,-0.4,0.368626977150081,TRUE
"level","child_vitA","Gambia","climate_soil",6,0.885714285714286,0.231353510432991,TRUE
"level","child_vitA","Ghana","climate_soil",16,0.405882352941176,0.287498072947827,FALSE
"level","child_vitA","Malawi","climate_soil",27,0.266178266178266,0.0484636840056241,FALSE
"level","child_vitA","SierraLeone","climate_soil",4,0.4,0.207949393478822,TRUE
"level","child_vitA","Gambia","csa",6,0.771428571428571,0.231353510432991,TRUE
"level","child_vitA","Ghana","csa",16,0.382352941176471,0.287498072947827,FALSE
"level","child_vitA","Malawi","csa",27,0.213064713064713,0.0565113762136345,FALSE
"level","child_vitA","SierraLeone","csa",4,0,0.368626977150081,TRUE
"level","women_vitA","Gambia","full",6,0.771428571428571,0.25824652563334,TRUE
"level","women_vitA","Ghana","full",16,0.635294117647059,0.391587905199683,FALSE
"level","women_vitA","Malawi","full",27,0.237484737484737,0.552393696958313,FALSE
"level","women_vitA","SierraLeone","full",4,-0.4,0.439769810928643,TRUE
"level","women_vitA","Gambia","climate_soil",6,0.885714285714286,0.25824652563334,TRUE
"level","women_vitA","Ghana","climate_soil",16,0.55,0.493615388606536,FALSE
"level","women_vitA","Malawi","climate_soil",27,0.175213675213675,0.132604789525332,FALSE
"level","women_vitA","SierraLeone","climate_soil",4,0.4,0.205783269379843,TRUE
"level","women_vitA","Gambia","csa",6,0.885714285714286,0.25824652563334,TRUE
"level","women_vitA","Ghana","csa",16,0.564705882352941,0.253991196516089,FALSE
"level","women_vitA","Malawi","csa",27,0.0921855921855922,0.109394799874653,FALSE
"level","women_vitA","SierraLeone","csa",4,0.2,0.439769810928643,TRUE
"level","child_iron","Gambia","full",6,0.714285714285714,0.135690616269591,TRUE
"level","child_iron","Ghana","full",16,0.838235294117647,0.353598286155488,FALSE
"level","child_iron","Malawi","full",27,0.134920634920635,0.258401444279659,FALSE
"level","child_iron","SierraLeone","full",4,-0.6,0.360006383884317,TRUE
"level","child_iron","Gambia","climate_soil",6,0.6,0.136714052295324,TRUE
"level","child_iron","Ghana","climate_soil",16,0.702941176470588,0.253402430901172,FALSE
"level","child_iron","Malawi","climate_soil",27,0.175824175824176,0.241204536842407,FALSE
"level","child_iron","SierraLeone","climate_soil",4,0.2,0.360006383884317,TRUE
"level","child_iron","Gambia","csa",6,0.6,0.136714052295324,TRUE
"level","child_iron","Ghana","csa",16,0.717647058823529,0.468481765491757,FALSE
"level","child_iron","Malawi","csa",27,0.157509157509158,0.190475881542755,FALSE
"level","child_iron","SierraLeone","csa",4,0.2,0.360006383884317,TRUE
"level","women_iron","Gambia","full",6,0.542857142857143,0.148475843921182,TRUE
"level","women_iron","Ghana","full",16,0.679411764705882,0.283069997503029,FALSE
"level","women_iron","Malawi","full",27,0.191086691086691,0.176232576255829,FALSE
"level","women_iron","SierraLeone","full",4,0,0.331867704507271,TRUE
"level","women_iron","Gambia","climate_soil",6,0.657142857142857,0.16134892930342,TRUE
"level","women_iron","Ghana","climate_soil",16,0.594117647058824,0.339683646270969,FALSE
"level","women_iron","Malawi","climate_soil",27,0.517704517704518,0.194562483312934,FALSE
"level","women_iron","SierraLeone","climate_soil",4,0.8,0.206463343235829,TRUE
"level","women_iron","Gambia","csa",6,0.657142857142857,0.16134892930342,TRUE
"level","women_iron","Ghana","csa",16,0.594117647058824,0.339683646270969,FALSE
"level","women_iron","Malawi","csa",27,0.398046398046398,0.151342222209828,FALSE
"level","women_iron","SierraLeone","csa",4,0.8,0.206463343235829,TRUE
"level","women_folate","Ghana","full",16,0.114705882352941,0.17234347694876,FALSE
"level","women_folate","Malawi","full",27,0.251526251526252,0.13138306272097,FALSE
"level","women_folate","SierraLeone","full",4,-0.8,0.326791271018447,TRUE
"level","women_folate","Ghana","climate_soil",16,-0.0735294117647059,0.317811334181063,FALSE
"level","women_folate","Malawi","climate_soil",27,0.315628815628816,0.121592133244378,FALSE
"level","women_folate","SierraLeone","climate_soil",4,-0.6,0.188681213674711,TRUE
"level","women_folate","Ghana","csa",16,-0.0588235294117647,0.312520171965052,FALSE
"level","women_folate","Malawi","csa",27,0.329059829059829,0.210123076552778,FALSE
"level","women_folate","SierraLeone","csa",4,-0.8,0.188681213674711,TRUE
"level","women_b12","Ghana","full",16,0.623529411764706,0.155473598193653,FALSE
"level","women_b12","Malawi","full",27,0.268009768009768,0.201950393719816,FALSE
"level","women_b12","SierraLeone","full",4,0.8,0.200005732418677,TRUE
"level","women_b12","Ghana","climate_soil",16,0.661764705882353,0.155473598193653,FALSE
"level","women_b12","Malawi","climate_soil",27,0.736874236874237,0.647626248826475,FALSE
"level","women_b12","SierraLeone","climate_soil",4,0.8,0.200005732418677,TRUE
"level","women_b12","Ghana","csa",16,0.658823529411765,0.155473598193653,FALSE
"level","women_b12","Malawi","csa",27,0.605616605616606,0.721537905851799,FALSE
"level","women_b12","SierraLeone","csa",4,0.8,0.200005732418677,TRUE
"prev","child_vitA","Gambia","full",6,0.885714285714286,0.216341566745107,TRUE
"prev","child_vitA","Ghana","full",16,0.664705882352941,0.281873499479778,FALSE
"prev","child_vitA","Malawi","full",27,0.144405435967277,0.228293659484568,FALSE
"prev","child_vitA","SierraLeone","full",4,0.4,0.368626977150081,TRUE
"prev","child_vitA","Gambia","climate_soil",6,0.885714285714286,0.231353510432991,TRUE
"prev","child_vitA","Ghana","climate_soil",16,0.5,0.281873499479778,FALSE
"prev","child_vitA","Malawi","climate_soil",27,0.118760495964632,0.259268702373563,FALSE
"prev","child_vitA","SierraLeone","climate_soil",4,0.6,0.207949393478822,TRUE
"prev","child_vitA","Gambia","csa",6,0.828571428571429,0.231353510432991,TRUE
"prev","child_vitA","Ghana","csa",16,0.432352941176471,0.131474091435251,FALSE
"prev","child_vitA","Malawi","csa",27,-0.0399938945279351,0.0952093506451913,FALSE
"prev","child_vitA","SierraLeone","csa",4,0.8,0.368626977150081,TRUE
"prev","women_vitA","Gambia","full",6,0.828571428571429,0.25824652563334,TRUE
"prev","women_vitA","Ghana","full",16,0.669329147950114,0.253991196516089,FALSE
"prev","women_vitA","Malawi","full",27,0.19655979876214,0.476461039771148,FALSE
"prev","women_vitA","SierraLeone","full",4,0.4,0.439769810928643,TRUE
"prev","women_vitA","Gambia","climate_soil",6,0.771428571428571,0.25824652563334,TRUE
"prev","women_vitA","Ghana","climate_soil",16,0.586430583754458,0.499549703428621,FALSE
"prev","women_vitA","Malawi","climate_soil",27,0.205718499062885,0.132604789525332,FALSE
"prev","women_vitA","SierraLeone","climate_soil",4,0.8,0.439769810928643,TRUE
"prev","women_vitA","Gambia","csa",6,0.771428571428571,0.25824652563334,TRUE
"prev","women_vitA","Ghana","csa",16,0.614063438486343,0.253991196516089,FALSE
"prev","women_vitA","Malawi","csa",27,0.224035899664375,0.109394799874653,FALSE
"prev","women_vitA","SierraLeone","csa",4,0.4,0.439769810928643,TRUE
"prev","child_iron","Gambia","full",6,0.771428571428571,0.135690616269591,TRUE
"prev","child_iron","Ghana","full",16,0.691176470588235,0.314963151154186,FALSE
"prev","child_iron","Malawi","full",27,0.0982905982905983,0.250585998657331,FALSE
"prev","child_iron","SierraLeone","full",4,0,0.360006383884317,TRUE
"prev","child_iron","Gambia","climate_soil",6,0.771428571428571,0.135690616269591,TRUE
"prev","child_iron","Ghana","climate_soil",16,0.617647058823529,0.253402430901172,FALSE
"prev","child_iron","Malawi","climate_soil",27,0.133699633699634,0.241204536842407,FALSE
"prev","child_iron","SierraLeone","climate_soil",4,0.4,0.360006383884317,TRUE
"prev","child_iron","Gambia","csa",6,0.771428571428571,0.135690616269591,TRUE
"prev","child_iron","Ghana","csa",16,0.647058823529412,0.253402430901172,FALSE
"prev","child_iron","Malawi","csa",27,0.145909645909646,0.169086429585855,FALSE
"prev","child_iron","SierraLeone","csa",4,0.4,0.360006383884317,TRUE
"prev","women_iron","Gambia","full",6,0.771428571428571,0.148475843921182,TRUE
"prev","women_iron","Ghana","full",16,0.484179674862577,0.283069997503029,FALSE
"prev","women_iron","Malawi","full",27,-0.0152625152625153,0.0914757938280123,FALSE
"prev","women_iron","SierraLeone","full",4,0.2,0.331867704507271,TRUE
"prev","women_iron","Gambia","climate_soil",6,0.657142857142857,0.16134892930342,TRUE
"prev","women_iron","Ghana","climate_soil",16,0.61663004184626,0.339683646270969,FALSE
"prev","women_iron","Malawi","climate_soil",27,0.0372405372405372,0.203208912899776,FALSE
"prev","women_iron","SierraLeone","climate_soil",4,0.4,0.206463343235829,TRUE
"prev","women_iron","Gambia","csa",6,0.771428571428571,0.16134892930342,TRUE
"prev","women_iron","Ghana","csa",16,0.67255353012826,0.464028969923989,FALSE
"prev","women_iron","Malawi","csa",27,0.00549450549450549,0.168383966337296,FALSE
"prev","women_iron","SierraLeone","csa",4,0.4,0.206463343235829,TRUE
"prev","women_folate","Ghana","full",16,0.382352941176471,0.147188332982767,FALSE
"prev","women_folate","Malawi","full",27,0.337202262061076,0.206262943544373,FALSE
"prev","women_folate","SierraLeone","full",4,0,0.326791271018447,TRUE
