"scheme","target","outcome","country","n_units","spearman","thin"
"pop_both","level","child_vitA","Gambia",6,0.771428571428571,TRUE
"pop_both","level","child_vitA","Ghana",16,0.511764705882353,FALSE
"pop_both","level","child_vitA","Malawi",27,0.462148962148962,FALSE
"pop_both","level","child_vitA","SierraLeone",4,0,TRUE
"pop_both","level","women_vitA","Gambia",6,0.6,TRUE
"pop_both","level","women_vitA","Ghana",16,0.5,FALSE
"pop_both","level","women_vitA","Malawi",27,0.212454212454212,FALSE
"pop_both","level","women_vitA","SierraLeone",4,-0.4,TRUE
"pop_both","level","child_iron","Gambia",6,0.942857142857143,TRUE
"pop_both","level","child_iron","Ghana",16,0.7,FALSE
"pop_both","level","child_iron","Malawi",27,0.0115995115995116,FALSE
"pop_both","level","child_iron","SierraLeone",4,0.2,TRUE
"pop_both","level","women_iron","Gambia",6,0.257142857142857,TRUE
"pop_both","level","women_iron","Ghana",16,0.164705882352941,FALSE
"pop_both","level","women_iron","Malawi",27,0.131868131868132,FALSE
"pop_both","level","women_iron","SierraLeone",4,-0.4,TRUE
"pop_both","level","women_folate","Ghana",16,-0.00294117647058824,FALSE
"pop_both","level","women_folate","Malawi",27,-0.0525030525030525,FALSE
"pop_both","level","women_folate","SierraLeone",4,-0.6,TRUE
"pop_both","level","women_b12","Ghana",16,0.661764705882353,FALSE
"pop_both","level","women_b12","Malawi",27,0.26984126984127,FALSE
"pop_both","level","women_b12","SierraLeone",4,0.8,TRUE
"pop_both","prev","child_vitA","Gambia",6,0.771428571428571,TRUE
"pop_both","prev","child_vitA","Ghana",16,0.458823529411765,FALSE
"pop_both","prev","child_vitA","Malawi",27,0.452611792736204,FALSE
"pop_both","prev","child_vitA","SierraLeone",4,0.4,TRUE
"pop_both","prev","women_vitA","Gambia",6,0.485714285714286,TRUE
"pop_both","prev","women_vitA","Ghana",16,0.0800279249028105,FALSE
"pop_both","prev","women_vitA","Malawi",27,0.122299897617557,FALSE
"pop_both","prev","women_vitA","SierraLeone",4,0.4,TRUE
"pop_both","prev","child_iron","Gambia",6,0.942857142857143,TRUE
"pop_both","prev","child_iron","Ghana",16,0.579411764705882,FALSE
"pop_both","prev","child_iron","Malawi",27,-0.0195360195360195,FALSE
"pop_both","prev","child_iron","SierraLeone",4,0.8,TRUE
"pop_both","prev","women_iron","Gambia",6,0.885714285714286,TRUE
"pop_both","prev","women_iron","Ghana",16,0.151582086659104,FALSE
"pop_both","prev","women_iron","Malawi",27,0.101343101343101,FALSE
"pop_both","prev","women_iron","SierraLeone",4,-0.2,TRUE
"pop_both","prev","women_folate","Ghana",16,-0.138235294117647,FALSE
"pop_both","prev","women_folate","Malawi",27,0.123396479957133,FALSE
"pop_both","prev","women_folate","SierraLeone",4,-0.6,TRUE
"pop_both","prev","women_b12","Ghana",16,-0.182227221665883,FALSE
"pop_both","prev","women_b12","Malawi",27,-0.0766916873211908,FALSE
"pop_both","prev","women_b12","SierraLeone",4,-0.4,TRUE
