"country","analysis","target","arm","estimand","spearman","n_units"
"Gambia","descriptive","p_low","salt_share_iodised","district_correlation",-0.479884600008074,27
"Gambia","descriptive","p_low","salt_ppm","district_correlation",-0.156288156288156,27
"SierraLeone","descriptive","p_low","salt_share_iodised","district_correlation",-0.767032967032967,14
"SierraLeone","descriptive","p_low","salt_ppm","district_correlation",-0.660066406020837,14
"Gambia","protocol","p_low","null_train_mean","infill",-0.308066862763855,27
"Gambia","protocol","p_low","region_mean_jk","infill",0.333868414215729,27
"Gambia","protocol","p_low","spatial","infill",0.309523809523809,27
"Gambia","protocol","p_low","domain_index","infill",0.36019536019536,27
"Gambia","protocol","p_low","spatial_plus_domain","infill",0.308302808302808,27
"Gambia","protocol","p_low","null_train_mean","region",-0.550021251148426,27
"Gambia","protocol","p_low","spatial","region",0.504273504273504,27
"Gambia","protocol","p_low","domain_index","region",0.481074481074481,27
"Gambia","protocol","p_low","spatial_plus_domain","region",0.457875457875458,27
"Gambia","protocol","log_uic","null_train_mean","infill",-0.294049664761455,27
"Gambia","protocol","log_uic","region_mean_jk","infill",0.352965806256695,27
"Gambia","protocol","log_uic","spatial","infill",0.265873015873016,27
"Gambia","protocol","log_uic","domain_index","infill",0.471001221001221,27
"Gambia","protocol","log_uic","spatial_plus_domain","infill",0.314713064713065,27
"Gambia","protocol","log_uic","null_train_mean","region",-0.598863636007194,27
"Gambia","protocol","log_uic","spatial","region",0.273504273504273,27
"Gambia","protocol","log_uic","domain_index","region",0.496947496947497,27
"Gambia","protocol","log_uic","spatial_plus_domain","region",0.225274725274725,27
"SierraLeone","protocol","p_low","null_train_mean","region",-0.338556668045041,14
"SierraLeone","protocol","p_low","spatial","region",-0.349578475887297,14
"SierraLeone","protocol","p_low","domain_index","region",0.248351648351648,14
"SierraLeone","protocol","p_low","spatial_plus_domain","region",-0.326730209489435,14
