"target","outcome","heldout","source","variant","n_cols","spearman"
"level","child_vitA","Malawi","WFP prices","drop",378,0.173288619960633
"level","child_vitA","Malawi","WFP prices","only",4,0.00931326091711015
"level","child_vitA","SierraLeone","WFP prices","drop",378,0.0637362637362637
"level","child_vitA","SierraLeone","WFP prices","only",4,-0.345054945054945
"level","women_vitA","Gambia","ALL","full",382,0.749054505005562
"level","women_vitA","Ghana","ALL","full",382,0.272091038406828
"level","women_vitA","Malawi","ALL","full",382,0.214879346795947
"level","women_vitA","SierraLeone","ALL","full",382,-0.0197802197802198
"level","women_vitA","Gambia","GEE","drop",306,0.673414905450501
"level","women_vitA","Gambia","GEE","only",76,0.701001112347052
"level","women_vitA","Ghana","GEE","drop",306,0.237951635846373
"level","women_vitA","Ghana","GEE","only",76,0.373314366998577
"level","women_vitA","Malawi","GEE","drop",306,0.127250856601298
"level","women_vitA","Malawi","GEE","only",76,0.297896770430852
"level","women_vitA","SierraLeone","GEE","drop",306,0.0989010989010989
"level","women_vitA","SierraLeone","GEE","only",76,-0.248351648351648
"level","women_vitA","Gambia","AlphaEarth","drop",318,0.731701890989989
"level","women_vitA","Gambia","AlphaEarth","only",64,0.367741935483871
"level","women_vitA","Ghana","AlphaEarth","drop",318,0.270156472261735
"level","women_vitA","Ghana","AlphaEarth","only",64,0.26398293029872
"level","women_vitA","Malawi","AlphaEarth","drop",318,0.21240067070059
"level","women_vitA","Malawi","AlphaEarth","only",64,0.222370051760589
"level","women_vitA","SierraLeone","AlphaEarth","drop",318,-0.147252747252747
"level","women_vitA","SierraLeone","AlphaEarth","only",64,0.0153846153846154
"level","women_vitA","Gambia","DHS","drop",244,0.740600667408231
"level","women_vitA","Gambia","DHS","only",138,0.544827586206897
"level","women_vitA","Ghana","DHS","drop",244,0.361081081081081
"level","women_vitA","Ghana","DHS","only",138,0.157806002117356
"level","women_vitA","Malawi","DHS","drop",244,0.172559597579646
"level","women_vitA","Malawi","DHS","only",138,0.136345410804112
"level","women_vitA","SierraLeone","DHS","drop",244,-0.0989010989010989
"level","women_vitA","SierraLeone","DHS","only",138,-0.0549450549450549
"level","women_vitA","Gambia","SoilGrids/iSDA","drop",337,0.728142380422692
"level","women_vitA","Gambia","SoilGrids/iSDA","only",45,0.676084538375973
"level","women_vitA","Ghana","SoilGrids/iSDA","drop",337,0.230611664295875
"level","women_vitA","Ghana","SoilGrids/iSDA","only",45,0.366543385490754
"level","women_vitA","Malawi","SoilGrids/iSDA","drop",337,0.246701173726033
"level","women_vitA","Malawi","SoilGrids/iSDA","only",45,0.0536195961216009
"level","women_vitA","SierraLeone","SoilGrids/iSDA","drop",337,-0.147252747252747
"level","women_vitA","SierraLeone","SoilGrids/iSDA","only",45,0.49010989010989
"level","women_vitA","Gambia","MapSPAM","drop",370,0.741490545050056
"level","women_vitA","Gambia","MapSPAM","only",12,0.232035595105673
"level","women_vitA","Ghana","MapSPAM","drop",370,0.265007112375533
"level","women_vitA","Ghana","MapSPAM","only",12,-0.00705723352720303
"level","women_vitA","Malawi","MapSPAM","drop",370,0.234417146606401
"level","women_vitA","Malawi","MapSPAM","only",12,-0.0179641539491615
"level","women_vitA","SierraLeone","MapSPAM","drop",370,-0.0725274725274725
"level","women_vitA","SierraLeone","MapSPAM","only",12,0.454945054945055
"level","women_vitA","Gambia","Malaria Atlas","drop",359,0.753948832035595
"level","women_vitA","Gambia","Malaria Atlas","only",23,0.169299221357063
"level","women_vitA","Ghana","Malaria Atlas","drop",359,0.255192034139403
"level","women_vitA","Ghana","Malaria Atlas","only",23,0.194594594594595
"level","women_vitA","Malawi","Malaria Atlas","drop",359,0.204417875628782
"level","women_vitA","Malawi","Malaria Atlas","only",23,-0.070168404170008
"level","women_vitA","SierraLeone","Malaria Atlas","drop",359,-0.0549450549450549
"level","women_vitA","SierraLeone","Malaria Atlas","only",23,-0.0549450549450549
"level","women_vitA","Gambia","IHME","drop",381,0.749944382647386
"level","women_vitA","Gambia","IHME","only",1,NA
"level","women_vitA","Ghana","IHME","drop",381,0.274110953058321
"level","women_vitA","Ghana","IHME","only",1,NA
"level","women_vitA","Malawi","IHME","drop",381,0.213239046438726
"level","women_vitA","Malawi","IHME","only",1,NA
"level","women_vitA","SierraLeone","IHME","drop",381,-0.0725274725274725
"level","women_vitA","SierraLeone","IHME","only",1,NA
"level","women_vitA","Gambia","WorldPop/GHS","drop",368,0.757953281423804
"level","women_vitA","Gambia","WorldPop/GHS","only",14,-0.510567296996663
"level","women_vitA","Ghana","WorldPop/GHS","drop",368,0.270924608819346
"level","women_vitA","Ghana","WorldPop/GHS","only",14,0.260056899004267
"level","women_vitA","Malawi","WorldPop/GHS","drop",368,0.20706058175986
"level","women_vitA","Malawi","WorldPop/GHS","only",14,-0.0301450754538164
"level","women_vitA","SierraLeone","WorldPop/GHS","drop",368,-0.0021978021978022
"level","women_vitA","SierraLeone","WorldPop/GHS","only",14,-0.415384615384615
"level","women_vitA","Gambia","Koppen/AEZ","drop",377,0.761067853170189
"level","women_vitA","Gambia","Koppen/AEZ","only",5,-0.243159287330831
"level","women_vitA","Ghana","Koppen/AEZ","drop",377,0.270611664295875
"level","women_vitA","Ghana","Koppen/AEZ","only",5,0.248244098359347
"level","women_vitA","Malawi","Koppen/AEZ","drop",377,0.21216373842677
"level","women_vitA","Malawi","Koppen/AEZ","only",5,0.0423356465623263
"level","women_vitA","SierraLeone","Koppen/AEZ","drop",377,-0.0241758241758242
"level","women_vitA","SierraLeone","Koppen/AEZ","only",5,-0.152319365331029
"level","women_vitA","Gambia","WFP prices","drop",378,0.74460511679644
"level","women_vitA","Gambia","WFP prices","only",4,-0.0335928809788654
"level","women_vitA","Ghana","WFP prices","drop",378,0.270697012802276
"level","women_vitA","Ghana","WFP prices","only",4,0.0653200568990043
"level","women_vitA","Malawi","WFP prices","drop",378,0.212655828533936
"level","women_vitA","Malawi","WFP prices","only",4,-0.00369978858350951
"level","women_vitA","SierraLeone","WFP prices","drop",378,-0.0769230769230769
"level","women_vitA","SierraLeone","WFP prices","only",4,0.0725274725274725
"level","child_iron","Gambia","ALL","full",382,0.469187986651835
"level","child_iron","Ghana","ALL","full",382,0.503442389758179
"level","child_iron","Malawi","ALL","full",382,-0.0377269082160822
"level","child_iron","SierraLeone","ALL","full",382,0.327472527472527
"level","child_iron","Gambia","GEE","drop",306,0.45761957730812
"level","child_iron","Gambia","GEE","only",76,0.307675194660734
"level","child_iron","Ghana","GEE","drop",306,0.492944523470839
"level","child_iron","Ghana","GEE","only",76,0.55923186344239
"level","child_iron","Malawi","GEE","drop",306,-0.0710979077057666
"level","child_iron","Malawi","GEE","only",76,0.0431398993949114
"level","child_iron","SierraLeone","GEE","drop",306,0.38021978021978
"level","child_iron","SierraLeone","GEE","only",76,0.0285714285714286
"level","child_iron","Gambia","AlphaEarth","drop",318,0.533259176863181
"level","child_iron","Gambia","AlphaEarth","only",64,0.19377085650723
"level","child_iron","Ghana","AlphaEarth","drop",318,0.461906116642959
"level","child_iron","Ghana","AlphaEarth","only",64,0.520312944523471
"level","child_iron","Malawi","AlphaEarth","drop",318,-0.0576109936575053
"level","child_iron","Malawi","AlphaEarth","only",64,0.146023182911715
"level","child_iron","SierraLeone","AlphaEarth","drop",318,0.173626373626374
