"target","outcome","heldout","set","n_train_countries","train_set","spearman"
"level","women_vitA","Ghana","full",2,"Malawi+SierraLeone",0.433513513513513
"level","women_vitA","Ghana","climate_soil",2,"Malawi+SierraLeone",0.420568990042674
"level","women_vitA","Ghana","full",3,"Gambia+Malawi+SierraLeone",0.27348506401138
"level","women_vitA","Ghana","climate_soil",3,"Gambia+Malawi+SierraLeone",0.414623044096728
"level","women_vitA","Malawi","full",1,"Gambia",0.139316177006634
"level","women_vitA","Malawi","climate_soil",1,"Gambia",0.240996573594809
"level","women_vitA","Malawi","full",1,"Ghana",0.295490996573595
"level","women_vitA","Malawi","climate_soil",1,"Ghana",0.242964934023474
"level","women_vitA","Malawi","full",2,"Gambia+Ghana",0.215116279069767
"level","women_vitA","Malawi","climate_soil",2,"Gambia+Ghana",0.255212510024058
"level","women_vitA","Malawi","full",2,"Gambia+SierraLeone",0.101133629802435
"level","women_vitA","Malawi","climate_soil",2,"Gambia+SierraLeone",0.198130057592768
"level","women_vitA","Malawi","full",2,"Ghana+SierraLeone",0.268407815119924
"level","women_vitA","Malawi","climate_soil",2,"Ghana+SierraLeone",0.204199168914486
"level","women_vitA","Malawi","full",3,"Gambia+Ghana+SierraLeone",0.207716701902748
"level","women_vitA","Malawi","climate_soil",3,"Gambia+Ghana+SierraLeone",0.223755194284464
"level","women_vitA","SierraLeone","full",1,"Gambia",-0.103296703296703
"level","women_vitA","SierraLeone","climate_soil",1,"Gambia",0.340659340659341
"level","women_vitA","SierraLeone","full",1,"Ghana",-0.0637362637362637
"level","women_vitA","SierraLeone","climate_soil",1,"Ghana",0.397802197802198
"level","women_vitA","SierraLeone","full",1,"Malawi",0.0549450549450549
"level","women_vitA","SierraLeone","climate_soil",1,"Malawi",0.0637362637362637
"level","women_vitA","SierraLeone","full",2,"Gambia+Ghana",-0.103296703296703
"level","women_vitA","SierraLeone","climate_soil",2,"Gambia+Ghana",0.41978021978022
"level","women_vitA","SierraLeone","full",2,"Gambia+Malawi",-0.0417582417582418
"level","women_vitA","SierraLeone","climate_soil",2,"Gambia+Malawi",0.0681318681318681
"level","women_vitA","SierraLeone","full",2,"Ghana+Malawi",-0.032967032967033
"level","women_vitA","SierraLeone","climate_soil",2,"Ghana+Malawi",0.235164835164835
"level","women_vitA","SierraLeone","full",3,"Gambia+Ghana+Malawi",-0.0725274725274725
"level","women_vitA","SierraLeone","climate_soil",3,"Gambia+Ghana+Malawi",0.252747252747253
"level","child_iron","Gambia","full",1,"Ghana",0.581757508342603
"level","child_iron","Gambia","climate_soil",1,"Ghana",0.571078976640712
"level","child_iron","Gambia","full",1,"Malawi",-0.354838709677419
"level","child_iron","Gambia","climate_soil",1,"Malawi",0.352614015572859
"level","child_iron","Gambia","full",2,"Ghana+Malawi",0.466073414905451
"level","child_iron","Gambia","climate_soil",2,"Ghana+Malawi",0.561290322580645
"level","child_iron","Gambia","full",2,"Ghana+SierraLeone",0.587096774193548
"level","child_iron","Gambia","climate_soil",2,"Ghana+SierraLeone",0.5853170189099
"level","child_iron","Gambia","full",2,"Malawi+SierraLeone",-0.333481646273637
"level","child_iron","Gambia","climate_soil",2,"Malawi+SierraLeone",0.446496106785317
"level","child_iron","Gambia","full",3,"Ghana+Malawi+SierraLeone",0.469632925472747
"level","child_iron","Gambia","climate_soil",3,"Ghana+Malawi+SierraLeone",0.550611790878754
"level","child_iron","Ghana","full",1,"Gambia",0.452745376955903
"level","child_iron","Ghana","climate_soil",1,"Gambia",0.525803698435277
"level","child_iron","Ghana","full",1,"Malawi",0.0399715504978663
"level","child_iron","Ghana","climate_soil",1,"Malawi",0.514964438122333
"level","child_iron","Ghana","full",2,"Gambia+Malawi",0.484238975817923
"level","child_iron","Ghana","climate_soil",2,"Gambia+Malawi",0.582901849217639
"level","child_iron","Ghana","full",2,"Gambia+SierraLeone",0.461450924608819
"level","child_iron","Ghana","climate_soil",2,"Gambia+SierraLeone",0.511351351351351
"level","child_iron","Ghana","full",2,"Malawi+SierraLeone",0.167766714082504
"level","child_iron","Ghana","climate_soil",2,"Malawi+SierraLeone",0.488819345661451
"level","child_iron","Ghana","full",3,"Gambia+Malawi+SierraLeone",0.506486486486486
"level","child_iron","Ghana","climate_soil",3,"Gambia+Malawi+SierraLeone",0.560284495021337
"level","child_iron","Malawi","full",1,"Gambia",-0.177972588758475
"level","child_iron","Malawi","climate_soil",1,"Gambia",0.142815484435372
"level","child_iron","Malawi","full",1,"Ghana",0.012940147262521
"level","child_iron","Malawi","climate_soil",1,"Ghana",0.207625574105125
"level","child_iron","Malawi","full",2,"Gambia+Ghana",-0.032313917037253
"level","child_iron","Malawi","climate_soil",2,"Gambia+Ghana",0.194539622366407
"level","child_iron","Malawi","full",2,"Gambia+SierraLeone",-0.131880148720566
"level","child_iron","Malawi","climate_soil",2,"Gambia+SierraLeone",0.119104031493767
"level","child_iron","Malawi","full",2,"Ghana+SierraLeone",-0.0201027921557192
"level","child_iron","Malawi","climate_soil",2,"Ghana+SierraLeone",0.184606692425457
"level","child_iron","Malawi","full",3,"Gambia+Ghana+SierraLeone",-0.0412262156448203
"level","child_iron","Malawi","climate_soil",3,"Gambia+Ghana+SierraLeone",0.190548224830502
"level","child_iron","SierraLeone","full",1,"Gambia",0.23956043956044
"level","child_iron","SierraLeone","climate_soil",1,"Gambia",0.459340659340659
"level","child_iron","SierraLeone","full",1,"Ghana",0.292307692307692
"level","child_iron","SierraLeone","climate_soil",1,"Ghana",0.191208791208791
"level","child_iron","SierraLeone","full",1,"Malawi",-0.186813186813187
"level","child_iron","SierraLeone","climate_soil",1,"Malawi",0.032967032967033
"level","child_iron","SierraLeone","full",2,"Gambia+Ghana",0.23956043956044
"level","child_iron","SierraLeone","climate_soil",2,"Gambia+Ghana",0.27032967032967
"level","child_iron","SierraLeone","full",2,"Gambia+Malawi",0.0417582417582418
"level","child_iron","SierraLeone","climate_soil",2,"Gambia+Malawi",0.279120879120879
"level","child_iron","SierraLeone","full",2,"Ghana+Malawi",0.235164835164835
"level","child_iron","SierraLeone","climate_soil",2,"Ghana+Malawi",0.173626373626374
"level","child_iron","SierraLeone","full",3,"Gambia+Ghana+Malawi",0.318681318681319
"level","child_iron","SierraLeone","climate_soil",3,"Gambia+Ghana+Malawi",0.327472527472527
"level","women_iron","Gambia","full",1,"Ghana",0.224026696329255
"level","women_iron","Gambia","climate_soil",1,"Ghana",0.711234705228031
"level","women_iron","Gambia","full",1,"Malawi",-0.295216907675195
"level","women_iron","Gambia","climate_soil",1,"Malawi",0.503003337041157
"level","women_iron","Gambia","full",2,"Ghana+Malawi",0.22313681868743
"level","women_iron","Gambia","climate_soil",2,"Ghana+Malawi",0.710344827586207
"level","women_iron","Gambia","full",2,"Ghana+SierraLeone",0.242714126807564
"level","women_iron","Gambia","climate_soil",2,"Ghana+SierraLeone",0.701001112347052
"level","women_iron","Gambia","full",2,"Malawi+SierraLeone",-0.259621802002225
"level","women_iron","Gambia","climate_soil",2,"Malawi+SierraLeone",0.540378197997775
"level","women_iron","Gambia","full",3,"Ghana+Malawi+SierraLeone",0.243604004449388
