"domain_set","target","model","outcome_class","arm","shares_population","cells","base_mean","arm_mean","mean_delta","median_delta","cells_up","mean_topk_delta"
"cs_top5","level","domain_enet","folate / B12","all_other",NA,6,0.37232252179494,0.196351842217077,-0.175970679577863,-0.13437004054486,0,-0.0917065390749601
"cs_top5","level","domain_enet","folate / B12","block_only_all",NA,6,0.336457355824257,-0.244130503744483,-0.58058785956874,-0.568762446657183,0,-0.31877990430622
"cs_top5","level","domain_enet","folate / B12","other_samepop",TRUE,6,0.37232252179494,0.24372604899195,-0.128596472802989,-0.096755109365374,0,-0.0251196172248804
"cs_top5","level","domain_enet","folate / B12","other_xpop",FALSE,6,0.37232252179494,0.323464508559473,-0.0488580132354665,-0.0444807965860597,2,-0.0402711323763955
"cs_top5","level","domain_enet","iron / vitA","all_other",NA,16,0.321875983577253,0.415546570421385,0.093670586844132,0.113272006961282,13,0.059061004784689
"cs_top5","level","domain_enet","iron / vitA","block_only_all",NA,16,0.321875983577253,0.452796473011557,0.130920489434304,0.153020983711483,12,0.121561004784689
"cs_top5","level","domain_enet","iron / vitA","block_only_same_nutrient",FALSE,16,NA,NA,NA,NA,0,-0.224319677033493
"cs_top5","level","domain_enet","iron / vitA","other_samepop",TRUE,16,0.321875983577253,0.302063656723269,-0.019812326853984,-0.0135166939083571,4,-0.0348011363636364
"cs_top5","level","domain_enet","iron / vitA","other_xpop",FALSE,16,0.321875983577253,0.331525544609163,0.0096495610319101,0,7,-0.00788726076555024
"cs_top5","level","domain_enet","iron / vitA","same_nutrient",FALSE,16,0.321875983577253,0.432401041903311,0.110525058326057,0.117621238708412,13,0.0734524521531101
"cs_top5","level","domain_index","folate / B12","all_other",NA,6,0.377165174365613,0.319210339187548,-0.0579548351780657,-0.0774590837484941,1,-0.032695374800638
"cs_top5","level","domain_index","folate / B12","block_only_all",NA,6,0.377165174365613,-0.20624132101636,-0.583406495381973,-0.575342660547151,0,-0.192583732057416
"cs_top5","level","domain_index","folate / B12","other_samepop",TRUE,6,0.377165174365613,0.330996599691151,-0.0461685746744625,-0.0484562562201528,2,0.0165470494417863
"cs_top5","level","domain_index","folate / B12","other_xpop",FALSE,6,0.377165174365613,0.381814572990448,0.0046493986248344,-0.00135135135135139,2,-0.0151515151515151
"cs_top5","level","domain_index","iron / vitA","all_other",NA,16,0.428360200319071,0.461947897734054,0.0335876974149831,0.0448923712549964,12,0.0720319976076555
"cs_top5","level","domain_index","iron / vitA","block_only_all",NA,16,0.428360200319071,0.437695535229986,0.00933533491091579,0.0131814889459042,8,0.101674641148325
"cs_top5","level","domain_index","iron / vitA","block_only_same_nutrient",FALSE,16,0.428360200319071,0.454162104847185,0.0258019045281148,0.0447163515016685,11,0.12331788277512
"cs_top5","level","domain_index","iron / vitA","other_samepop",TRUE,16,0.428360200319071,0.425338864251676,-0.00302133606739447,0.00315723052797295,10,0.0247831937799043
"cs_top5","level","domain_index","iron / vitA","other_xpop",FALSE,16,0.428360200319071,0.420671865529132,-0.00768833478993805,-0.000327169274537659,8,0.0222039473684211
"cs_top5","level","domain_index","iron / vitA","same_nutrient",FALSE,16,0.428360200319071,0.465212878398166,0.0368526780790952,0.0446699018445403,14,0.0557715311004785
"cs_top5","prev","domain_enet","folate / B12","all_other",NA,6,0.156543305734003,0.0409710871557376,-0.115572218578265,-0.0591640508341289,1,0.0265151515151515
"cs_top5","prev","domain_enet","folate / B12","block_only_all",NA,6,0.193971410951539,-0.269263909979482,-0.463235320931021,-0.469168396260118,0,-0.0594098883572568
"cs_top5","prev","domain_enet","folate / B12","other_samepop",TRUE,6,0.156543305734003,0.0681731604551131,-0.0883701452788898,0,2,-0.0127591706539075
"cs_top5","prev","domain_enet","folate / B12","other_xpop",FALSE,6,0.156543305734003,0.0759782236587821,-0.0805650820752209,-0.026464556415346,2,-0.0139553429027113
"cs_top5","prev","domain_enet","iron / vitA","all_other",NA,16,0.277854639960887,0.294040006575561,0.019256157892394,0.0308044861162197,8,0.0177930622009569
"cs_top5","prev","domain_enet","iron / vitA","block_only_all",NA,16,0.277854639960887,0.322618799114556,0.034489547949138,-0.0048412610457383,7,0.0838441985645933
