"group","n","n_dated","beta_pm","t_pm","pct_pm","beta_date","t_date","v_district_raw","v_district_adj","v_district_adj_date","v_ta_raw","v_ta_adj","v_cluster_raw","v_cluster_adj","v_cluster_adj_date","v_resid_raw","rho_prev_sharepm_district","rho_lzn_sharepm_district","rho_prev_sharepm_ta","rho_prev_date_district","share_pm_min","share_pm_max"
"child",1086,1086,-0.0355978427721935,-2.02898551991779,-3.49716914343139,0.00736734507655799,2.24042473814036,0,5.10234736122239e-11,0,0,1.70118207446647e-09,0.0132073453068059,0.0129951106686891,0.0123004339625969,0.070216309176876,-0.0506715506715507,-0.0958485958485958,-0.139966911052145,-0.209867175911633,0.136363636363636,0.925925925925926
"sac",765,765,-0.0754999848584461,-3.28508499770585,-7.27202554255451,0.0129317010709556,3.31293954938856,0.00270551466620307,0.00287044443515729,0.000902780505511651,0.0061309197473263,0.00556818084565229,0.00907420095307231,0.00935730150578589,0.0134685849508229,0.0776623869985468,-0.235258183910549,0.059865618989104,-0.0326417640799875,-0.0316417130939587,0,0.761904761904762
"women",813,8,-0.0570533899219652,-3.0381508642989,-5.54563610908779,NA,NA,0.0018808580502507,0.00247074211917905,0.00247074211917905,0.0043008747238374,0.00422925544252706,0.0105772624353342,0.0108369865037075,0.0108369865037075,0.0585804309171115,-0.438215981895056,0.443053455768473,-0.326594158186085,NA,0.241379310344828,0.777777777777778
