"estimand","arm","cells","mean_capture","median_capture","mean_lift","cells_lift_gt1","mean_prev_top20","mean_prev_national","mean_concordance","median_concordance"
"country","domain_index",22,0.209,0.171,1.043,10,22.4,19,0.546,0.575
"infill","oracle_ceiling",24,0.475,0.427,2.375,21,41.3,22.9,1,1
"infill","domain_index",24,0.219,0.223,1.097,11,32.2,24.3,0.598,0.601
"infill","region_mean_jk",24,0.203,0.184,1.017,8,30.1,24.3,0.555,0.588
"infill","spatial_plus_domain",24,0.2,0.199,0.998,9,30.1,24.3,0.593,0.635
"infill","spatial",24,0.198,0.195,0.989,7,30,24.3,0.591,0.635
"infill","null_train_mean",24,0.136,0.142,0.68,1,20.5,24.3,0.376,0.409
