"outcome","country","rank_from","set","fraction","rep","design","n_units","n_raw_total","n_eff_total","rho_train","rho_obs","mae","spearman","capture"
"child_vitA","Gambia","prev","full",0.05,10,"A1_anchor_rank",30,1020,656.8,0.264,0.654,9.06560890714616,0.654193608188174,0.179524522388755
"child_vitA","Gambia","prev","full",0.05,10,"A2_region_anchor_rank",30,1020,656.8,0.264,0.654,17.6223023629496,-0.391135163765214,0.0777464265750897
"child_vitA","Gambia","prev","full",0.05,10,"B_district_survey",30,1020,656.8,0.264,0.654,13.2120957914389,0.524410235399771,0.342904611152951
"child_vitA","Gambia","prev","full",0.05,10,"C_regional_survey",30,1020,656.8,0.264,0.654,17.4573333355952,-0.407612752999669,0.0777464265750897
"child_vitA","Gambia","prev","full",0.05,11,"A1_anchor_rank",30,1020,656.8,0.264,0.654,12.0636063245932,0.654193608188174,0.179524522388755
"child_vitA","Gambia","prev","full",0.05,11,"A2_region_anchor_rank",30,1020,656.8,0.264,0.654,10.3522866854339,0.347032223887359,0.108503116258183
"child_vitA","Gambia","prev","full",0.05,11,"B_district_survey",30,1020,656.8,0.264,0.654,23.9431822661923,0.241379685955827,0.170513361877023
"child_vitA","Gambia","prev","full",0.05,11,"C_regional_survey",30,1020,656.8,0.264,0.654,10.4009549592744,0.422154122114484,0.152561034901834
"child_vitA","Gambia","prev","full",0.05,12,"A1_anchor_rank",30,1020,656.8,0.264,0.654,9.00693505200645,0.654193608188174,0.179524522388755
"child_vitA","Gambia","prev","full",0.05,12,"A2_region_anchor_rank",30,1020,656.8,0.264,0.654,13.8858995943142,0.653302639705793,0.26856381374675
"child_vitA","Gambia","prev","full",0.05,12,"B_district_survey",30,1020,656.8,0.264,0.654,22.9072448309692,0.534021760000077,0.0891065830844071
"child_vitA","Gambia","prev","full",0.05,12,"C_regional_survey",30,1020,656.8,0.264,0.654,13.9291402925266,0.644364418900257,0.306011767200004
"child_vitA","Gambia","prev","full",0.05,13,"A1_anchor_rank",30,1020,656.8,0.264,0.654,8.90340889287638,0.654193608188174,0.179524522388755
"child_vitA","Gambia","prev","full",0.05,13,"A2_region_anchor_rank",30,1020,656.8,0.264,0.654,14.5650631199969,0.536585768513895,0.190316660826194
"child_vitA","Gambia","prev","full",0.05,13,"B_district_survey",30,1020,656.8,0.264,0.654,22.5144568313445,0.425132772490834,0.17180563336711
"child_vitA","Gambia","prev","full",0.05,13,"C_regional_survey",30,1020,656.8,0.264,0.654,14.6333593091155,0.51303767908208,0.152561034901834
"child_vitA","Gambia","prev","full",0.05,14,"A1_anchor_rank",30,1020,656.8,0.264,0.654,9.7245033582863,0.654193608188174,0.179524522388755
"child_vitA","Gambia","prev","full",0.05,14,"A2_region_anchor_rank",30,1020,656.8,0.264,0.654,12.191771887083,0.36752449898212,0.190316660826194
"child_vitA","Gambia","prev","full",0.05,14,"B_district_survey",30,1020,656.8,0.264,0.654,22.1508517513627,0.530164721600875,0.162892091129213
"child_vitA","Gambia","prev","full",0.05,14,"C_regional_survey",30,1020,656.8,0.264,0.654,11.9731492339622,0.319378578151354,0.152561034901834
"child_vitA","Gambia","prev","full",0.05,15,"A1_anchor_rank",30,1020,656.8,0.264,0.654,10.2000015450751,0.654193608188174,0.179524522388755
"child_vitA","Gambia","prev","full",0.05,15,"A2_region_anchor_rank",30,1020,656.8,0.264,0.654,17.2755297212194,0.17351611194368,0.116730128705746
"child_vitA","Gambia","prev","full",0.05,15,"B_district_survey",30,1020,656.8,0.264,0.654,22.1317625665781,0.364287730073377,0.13789576033657
"child_vitA","Gambia","prev","full",0.05,15,"C_regional_survey",30,1020,656.8,0.264,0.654,17.3871762370149,0.160863895832645,0.203483232932287
"child_vitA","Gambia","prev","full",0.05,16,"A1_anchor_rank",30,1020,656.8,0.264,0.654,8.91775046953824,0.654193608188174,0.179524522388755
"child_vitA","Gambia","prev","full",0.05,16,"A2_region_anchor_rank",30,1020,656.8,0.264,0.654,8.90811891012903,0.553736911799728,0.190316660826194
"child_vitA","Gambia","prev","full",0.05,16,"B_district_survey",30,1020,656.8,0.264,0.654,21.9199779052822,0.678900170547943,0.186121832831921
"child_vitA","Gambia","prev","full",0.05,16,"C_regional_survey",30,1020,656.8,0.264,0.654,8.65933709677334,0.558933875350716,0.152561034901834
"child_vitA","Gambia","prev","full",0.05,17,"A1_anchor_rank",30,1020,656.8,0.264,0.654,11.0676492484178,0.654193608188174,0.179524522388755
"child_vitA","Gambia","prev","full",0.05,17,"A2_region_anchor_rank",30,1020,656.8,0.264,0.654,10.8857413691681,0.391357905885809,0.190316660826194
"child_vitA","Gambia","prev","full",0.05,17,"B_district_survey",30,1020,656.8,0.264,0.654,20.9276021329032,0.267850542800647,0.129009590938699
"child_vitA","Gambia","prev","full",0.05,17,"C_regional_survey",30,1020,656.8,0.264,0.654,11.0383981939306,0.406251394863519,0.152561034901834
"child_vitA","Gambia","prev","full",0.05,18,"A1_anchor_rank",30,1020,656.8,0.264,0.654,10.747043395459,0.654193608188174,0.179524522388755
"child_vitA","Gambia","prev","full",0.05,18,"A2_region_anchor_rank",30,1020,656.8,0.264,0.654,10.0883241814437,0.62545987463139,0.169433812048323
"child_vitA","Gambia","prev","full",0.05,18,"B_district_survey",30,1020,656.8,0.264,0.654,20.2493374446236,0.604812088937284,0.294953124776675
"child_vitA","Gambia","prev","full",0.05,18,"C_regional_survey",30,1020,656.8,0.264,0.654,10.1479091792437,0.55246894725046,0.232457604712796
"child_vitA","Gambia","prev","full",0.05,19,"A1_anchor_rank",30,1020,656.8,0.264,0.654,9.03656955878682,0.654193608188174,0.179524522388755
"child_vitA","Gambia","prev","full",0.05,19,"A2_region_anchor_rank",30,1020,656.8,0.264,0.654,15.3438362191585,0.284887172241292,0.250670763758896
"child_vitA","Gambia","prev","full",0.05,19,"B_district_survey",30,1020,656.8,0.264,0.654,15.4285288059188,0.305912494404194,0.0763674306039459
"child_vitA","Gambia","prev","full",0.05,19,"C_regional_survey",30,1020,656.8,0.264,0.654,15.5644292769576,0.279661700345146,0.250670763758896
"child_vitA","Gambia","prev","full",0.05,20,"A1_anchor_rank",30,1020,656.8,0.264,0.654,9.98545676500722,0.654193608188174,0.179524522388755
"child_vitA","Gambia","prev","full",0.05,20,"A2_region_anchor_rank",30,1020,656.8,0.264,0.654,11.4783735307863,0.443256819984496,0.0794435419189066
"child_vitA","Gambia","prev","full",0.05,20,"B_district_survey",30,1020,656.8,0.264,0.654,20.5558935967138,0.357507628256931,0.154346755316177
"child_vitA","Gambia","prev","full",0.05,20,"C_regional_survey",30,1020,656.8,0.264,0.654,11.3420767506163,0.48395494085245,0.11689149537216
