"target","outcome","heldout","arm","n_train_countries","train_set","n_train_areas","n_areas","spearman","topk"
"level","women_vitA","Gambia","domain_index",2,"Ghana+Malawi",162,30,0.759288097886541,0.5
"level","women_vitA","Gambia","domain_enet",2,"Ghana+Malawi",162,30,0.660956618464961,0.5
"level","women_vitA","Gambia","domain_index",2,"Ghana+SierraLeone",89,30,0.756618464961068,0.625
"level","women_vitA","Gambia","domain_enet",2,"Ghana+SierraLeone",89,30,0.787764182424917,0.625
"level","women_vitA","Gambia","domain_index",2,"Malawi+SierraLeone",101,30,0.672525027808676,0.5
"level","women_vitA","Gambia","domain_enet",2,"Malawi+SierraLeone",101,30,0.513236929922136,0.5
"level","women_vitA","Gambia","domain_index",3,"Ghana+Malawi+SierraLeone",176,30,0.760177975528365,0.5
"level","women_vitA","Gambia","domain_enet",3,"Ghana+Malawi+SierraLeone",176,30,0.669855394883204,0.625
"level","women_vitA","Ghana","domain_index",1,"Gambia",30,75,0.238862019914651,0.526315789473684
"level","women_vitA","Ghana","domain_enet",1,"Gambia",30,75,0.346201991465149,0.526315789473684
"level","women_vitA","Ghana","domain_index",1,"Malawi",87,75,0.502332859174964,0.421052631578947
"level","women_vitA","Ghana","domain_enet",1,"Malawi",87,75,0.520312944523471,0.526315789473684
"level","women_vitA","Ghana","domain_index",2,"Gambia+Malawi",117,75,0.33325746799431,0.526315789473684
"level","women_vitA","Ghana","domain_enet",2,"Gambia+Malawi",117,75,0.324807965860597,0.526315789473684
"level","women_vitA","Ghana","domain_index",2,"Gambia+SierraLeone",44,75,0.223613086770981,0.526315789473684
"level","women_vitA","Ghana","domain_enet",2,"Gambia+SierraLeone",44,75,0.253798008534851,0.526315789473684
"level","women_vitA","Ghana","domain_index",2,"Malawi+SierraLeone",101,75,0.479658605974395,0.473684210526316
"level","women_vitA","Ghana","domain_enet",2,"Malawi+SierraLeone",101,75,0.226856330014225,0.368421052631579
"level","women_vitA","Ghana","domain_index",3,"Gambia+Malawi+SierraLeone",131,75,0.308108108108108,0.526315789473684
"level","women_vitA","Ghana","domain_enet",3,"Gambia+Malawi+SierraLeone",131,75,0.341081081081081,0.578947368421053
"level","women_vitA","Malawi","domain_index",1,"Gambia",30,87,0.27544288109645,0.454545454545455
"level","women_vitA","Malawi","domain_enet",1,"Gambia",30,87,0.099092367135671,0.272727272727273
"level","women_vitA","Malawi","domain_index",1,"Ghana",75,87,0.270121017715244,0.409090909090909
"level","women_vitA","Malawi","domain_enet",1,"Ghana",75,87,0.273602099584457,0.409090909090909
"level","women_vitA","Malawi","domain_index",2,"Gambia+Ghana",105,87,0.256688780345557,0.363636363636364
"level","women_vitA","Malawi","domain_enet",2,"Gambia+Ghana",105,87,0.248906466428519,0.409090909090909
"level","women_vitA","Malawi","domain_index",2,"Gambia+SierraLeone",44,87,0.218506233141357,0.409090909090909
"level","women_vitA","Malawi","domain_enet",2,"Gambia+SierraLeone",44,87,-0.0551140920026245,0.227272727272727
"level","women_vitA","Malawi","domain_index",2,"Ghana+SierraLeone",89,87,0.230261719034774,0.409090909090909
"level","women_vitA","Malawi","domain_enet",2,"Ghana+SierraLeone",89,87,0.124626376029744,0.272727272727273
"level","women_vitA","Malawi","domain_index",3,"Gambia+Ghana+SierraLeone",119,87,0.236020995844572,0.363636363636364
"level","women_vitA","Malawi","domain_enet",3,"Gambia+Ghana+SierraLeone",119,87,0.174655536924984,0.363636363636364
"level","women_vitA","SierraLeone","domain_index",1,"Gambia",30,14,0.0725274725274725,0.5
"level","women_vitA","SierraLeone","domain_enet",1,"Gambia",30,14,0.542857142857143,0.5
