"country","outcome","rep","fold","package","discrete_pick","w_domain_index","w_enet","w_rf","w_mean","w_hapc"
"Gambia","women_vitA",2,5,"SuperLearner","rf",0.309879173014414,0.197996309544567,0,0.492124517441019,NA
"Gambia","women_vitA",2,5,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Gambia","women_vitA",2,1,"SuperLearner","rf",0.615026162455432,0,0,0.384973837544568,NA
"Gambia","women_vitA",2,1,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Gambia","women_vitA",2,4,"SuperLearner","enet",0.299845315219869,0.464221532091064,0,0.235933152689067,NA
"Gambia","women_vitA",2,4,"mlr3superlearner","regr.mean",NA,NA,NA,NA,NA
"Gambia","women_vitA",2,2,"SuperLearner","rf",0.542080382674002,0,0,0.457919617325998,NA
"Gambia","women_vitA",2,2,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Gambia","women_vitA",3,5,"SuperLearner","rf",0.400593493936649,0.599406506063351,0,0,NA
"Gambia","women_vitA",3,5,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Gambia","women_vitA",3,1,"SuperLearner","rf",0.479249734977347,0.105842482869328,0.245860185610583,0.169047596542742,NA
"Gambia","women_vitA",3,1,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Gambia","women_vitA",3,3,"SuperLearner","rf",0.588384225674519,0,0,0.411615774325481,NA
"Gambia","women_vitA",3,3,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Gambia","women_vitA",3,2,"SuperLearner","rf",0.531140015220754,0,0,0.468859984779246,NA
"Gambia","women_vitA",3,2,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Gambia","women_vitA",3,4,"SuperLearner","rf",0.454961056250877,0,0,0.545038943749123,NA
"Gambia","women_vitA",3,4,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Gambia","women_vitA",4,2,"SuperLearner","rf",0.563148586977809,0,0,0.436851413022191,NA
"Gambia","women_vitA",4,2,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Gambia","women_vitA",4,4,"SuperLearner","enet",0.11236763341846,0.88763236658154,0,0,NA
"Gambia","women_vitA",4,4,"mlr3superlearner","regr.enet",NA,NA,NA,NA,NA
"Gambia","women_vitA",4,5,"SuperLearner","enet",0.501653638903283,0.0297290688037269,0,0.46861729229299,NA
"Gambia","women_vitA",4,5,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Gambia","women_vitA",4,1,"SuperLearner","rf",0.528385985454068,0,0,0.471614014545932,NA
"Gambia","women_vitA",4,1,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Gambia","women_vitA",4,3,"SuperLearner","rf",0.517238616752929,0,0,0.482761383247071,NA
"Gambia","women_vitA",4,3,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Gambia","women_vitA",5,5,"SuperLearner","rf",0.526691365854223,0,0,0.473308634145777,NA
"Gambia","women_vitA",5,5,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Gambia","women_vitA",5,3,"SuperLearner","rf",0.398018907449109,0.265425007091495,0,0.336556085459396,NA
"Gambia","women_vitA",5,3,"mlr3superlearner","regr.enet",NA,NA,NA,NA,NA
"Gambia","women_vitA",5,4,"SuperLearner","rf",0.611917103866124,0,0,0.388082896133876,NA
"Gambia","women_vitA",5,4,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Gambia","women_vitA",5,1,"SuperLearner","rf",0.587918229431667,0.114037156783599,0,0.298044613784734,NA
"Gambia","women_vitA",5,1,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Gambia","women_vitA",5,2,"SuperLearner","rf",0.684285109793534,0,0,0.315714890206466,NA
"Gambia","women_vitA",5,2,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Gambia","child_iron",1,4,"SuperLearner","rf",0.514414238051953,0.142678358442525,0.100565624168356,0.242341779337166,NA
"Gambia","child_iron",1,4,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Gambia","child_iron",1,2,"SuperLearner","rf",0.480555997744172,0,0,0.519444002255828,NA
"Gambia","child_iron",1,2,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Gambia","child_iron",1,3,"SuperLearner","rf",0.482599880595683,0.167575940897265,0,0.349824178507052,NA
"Gambia","child_iron",1,3,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Gambia","child_iron",1,5,"SuperLearner","rf",0.199500785409942,0,0.582670293582754,0.217828921007304,NA
"Gambia","child_iron",1,5,"mlr3superlearner","regr.mean",NA,NA,NA,NA,NA
"Gambia","child_iron",1,1,"SuperLearner","rf",0.350258172750092,0,0.649741827249908,0,NA
"Gambia","child_iron",1,1,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Gambia","child_iron",2,3,"SuperLearner","rf",0.467142019619479,0,0,0.532857980380521,NA
"Gambia","child_iron",2,3,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Gambia","child_iron",2,5,"SuperLearner","rf",0.522495453384025,0,0,0.477504546615975,NA
"Gambia","child_iron",2,5,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Gambia","child_iron",2,1,"SuperLearner","rf",0.27975118955862,0.0907125368835874,0.629536273557793,0,NA
"Gambia","child_iron",2,1,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Gambia","child_iron",2,4,"SuperLearner","rf",0.473028290814049,0,0,0.526971709185951,NA
"Gambia","child_iron",2,4,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Gambia","child_iron",2,2,"SuperLearner","rf",0.438111346749354,0,0.154518449919013,0.407370203331632,NA
"Gambia","child_iron",2,2,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Gambia","child_iron",3,5,"SuperLearner","rf",0.574055299336506,0,0,0.425944700663494,NA
"Gambia","child_iron",3,5,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Gambia","child_iron",3,1,"SuperLearner","rf",0.576314120220951,0.423685879779049,0,0,NA
"Gambia","child_iron",3,1,"mlr3superlearner","regr.enet",NA,NA,NA,NA,NA
"Gambia","child_iron",3,3,"SuperLearner","rf",0.248507435324388,0,0.751492564675612,0,NA
"Gambia","child_iron",3,3,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Gambia","child_iron",3,2,"SuperLearner","rf",0.444367840988755,0,0,0.555632159011245,NA
"Gambia","child_iron",3,2,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Gambia","child_iron",3,4,"SuperLearner","enet",0.383700170791153,0,0,0.616299829208847,NA
"Gambia","child_iron",3,4,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Gambia","child_iron",4,2,"SuperLearner","rf",0.413895386284375,0,0,0.586104613715625,NA
"Gambia","child_iron",4,2,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Gambia","child_iron",4,4,"SuperLearner","rf",0.522800722722159,0,0,0.477199277277841,NA
"Gambia","child_iron",4,4,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Gambia","child_iron",4,5,"SuperLearner","rf",0.52967646407299,0,0,0.47032353592701,NA
"Gambia","child_iron",4,5,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Gambia","child_iron",4,1,"SuperLearner","rf",0.415575863463057,0,0,0.584424136536943,NA
"Gambia","child_iron",4,1,"mlr3superlearner","regr.enet",NA,NA,NA,NA,NA
"Gambia","child_iron",4,3,"SuperLearner","rf",0.488931738129082,0,0,0.511068261870918,NA
"Gambia","child_iron",4,3,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Gambia","child_iron",5,5,"SuperLearner","rf",0.440564204775183,0.0441646991342338,0,0.515271096090583,NA
"Gambia","child_iron",5,5,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Gambia","child_iron",5,3,"SuperLearner","rf",0.562618959469034,0,0,0.437381040530966,NA
"Gambia","child_iron",5,3,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Gambia","child_iron",5,4,"SuperLearner","rf",0.394084245671284,0,0,0.605915754328716,NA
"Gambia","child_iron",5,4,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Gambia","child_iron",5,1,"SuperLearner","rf",0.442274935379342,0,0,0.557725064620658,NA
"Gambia","child_iron",5,1,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Gambia","child_iron",5,2,"SuperLearner","rf",0.4506823827325,0,0,0.5493176172675,NA
"Gambia","child_iron",5,2,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Gambia","women_iron",1,4,"SuperLearner","rf",0.642890913012344,0,0,0.357109086987656,NA
"Gambia","women_iron",1,4,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Gambia","women_iron",1,2,"SuperLearner","enet",0,0.964581164466182,0,0.0354188355338174,NA
"Gambia","women_iron",1,2,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Gambia","women_iron",1,3,"SuperLearner","enet",0.301228050376782,0.698771949623218,0,0,NA
"Gambia","women_iron",1,3,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Gambia","women_iron",1,5,"SuperLearner","rf",0,0,0.954135869895469,0.0458641301045305,NA
"Gambia","women_iron",1,5,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Gambia","women_iron",1,1,"SuperLearner","rf",0.602374083404342,0,0,0.397625916595658,NA
"Gambia","women_iron",1,1,"mlr3superlearner","regr.enet",NA,NA,NA,NA,NA
"Gambia","women_iron",2,3,"SuperLearner","rf",1,0,0,0,NA
"Gambia","women_iron",2,3,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Gambia","women_iron",2,5,"SuperLearner","rf",0.128150725347753,0.63401713908733,0.203033925401548,0.0347982101633693,NA
"Gambia","women_iron",2,5,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Gambia","women_iron",2,1,"SuperLearner","rf",1,0,0,0,NA
"Gambia","women_iron",2,1,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Gambia","women_iron",2,4,"SuperLearner","rf",0.370536961927359,0,0.240937377290511,0.38852566078213,NA
"Gambia","women_iron",2,4,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Gambia","women_iron",2,2,"SuperLearner","rf",0.665344704998791,0,0,0.33465529500121,NA
"Gambia","women_iron",2,2,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Gambia","women_iron",3,5,"SuperLearner","rf",1,0,0,0,NA
"Gambia","women_iron",3,5,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Gambia","women_iron",3,1,"SuperLearner","enet",0.42717152954149,0,0,0.57282847045851,NA
"Gambia","women_iron",3,1,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Gambia","women_iron",3,3,"SuperLearner","rf",1,0,0,0,NA
"Gambia","women_iron",3,3,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Gambia","women_iron",3,2,"SuperLearner","rf",0.808698940578137,0,0,0.191301059421863,NA
"Gambia","women_iron",3,2,"mlr3superlearner","regr.enet",NA,NA,NA,NA,NA
"Gambia","women_iron",3,4,"SuperLearner","rf",1,0,0,0,NA
"Gambia","women_iron",3,4,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Gambia","women_iron",4,2,"SuperLearner","rf",0.601405313096229,0,0,0.39859468690377,NA
"Gambia","women_iron",4,2,"mlr3superlearner","regr.enet",NA,NA,NA,NA,NA
"Gambia","women_iron",4,4,"SuperLearner","rf",0.667719120468173,0,0,0.332280879531827,NA
"Gambia","women_iron",4,4,"mlr3superlearner","regr.enet",NA,NA,NA,NA,NA
"Gambia","women_iron",4,5,"SuperLearner","rf",0,0,0.941848153071752,0.0581518469282485,NA
"Gambia","women_iron",4,5,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Gambia","women_iron",4,1,"SuperLearner","enet",0.575060365873983,0,0,0.424939634126017,NA
"Gambia","women_iron",4,1,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Gambia","women_iron",4,3,"SuperLearner","rf",0.360388515000102,0,0.0357572180751647,0.603854266924733,NA
"Gambia","women_iron",4,3,"mlr3superlearner","regr.enet",NA,NA,NA,NA,NA
"Gambia","women_iron",5,5,"SuperLearner","enet",1,0,0,0,NA
"Gambia","women_iron",5,5,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Gambia","women_iron",5,3,"SuperLearner","rf",0.649220081137641,0,0,0.350779918862359,NA
"Gambia","women_iron",5,3,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Gambia","women_iron",5,4,"SuperLearner","rf",0.645219957623812,0,0,0.354780042376188,NA
"Gambia","women_iron",5,4,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Gambia","women_iron",5,1,"SuperLearner","enet",0.499878135100183,0.500121864899817,0,0,NA
"Gambia","women_iron",5,1,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Gambia","women_iron",5,2,"SuperLearner","rf",0.517984850622593,0,0.234193739140942,0.247821410236465,NA
"Gambia","women_iron",5,2,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Ghana","child_vitA",1,1,"SuperLearner","rf",0.163691448599026,0,0.421005858502349,0.415302692898625,NA
"Ghana","child_vitA",1,1,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Ghana","child_vitA",1,3,"SuperLearner","rf",0.272332741692931,0,0.144232362570623,0.583434895736446,NA
"Ghana","child_vitA",1,3,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Ghana","child_vitA",1,4,"SuperLearner","rf",0.176485722208809,0,0.265878154894221,0.55763612289697,NA
