"tier","cells","obs_positive","obs_mean_rho","p_positive","p_mean_rho","null_positive_q50","null_positive_q95","null_mean_q95"
"admin1",22,17,0.251,0.01,0.004,11,15,0.174
"admin2",22,18,0.293,0.002,0,11,16,0.084
