"Admin1","Admin2","n_raw","n_raw_cont","n_kish","n_kish_cont","n_psu","n_psu_cont","y_prev","y_level","sd_level","n_eff_national","n_eff_national_cont","n_eff_district","n_eff_district_cont","n_eff","n_eff_cont","deff_binary","deff_cont","country","outcome","at_clamp","svy_prev_pipeline","n_svy_pipeline"
"Banjul","Banjul",97,97,79.7393600575737,79.7393600575737,13,13,0.0747119309212328,-0.00509792598411703,0.259369220903051,30.0492248425622,18.0549453419459,69.7905813120042,51.3273842011585,69.7905813120042,51.3273842011585,3.22803668008792,5.37248926335137,"Gambia","child_vitA",FALSE,0.0747119309212328,97
"Banjul","Kanifing",72,72,65.5313324235619,65.5313324235619,8,8,0.129379459724291,0.0140412645678878,0.26688681084329,22.3045792645822,13.4016089136093,55.7005806071862,38.8831424877209,55.7005806071862,38.8831424877209,3.22803668008792,5.37248926335137,"Gambia","child_vitA",FALSE,0.129379459724291,72
"Lower River","Jarra East",52,52,46.1903015931357,46.1903015931357,2,2,0.208221526787354,0.17204235300696,0.277033454228994,16.1088628021983,9.67893977094005,29.7706156159604,14.7023793521358,29.7706156159604,14.7023793521358,3.22803668008792,5.37248926335137,"Gambia","child_vitA",FALSE,0.208221526787354,52
"Lower River","Jarra West",35,35,25.2218010076486,25.2218010076486,3,3,0.0755206393695848,0.00172736226824552,0.290789241054808,10.8425038091719,6.51467099967119,20.4171587897983,13.178999381556,20.4171587897983,13.178999381556,3.22803668008792,5.37248926335137,"Gambia","child_vitA",FALSE,0.0755206393695848,35
"Lower River","Kiang Central",24,24,24,24,1,1,0.208333333333333,0.172603369698233,0.257049862294306,7.43485975486074,4.4672029712031,15.9212765075587,8.07984567691685,15.9212765075587,8.07984567691685,3.22803668008792,5.37248926335137,"Gambia","child_vitA",FALSE,0.208333333333333,24
"Lower River","Kiang East",22,22,22,22,1,1,0.227272727272727,0.209014280935307,0.205011885943829,6.81528810862235,4.09493605693618,15.0345766074264,7.85989760544292,15.0345766074264,7.85989760544292,3.22803668008792,5.37248926335137,"Gambia","child_vitA",FALSE,0.227272727272727,22
"Maccarthy Island","Fulladu West",113,113,54.951388207495,54.951388207495,5,5,0.322404265149205,0.185498593714793,0.290036581347738,35.0057980124693,21.0330806560813,37.2165595515054,19.2783533381494,37.2165595515054,19.2783533381494,3.22803668008792,5.37248926335137,"Gambia","child_vitA",FALSE,0.322404265149205,113
"Maccarthy Island","Lower Saloum",39,39,35.4050358593291,35.4050358593291,2,2,0.178749949951543,0.141640953093848,0.24359097415996,12.0816471016487,7.25920482820504,25.1431288908619,13.6971348746718,25.1431288908619,13.6971348746718,3.22803668008792,5.37248926335137,"Gambia","child_vitA",FALSE,0.178749949951543,39
"Maccarthy Island","Niamina Dankunku",34,34,34,34,1,1,0.382352941176471,0.244564954583023,0.267605101030965,10.5327179860527,6.32853754253773,19.6755521315124,8.88417549074163,19.6755521315124,8.88417549074163,3.22803668008792,5.37248926335137,"Gambia","child_vitA",FALSE,0.382352941176471,34
"Maccarthy Island","Niamina East",28,28,28,28,1,1,0.25,0.132527449588939,0.250565348265223,8.67400304733754,5.21173679973695,17.5475624131504,8.45149330641313,17.5475624131504,8.45149330641313,3.22803668008792,5.37248926335137,"Gambia","child_vitA",FALSE,0.25,28
"Maccarthy Island","Niani",45,45,39.1299932784428,39.1299932784428,3,3,0.307965738346523,0.220185356981928,0.299882230283724,13.9403620403639,8.37600557100581,29.8961853578613,17.7916514303694,29.8961853578613,17.7916514303694,3.22803668008792,5.37248926335137,"Gambia","child_vitA",FALSE,0.307965738346523,45
"Maccarthy Island","Nianija",22,22,21.9991791150026,21.9991791150026,2,2,0.136160861272839,0.114287279495046,0.26844465478778,6.81528810862235,4.09493605693618,18.0230137569366,11.8486932906768,18.0230137569366,11.8486932906768,3.22803668008792,5.37248926335137,"Gambia","child_vitA",FALSE,0.136160861272839,22
"Maccarthy Island","Sami",18,18,18,18,1,1,0.388888888888889,0.227677617156182,0.227680800718366,5.57614481614556,3.35040222840233,13.0904595918843,7.32795061223967,13.0904595918843,7.32795061223967,3.22803668008792,5.37248926335137,"Gambia","child_vitA",FALSE,0.388888888888889,18
"Maccarthy Island","Upper Saloum",10,10,10,10,1,1,0.3,0.152000867234647,0.289366672595667,3.09785823119198,1.86133457133463,8.34338427641994,5.6465018992739,8.34338427641994,5.6465018992739,3.22803668008792,5.37248926335137,"Gambia","child_vitA",FALSE,0.3,10
"North Bank","Central Baddibu",14,14,14,14,1,1,0.357142857142857,0.198205308218045,0.344937988024667,4.33700152366877,2.60586839986848,10.8796947268853,6.62352476984436,10.8796947268853,6.62352476984436,3.22803668008792,5.37248926335137,"Gambia","child_vitA",FALSE,0.357142857142857,14
"North Bank","Jokadu",14,14,14,14,1,1,0.142857142857143,0.104115474304215,0.214860497326135,4.33700152366877,2.60586839986848,10.8796947268853,6.62352476984436,10.8796947268853,6.62352476984436,3.22803668008792,5.37248926335137,"Gambia","child_vitA",FALSE,0.142857142857143,14
"North Bank","Lower Baddibu",9,9,9,9,1,1,0,0.0613385685746772,0.181420714918753,2.78807240807278,1.67520111420116,7.64985552597173,5.34016735883831,7.64985552597173,5.34016735883831,3.22803668008792,5.37248926335137,"Gambia","child_vitA",TRUE,0,9
"North Bank","Lower Nuimi",13,13,11.7188222671001,11.7188222671001,2,2,0,-0.0606874513136178,0.268662375242456,4.02721570054957,2.41973494273501,10.4507417540947,7.96563952964072,10.4507417540947,7.96563952964072,3.22803668008792,5.37248926335137,"Gambia","child_vitA",TRUE,0,13
"North Bank","Upper Baddibu",34,34,33.9958610382319,33.9958610382319,2,2,0.0887310206459296,0.0800029568161651,0.240748180314104,10.5327179860527,6.32853754253773,25.1265502695219,14.3401253869427,25.1265502695219,14.3401253869427,3.22803668008792,5.37248926335137,"Gambia","child_vitA",FALSE,0.0887310206459296,34
"North Bank","Upper Nuimi",9,9,9,9,1,1,0.222222222222222,-0.00830339848638098,0.424131216640894,2.78807240807278,1.67520111420116,7.64985552597173,5.34016735883831,7.64985552597173,5.34016735883831,3.22803668008792,5.37248926335137,"Gambia","child_vitA",FALSE,0.222222222222222,9
"Upper River","Fulladu East",124,124,106.445526471229,106.445526471229,5,5,0.246336969602765,0.147883177394661,0.281169428808821,38.4134420667805,23.0805486845494,69.7973198918646,35.027790850758,69.7973198918646,35.027790850758,3.22803668008792,5.37248926335137,"Gambia","child_vitA",FALSE,0.246336969602765,124
"Upper River","Kantora",16,16,16,16,1,1,0.5625,0.395189592748308,0.320771978512984,4.95657316990716,2.9781353141354,12.0217231373481,7.00214735740663,12.0217231373481,7.00214735740663,3.22803668008792,5.37248926335137,"Gambia","child_vitA",FALSE,0.5625,16
