"column","outcome","country","n","rho","z"
"wdist_coast_km_mean","child_iron","Malawi",87,-0.0363964423707808,-0.333726319006323
"wdist_perm_km_min","child_iron","Malawi",87,-0.128400641584526,-1.18334331093084
"wdist_any_km_min","child_iron","Malawi",87,0.0653653308603861,0.599938566491775
"wdist_coast_km_min","child_iron","Malawi",87,-0.0233469417511118,-0.214017146760792
"wdist_perm_km_mean","women_iron","Malawi",87,-0.157523510971787,-1.45584920478356
"wdist_any_km_mean","women_iron","Malawi",87,-0.0976160968141722,-0.897524393229378
"wdist_coast_km_mean","women_iron","Malawi",87,0.00577750236932274,0.0529522730497204
"wdist_perm_km_min","women_iron","Malawi",87,-0.151124639233785,-1.39577154687789
"wdist_any_km_min","women_iron","Malawi",87,-0.0165997537905911,-0.152153232920142
"wdist_coast_km_min","women_iron","Malawi",87,0.0083108551432529,0.076171999341126
"wdist_perm_km_mean","women_folate","Malawi",87,-0.392815484435372,-3.80468246943664
"wdist_any_km_mean","women_folate","Malawi",87,-0.287654005977983,-2.71294668369998
"wdist_coast_km_mean","women_folate","Malawi",87,-0.225887584748852,-2.10662524831543
"wdist_perm_km_min","women_folate","Malawi",87,-0.307699015956904,-2.91453457656887
"wdist_any_km_min","women_folate","Malawi",87,-0.0450564745744615,-0.413229192363858
"wdist_coast_km_min","women_folate","Malawi",87,-0.213603557629219,-1.98832604489647
"wdist_perm_km_mean","women_b12","Malawi",87,0.467667857403222,4.6474755327526
"wdist_any_km_mean","women_b12","Malawi",87,0.239265145439965,2.23624643121483
"wdist_coast_km_mean","women_b12","Malawi",87,0.130586133994314,1.20371529679849
"wdist_perm_km_min","women_b12","Malawi",87,0.354796009314925,3.39953632181359
"wdist_any_km_min","women_b12","Malawi",87,0.0121609917879788,0.111462825740423
"wdist_coast_km_min","women_b12","Malawi",87,0.109572063862361,1.00829275452461
"wdist_perm_km_mean","child_zinc","Malawi",87,-0.0273018881679668,-0.250288138339392
"wdist_any_km_mean","child_zinc","Malawi",87,0.124152511482102,1.14377758595911
"wdist_coast_km_mean","child_zinc","Malawi",87,-0.0468579135379456,-0.429774602656405
"wdist_perm_km_min","child_zinc","Malawi",87,0.0323967789495179,0.297025327155504
"wdist_any_km_min","child_zinc","Malawi",87,0.151860384952385,1.4026731600056
"wdist_coast_km_min","child_zinc","Malawi",87,-0.0386381861923161,-0.354301209336778
"wdist_perm_km_mean","women_zinc","Malawi",87,0.0949369395640446,0.872739763155819
"wdist_any_km_mean","women_zinc","Malawi",87,0.176314062841729,1.6330092808998
"wdist_coast_km_mean","women_zinc","Malawi",87,-0.0482248305022964,-0.442330985255536
"wdist_perm_km_min","women_zinc","Malawi",87,0.0790312484615799,0.72584708065771
"wdist_any_km_min","women_zinc","Malawi",87,0.171774009005201,1.59009911129929
"wdist_coast_km_min","women_zinc","Malawi",87,-0.0394401108114019,-0.361662188809304
"wdist_perm_km_mean","child_vitA","SierraLeone",14,0.0153846153846154,0.0510290229872549
"wdist_any_km_mean","child_vitA","SierraLeone",14,-0.0549450549450549,-0.182415848014564
"wdist_coast_km_mean","child_vitA","SierraLeone",14,-0.173626373626374,-0.581747091575559
"wdist_perm_km_min","child_vitA","SierraLeone",14,0.240807320653823,0.814665709875131
"wdist_coast_km_min","child_vitA","SierraLeone",14,-0.0586742926297791,-0.194824391311959
"wdist_perm_km_mean","women_vitA","SierraLeone",14,0.534065934065934,1.9760994893229
"wdist_any_km_mean","women_vitA","SierraLeone",14,0.450549450549451,1.60985471130067
