"country","Admin1","Admin2","n_clusters","date_med","date_first","date_last","month_med","year_med","month_first","month_last","n_months"
"Ghana","Eastern","Denkyembour",1,2017-05-15,2017-05-15,2017-05-15,5,2017,5,5,1
"Ghana","Eastern","Kwahu Afram Plains North",3,2017-05-15,2017-05-15,2017-05-15,5,2017,5,5,1
"Ghana","Greater Accra","Ablekuma Central",1,2017-05-15,2017-05-15,2017-05-15,5,2017,5,5,1
"Ghana","Greater Accra","Ablekuma North",2,2017-05-15,2017-05-15,2017-05-15,5,2017,5,5,1
"Ghana","Greater Accra","Ashaiman",1,2017-05-15,2017-05-15,2017-05-15,5,2017,5,5,1
"Ghana","Greater Accra","Ayawaso West",1,2017-04-15,2017-04-15,2017-04-15,4,2017,4,4,1
"Ghana","Greater Accra","Ga East",1,2017-04-15,2017-04-15,2017-04-15,4,2017,4,4,1
"Ghana","Greater Accra","La-Dade-Kotopon",1,2017-06-15,2017-06-15,2017-06-15,6,2017,6,6,1
"Ghana","Greater Accra","Tema West",1,2017-05-15,2017-05-15,2017-05-15,5,2017,5,5,1
"Ghana","Greater Accra","Weija Gbawe",3,2017-05-15,2017-05-15,2017-05-15,5,2017,5,5,1
"Ghana","North East","Chereponi",1,2017-05-15,2017-05-15,2017-05-15,5,2017,5,5,1
"Ghana","North East","West Mamprusi",1,2017-05-15,2017-05-15,2017-05-15,5,2017,5,5,1
"Ghana","North East","Yunyoo-Nasuan",1,2017-05-15,2017-05-15,2017-05-15,5,2017,5,5,1
"Ghana","Northern","Gushegu",1,2017-05-15,2017-05-15,2017-05-15,5,2017,5,5,1
"Ghana","Northern","Kpandai",1,2017-05-15,2017-05-15,2017-05-15,5,2017,5,5,1
"Ghana","Northern","Nanumba South",1,2017-05-15,2017-05-15,2017-05-15,5,2017,5,5,1
"Ghana","Northern","Sagnerigu",2,2017-04-30,2017-04-30,2017-04-30,4,2017,4,4,1
"Ghana","Northern","Savelugu",1,2017-05-15,2017-05-15,2017-05-15,5,2017,5,5,1
"Ghana","Northern","Tamale",1,2017-05-15,2017-05-15,2017-05-15,5,2017,5,5,1
"Ghana","Northern","Tatale Sanguli",1,2017-05-15,2017-05-15,2017-05-15,5,2017,5,5,1
"Ghana","Northern","Tolon",1,2017-05-15,2017-05-15,2017-05-15,5,2017,5,5,1
"Ghana","Oti","Nkwanta South",1,2017-05-15,2017-05-15,2017-05-15,5,2017,5,5,1
"Ghana","Savannah","Bole",1,2017-05-15,2017-05-15,2017-05-15,5,2017,5,5,1
"Ghana","Savannah","Central Gonja",2,2017-05-15,2017-05-15,2017-05-15,5,2017,5,5,1
"Ghana","Savannah","North East Gonja",1,2017-05-15,2017-05-15,2017-05-15,5,2017,5,5,1
"Ghana","Savannah","Sawla-Tuna-Kalba",1,2017-05-15,2017-05-15,2017-05-15,5,2017,5,5,1
"Ghana","Upper East","Bawku West",1,2017-05-15,2017-05-15,2017-05-15,5,2017,5,5,1
"Ghana","Upper East","Binduri",2,2017-05-15,2017-05-15,2017-05-15,5,2017,5,5,1
"Ghana","Upper East","Builsa South",1,2017-05-15,2017-05-15,2017-05-15,5,2017,5,5,1
"Ghana","Upper East","Kasena Nankana East",2,2017-05-15,2017-05-15,2017-05-15,5,2017,5,5,1
"Ghana","Upper East","Talensi",1,2017-05-15,2017-05-15,2017-05-15,5,2017,5,5,1
"Ghana","Upper West","Jirapa",1,2017-05-15,2017-05-15,2017-05-15,5,2017,5,5,1
"Ghana","Upper West","Lambussie-Karni",1,2017-05-15,2017-05-15,2017-05-15,5,2017,5,5,1
"Ghana","Upper West","Sissala East",1,2017-05-15,2017-05-15,2017-05-15,5,2017,5,5,1
"Ghana","Upper West","Wa East",1,2017-05-15,2017-05-15,2017-05-15,5,2017,5,5,1
"Ghana","Upper West","Wa Municipal",2,2017-05-15,2017-05-15,2017-05-15,5,2017,5,5,1
"Ghana","Volta","Afadzato South",1,2017-05-15,2017-05-15,2017-05-15,5,2017,5,5,1
"Ghana","Volta","Akatsi South",1,2017-05-15,2017-05-15,2017-05-15,5,2017,5,5,1
