"rank_from","set","fraction","design","cells","mae","spearman","capture"
"prev","climate_soil",0.25,"B_district_survey",22,10.08,0.459,0.329
"prev","climate_soil",0.25,"C_regional_survey",22,7.81,0.212,0.243
"prev","climate_soil",0.4,"A1_anchor_rank",22,8.73,0.259,0.22
"prev","climate_soil",0.4,"A2_region_anchor_rank",22,7.63,0.361,0.231
"prev","climate_soil",0.4,"B_district_survey",22,7.58,0.611,0.345
"prev","climate_soil",0.4,"C_regional_survey",22,7.1,0.303,0.237
"prev","climate_soil",0.6,"A1_anchor_rank",22,8.56,0.259,0.22
"prev","climate_soil",0.6,"A2_region_anchor_rank",22,7.19,0.401,0.25
"prev","climate_soil",0.6,"B_district_survey",22,5.22,0.74,0.38
"prev","climate_soil",0.6,"C_regional_survey",22,6.39,0.345,0.247
"prev","climate_soil",0.8,"A1_anchor_rank",22,8.53,0.259,0.22
"prev","climate_soil",0.8,"A2_region_anchor_rank",22,6.93,0.425,0.223
"prev","climate_soil",0.8,"B_district_survey",22,3.21,0.857,0.394
"prev","climate_soil",0.8,"C_regional_survey",22,6.12,0.425,0.25
"prev","climate_soil",1,"A1_anchor_rank",22,8.45,0.259,0.22
"prev","climate_soil",1,"A2_region_anchor_rank",22,6.85,0.474,0.236
"prev","climate_soil",1,"B_district_survey",22,0,1,0.362
"prev","climate_soil",1,"C_regional_survey",22,5.92,0.462,0.26
"prev","full",0.05,"A1_anchor_rank",22,10.35,0.208,0.146
"prev","full",0.05,"A2_region_anchor_rank",22,13.07,0.176,0.189
"prev","full",0.05,"B_district_survey",22,19.73,0.262,0.285
"prev","full",0.05,"C_regional_survey",22,13.13,0.133,0.224
"prev","full",0.1,"A1_anchor_rank",22,9.6,0.208,0.146
"prev","full",0.1,"A2_region_anchor_rank",22,10.92,0.254,0.197
"prev","full",0.1,"B_district_survey",22,15.88,0.319,0.319
"prev","full",0.1,"C_regional_survey",22,10.67,0.181,0.227
"prev","full",0.15,"A1_anchor_rank",22,9.1,0.208,0.146
"prev","full",0.15,"A2_region_anchor_rank",22,9.43,0.25,0.197
"prev","full",0.15,"B_district_survey",22,13.01,0.367,0.315
"prev","full",0.15,"C_regional_survey",22,9.01,0.205,0.231
"prev","full",0.25,"A1_anchor_rank",22,9,0.208,0.146
