"domain_set","target","outcome","heldout","arm","model","n_units","n_cov","n_block","block_cols","shares_population","spearman","pearson","topk","delta_vs_base","topk_delta_vs_base"
"cs","level","child_iron","Gambia","base","domain_index",30,101,0,"",FALSE,0.536373748609566,0.515018924355893,0.5,0,0
"cs","level","child_iron","Ghana","base","domain_index",75,101,0,"",FALSE,0.567368421052632,0.550849342482461,0.578947368421053,0,0
"cs","level","child_iron","Malawi","base","domain_index",87,101,0,"",FALSE,0.142615003280601,0.107388088228365,0.363636363636364,0,0
"cs","level","child_iron","SierraLeone","base","domain_index",14,101,0,"",FALSE,0.314285714285714,0.337505631388094,0.25,0,0
"cs","level","child_iron","Gambia","base","domain_enet",30,101,0,"",FALSE,0.464293659621802,0.432624541069327,0.375,0,0
"cs","level","child_iron","Ghana","base","domain_enet",75,101,0,"",FALSE,0.479459459459459,0.519834157455722,0.578947368421053,0,0
"cs","level","child_iron","Malawi","base","domain_enet",87,101,0,"",FALSE,0.016439454691259,0.0166692179380585,0.181818181818182,0,0
"cs","level","child_iron","SierraLeone","base","domain_enet",14,101,0,"",FALSE,0.367032967032967,0.329627309778728,0.25,0,0
"cs","level","child_iron","Gambia","same_nutrient","domain_index",30,101,1,"women_iron",FALSE,0.590211345939933,0.576772907695238,0.5,0.053837597330367,0
"cs","level","child_iron","Ghana","same_nutrient","domain_index",75,101,1,"women_iron",FALSE,0.584324324324324,0.579587079969447,0.578947368421053,0.0169559032716927,0
"cs","level","child_iron","Malawi","same_nutrient","domain_index",87,101,1,"women_iron",FALSE,0.181544798425312,0.165911089881322,0.409090909090909,0.0389297951447109,0.0454545454545455
"cs","level","child_iron","SierraLeone","same_nutrient","domain_index",14,101,1,"women_iron",FALSE,0.454945054945055,0.425809751352796,0.25,0.140659340659341,0
"cs","level","child_iron","Gambia","same_nutrient","domain_enet",30,101,1,"women_iron",FALSE,0.547497219132369,0.554357124552718,0.625,0.0832035595105672,0.25
"cs","level","child_iron","Ghana","same_nutrient","domain_enet",75,101,1,"women_iron",FALSE,0.528079658605974,0.513093516712912,0.578947368421053,0.0486201991465149,0
"cs","level","child_iron","Malawi","same_nutrient","domain_enet",87,101,1,"women_iron",FALSE,0.251512721440548,0.260017808448775,0.409090909090909,0.235073266749289,0.227272727272727
"cs","level","child_iron","SierraLeone","same_nutrient","domain_enet",14,101,1,"women_iron",FALSE,0.103296703296703,0.24114220043648,0.25,-0.263736263736264,0
"cs","level","child_iron","Gambia","other_xpop","domain_index",30,101,1,"women_vitA",FALSE,0.565739710789766,0.519353069840778,0.5,0.0293659621802002,0
"cs","level","child_iron","Ghana","other_xpop","domain_index",75,101,1,"women_vitA",FALSE,0.568079658605974,0.55431755020089,0.578947368421053,0.000711237553342792,0
"cs","level","child_iron","Malawi","other_xpop","domain_index",87,101,1,"women_vitA",FALSE,0.108223372457534,0.0755064574868353,0.409090909090909,-0.0343916308230663,0.0454545454545455
"cs","level","child_iron","SierraLeone","other_xpop","domain_index",14,101,1,"women_vitA",FALSE,0.248351648351648,0.319939119171396,0.25,-0.0659340659340659,0
"cs","level","child_iron","Gambia","other_xpop","domain_enet",30,101,1,"women_vitA",FALSE,0.497664071190211,0.473779462303976,0.375,0.0333704115684094,0
"cs","level","child_iron","Ghana","other_xpop","domain_enet",75,101,1,"women_vitA",FALSE,0.479459459459459,0.519834157455722,0.578947368421053,0,0
"cs","level","child_iron","Malawi","other_xpop","domain_enet",87,101,1,"women_vitA",FALSE,0.0357585477874171,0.0278998174844843,0.181818181818182,0.019319093096158,0
"cs","level","child_iron","SierraLeone","other_xpop","domain_enet",14,101,1,"women_vitA",FALSE,0.292307692307692,0.289765703421427,0.25,-0.0747252747252748,0
"cs","level","child_iron","Gambia","other_samepop","domain_index",30,101,1,"child_vitA",TRUE,0.573748609566185,0.531464952348086,0.5,0.0373748609566185,0
"cs","level","child_iron","Ghana","other_samepop","domain_index",75,101,1,"child_vitA",TRUE,0.573854907539118,0.577865439657414,0.631578947368421,0.00648648648648653,0.0526315789473684
"cs","level","child_iron","Malawi","other_samepop","domain_index",87,101,1,"child_vitA",TRUE,0.143817890209229,0.113804327622009,0.363636363636364,0.00120288692862869,0
"cs","level","child_iron","SierraLeone","other_samepop","domain_index",14,101,1,"child_vitA",TRUE,0.208791208791209,0.302855913672771,0.25,-0.105494505494505,0
"cs","level","child_iron","Gambia","other_samepop","domain_enet",30,101,1,"child_vitA",TRUE,0.468743047830923,0.425546078092739,0.5,0.00444938820912127,0.125
"cs","level","child_iron","Ghana","other_samepop","domain_enet",75,101,1,"child_vitA",TRUE,0.476984352773826,0.512482037743176,0.578947368421053,-0.002475106685633,0
"cs","level","child_iron","Malawi","other_samepop","domain_enet",87,101,1,"child_vitA",TRUE,-0.00373623970255887,0.00238331421681106,0.181818181818182,-0.0201756943938179,0
"cs","level","child_iron","SierraLeone","other_samepop","domain_enet",14,101,1,"child_vitA",TRUE,0.208791208791209,0.26197337372962,0.25,-0.158241758241758,0
"cs","level","child_iron","Gambia","all_other","domain_index",30,101,3,"child_vitA;women_vitA;women_iron",NA,0.608008898776418,0.585197252831761,0.5,0.0716351501668521,0
"cs","level","child_iron","Ghana","all_other","domain_index",75,101,3,"child_vitA;women_vitA;women_iron",NA,0.59325746799431,0.600385289317551,0.578947368421053,0.0258890469416785,0
"cs","level","child_iron","Malawi","all_other","domain_index",87,101,3,"child_vitA;women_vitA;women_iron",NA,0.149595392578552,0.137759631898093,0.363636363636364,0.00698038929795144,0
"cs","level","child_iron","SierraLeone","all_other","domain_index",14,101,3,"child_vitA;women_vitA;women_iron",NA,0.327472527472527,0.371904876591162,0.25,0.0131868131868132,0
"cs","level","child_iron","Gambia","all_other","domain_enet",30,101,3,"child_vitA;women_vitA;women_iron",NA,0.560400444938821,0.572622868737035,0.5,0.0961067853170189,0.125
"cs","level","child_iron","Ghana","all_other","domain_enet",75,101,3,"child_vitA;women_vitA;women_iron",NA,0.525604551920341,0.524843267925391,0.578947368421053,0.0461450924608818,0
"cs","level","child_iron","Malawi","all_other","domain_enet",87,101,3,"child_vitA;women_vitA;women_iron",NA,0.242071881606765,0.240838908231812,0.409090909090909,0.225632426915506,0.227272727272727
"cs","level","child_iron","SierraLeone","all_other","domain_enet",14,101,3,"child_vitA;women_vitA;women_iron",NA,0.296703296703297,0.429086813694922,0.5,-0.0703296703296704,0.25
"cs","level","child_iron","Gambia","block_only_same_nutrient","domain_index",30,0,1,"women_iron",FALSE,0.743715239154616,0.737408986867757,0.875,0.20734149054505,0.375
"cs","level","child_iron","Ghana","block_only_same_nutrient","domain_index",75,0,1,"women_iron",FALSE,0.382958748221906,0.357886633101413,0.526315789473684,-0.184409672830725,-0.0526315789473685
"cs","level","child_iron","Malawi","block_only_same_nutrient","domain_index",87,0,1,"women_iron",FALSE,0.306098272216957,0.318488355652455,0.454545454545455,0.163483268936356,0.0909090909090909
"cs","level","child_iron","SierraLeone","block_only_same_nutrient","domain_index",14,0,1,"women_iron",FALSE,0.437362637362637,0.488825485068124,0.75,0.123076923076923,0.5
"cs","level","child_iron","Gambia","block_only_same_nutrient","domain_enet",30,0,1,"women_iron",FALSE,NA,NA,0.25,NA,-0.125
"cs","level","child_iron","Ghana","block_only_same_nutrient","domain_enet",75,0,1,"women_iron",FALSE,NA,NA,0.105263157894737,NA,-0.473684210526316
"cs","level","child_iron","Malawi","block_only_same_nutrient","domain_enet",87,0,1,"women_iron",FALSE,NA,NA,0.272727272727273,NA,0.0909090909090909
"cs","level","child_iron","SierraLeone","block_only_same_nutrient","domain_enet",14,0,1,"women_iron",FALSE,NA,NA,0.25,NA,0
"cs","level","child_iron","Gambia","block_only_all","domain_index",30,0,3,"child_vitA;women_vitA;women_iron",NA,0.699666295884316,0.688602042312525,0.75,0.16329254727475,0.25
"cs","level","child_iron","Ghana","block_only_all","domain_index",75,0,3,"child_vitA;women_vitA;women_iron",NA,0.434793741109531,0.450094501720168,0.526315789473684,-0.132574679943101,-0.0526315789473685
"cs","level","child_iron","Malawi","block_only_all","domain_index",87,0,3,"child_vitA;women_vitA;women_iron",NA,0.165998396150762,0.150946354734343,0.318181818181818,0.0233833928701611,-0.0454545454545455
"cs","level","child_iron","SierraLeone","block_only_all","domain_index",14,0,3,"child_vitA;women_vitA;women_iron",NA,0.204395604395604,0.340921524531401,0.5,-0.10989010989011,0.25
"cs","level","child_iron","Gambia","block_only_all","domain_enet",30,0,3,"child_vitA;women_vitA;women_iron",NA,0.723248053392659,0.707399060716347,0.75,0.258954393770856,0.375
"cs","level","child_iron","Ghana","block_only_all","domain_enet",75,0,3,"child_vitA;women_vitA;women_iron",NA,0.392546230440967,0.391600766072944,0.473684210526316,-0.0869132290184922,-0.105263157894737
"cs","level","child_iron","Malawi","block_only_all","domain_enet",87,0,3,"child_vitA;women_vitA;women_iron",NA,0.268808777429467,0.263199582746856,0.409090909090909,0.252369322738208,0.227272727272727
"cs","level","child_iron","SierraLeone","block_only_all","domain_enet",14,0,3,"child_vitA;women_vitA;women_iron",NA,0.402197802197802,0.404898771025896,0.75,0.0351648351648352,0.5
"cs","level","child_vitA","Gambia","base","domain_index",30,101,0,"",FALSE,0.78420467185762,0.746005317411104,0.5,0,0
"cs","level","child_vitA","Ghana","base","domain_index",75,101,0,"",FALSE,0.290867709815078,0.266153701659418,0.421052631578947,0,0
"cs","level","child_vitA","Malawi","base","domain_index",87,101,0,"",FALSE,0.225632426915506,0.235599865482361,0.318181818181818,0,0
"cs","level","child_vitA","SierraLeone","base","domain_index",14,101,0,"",FALSE,0.397802197802198,0.368395374584733,0.75,0,0
"cs","level","child_vitA","Gambia","base","domain_enet",30,101,0,"",FALSE,0.6440489432703,0.585560229651165,0.5,0,0
"cs","level","child_vitA","Ghana","base","domain_enet",75,101,0,"",FALSE,0.265490753911807,0.25616417907358,0.368421052631579,0,0
"cs","level","child_vitA","Malawi","base","domain_enet",87,101,0,"",FALSE,0.183185098782533,0.215314190739851,0.363636363636364,0,0
"cs","level","child_vitA","SierraLeone","base","domain_enet",14,101,0,"",FALSE,0.134065934065934,0.285187156961723,0.5,0,0
"cs","level","child_vitA","Gambia","same_nutrient","domain_index",30,101,1,"women_vitA",FALSE,0.810011123470523,0.79176550628677,0.5,0.0258064516129033,0
"cs","level","child_vitA","Ghana","same_nutrient","domain_index",75,101,1,"women_vitA",FALSE,0.341820768136558,0.329932354280987,0.473684210526316,0.0509530583214794,0.0526315789473684
"cs","level","child_vitA","Malawi","same_nutrient","domain_index",87,101,1,"women_vitA",FALSE,0.285430487715973,0.303437434984916,0.363636363636364,0.0597980608004666,0.0454545454545455
