"domain_set","target","outcome","heldout","arm","model","n_units","n_cov","n_block","block_cols","shares_population","spearman","pearson","topk","delta_vs_base","topk_delta_vs_base"
"cs_top5","level","child_iron","Gambia","base","domain_index",30,138,0,"",FALSE,0.547942157953281,0.520340490668694,0.375,0,0
"cs_top5","level","child_iron","Ghana","base","domain_index",75,138,0,"",FALSE,0.550412517780939,0.563862551231547,0.473684210526316,0,0
"cs_top5","level","child_iron","Malawi","base","domain_index",87,138,0,"",FALSE,0.190803382663848,0.143079647383045,0.409090909090909,0,0
"cs_top5","level","child_iron","SierraLeone","base","domain_index",14,138,0,"",FALSE,0.23956043956044,0.307694270070866,0.25,0,0
"cs_top5","level","child_iron","Gambia","base","domain_enet",30,138,0,"",FALSE,0.482091212458287,0.436212021010249,0.5,0,0
"cs_top5","level","child_iron","Ghana","base","domain_enet",75,138,0,"",FALSE,0.434281650071124,0.449222180556567,0.421052631578947,0,0
"cs_top5","level","child_iron","Malawi","base","domain_enet",87,138,0,"",FALSE,0.016439454691259,0.0166692179380585,0.181818181818182,0,0
"cs_top5","level","child_iron","SierraLeone","base","domain_enet",14,138,0,"",FALSE,0.279120879120879,0.248426599077577,0.25,0,0
"cs_top5","level","child_iron","Gambia","same_nutrient","domain_index",30,138,1,"women_iron",FALSE,0.640044493882091,0.569455953305217,0.625,0.0921023359288099,0.25
"cs_top5","level","child_iron","Ghana","same_nutrient","domain_index",75,138,1,"women_iron",FALSE,0.563812233285917,0.575948274961139,0.578947368421053,0.0133997155049786,0.105263157894737
"cs_top5","level","child_iron","Malawi","same_nutrient","domain_index",87,138,1,"women_iron",FALSE,0.238226288547058,0.193478267672357,0.454545454545455,0.0474229058832106,0.0454545454545454
"cs_top5","level","child_iron","SierraLeone","same_nutrient","domain_index",14,138,1,"women_iron",FALSE,0.402197802197802,0.38784332837442,0.25,0.162637362637363,0
"cs_top5","level","child_iron","Gambia","same_nutrient","domain_enet",30,138,1,"women_iron",FALSE,0.55817575083426,0.560709968323646,0.625,0.0760845383759733,0.125
"cs_top5","level","child_iron","Ghana","same_nutrient","domain_enet",75,138,1,"women_iron",FALSE,0.47027027027027,0.493995858636637,0.578947368421053,0.0359886201991466,0.157894736842105
"cs_top5","level","child_iron","Malawi","same_nutrient","domain_enet",87,138,1,"women_iron",FALSE,0.238408544142305,0.237243618873093,0.409090909090909,0.221969089451046,0.227272727272727
"cs_top5","level","child_iron","SierraLeone","same_nutrient","domain_enet",14,138,1,"women_iron",FALSE,0.525274725274725,0.541691567420957,0.5,0.246153846153846,0.25
"cs_top5","level","child_iron","Gambia","other_xpop","domain_index",30,138,1,"women_vitA",FALSE,0.561290322580645,0.523019435605826,0.375,0.0133481646273638,0
"cs_top5","level","child_iron","Ghana","other_xpop","domain_index",75,138,1,"women_vitA",FALSE,0.548790896159317,0.56602888086207,0.473684210526316,-0.00162162162162161,0
"cs_top5","level","child_iron","Malawi","other_xpop","domain_index",87,138,1,"women_vitA",FALSE,0.14518480717358,0.113720257211966,0.363636363636364,-0.0456185754902675,-0.0454545454545455
"cs_top5","level","child_iron","SierraLeone","other_xpop","domain_index",14,138,1,"women_vitA",FALSE,0.257142857142857,0.292541276204767,0.25,0.0175824175824175,0
"cs_top5","level","child_iron","Gambia","other_xpop","domain_enet",30,138,1,"women_vitA",FALSE,0.469632925472747,0.480912998490667,0.375,-0.0124582869855395,-0.125
