"country","outcome","rep","fold","pick_mse","pick_rank","w_mse_index","w_rank_index","w_mse_mean","w_rank_mean"
"Gambia","child_vitA",1,4,"enet","domain_index",0.0803677321870759,0.700947480357951,0,0.0091303823549534
"Gambia","child_vitA",1,2,"rf","domain_index",0.475040793372234,0.863638214485672,0.524959206627766,0.136361785514328
"Gambia","child_vitA",1,3,"rf","domain_index",0.160354431120605,0.682376406344846,0,0.0852700317900683
"Gambia","child_vitA",1,5,"rf","domain_index",0.0906682628513375,0.858070923672786,0,0.00631530607446998
"Gambia","child_vitA",1,1,"rf","domain_index",0.290858049901597,0.83156405476067,0.581119227705386,0.16843594523933
"Gambia","child_vitA",2,3,"rf","domain_index",0,0.944566400742446,0.135865600410646,0
"Gambia","child_vitA",2,5,"rf","domain_index",0.0610422845446666,0.921458181846264,0,0.0578445370830283
"Gambia","child_vitA",2,1,"rf","domain_index",0.285614252556265,0.767989007513875,0.364725846058669,0.232010992486125
"Gambia","child_vitA",2,4,"rf","rf",0.00716195586998186,0.441981671223966,0,0.0511780744923015
"Gambia","child_vitA",2,2,"rf","domain_index",0.218377800436353,0.864047221010478,0.0770113935241247,0.135952778989522
"Gambia","child_vitA",3,5,"rf","domain_index",0,0.982753405253529,0.304622302192094,0.017246594746471
"Gambia","child_vitA",3,1,"rf","rf",0.449871550300372,0.231239186867425,0.459615495626918,0.0295520878945551
"Gambia","child_vitA",3,3,"rf","domain_index",0.251303361233358,0.633829646201286,0.18545557393286,0.15982405342605
"Gambia","child_vitA",3,2,"rf","domain_index",0.384805878088891,0.91224147568474,0.615194121911109,0.0877585243152599
"Gambia","child_vitA",3,4,"rf","domain_index",0,0.813823446931148,0.235811979210886,0.186176553068852
"Gambia","child_vitA",4,2,"rf","domain_index",0.286645443913888,0.580173509926164,0.713354556086113,0.193921076366679
"Gambia","child_vitA",4,4,"rf","domain_index",0.388834482883092,0.79232734857901,0.611165517116908,0.20767265142099
"Gambia","child_vitA",4,5,"rf","domain_index",0.0125425854061596,0.896016853222676,0,0.0696429098761504
"Gambia","child_vitA",4,1,"rf","domain_index",0.132280183071165,0.952700140039678,0,0
"Gambia","child_vitA",4,3,"rf","domain_index",0.362355396049766,0.900610597129146,0.409569485161896,0.099389402870854
"Gambia","child_vitA",5,5,"rf","domain_index",0.126739125529429,0.424180473578896,0.126553326976972,0.20710281760794
"Gambia","child_vitA",5,3,"rf","domain_index",0.309857305410615,0.883872305289158,0.314355422304847,0.116127694710842
"Gambia","child_vitA",5,4,"rf","domain_index",0.0315916893092223,0.547703162013206,0,0.102112392769903
"Gambia","child_vitA",5,1,"rf","domain_index",0.186809891289821,0.851410930544984,0.468807618732254,0.12463429651241
"Gambia","child_vitA",5,2,"rf","domain_index",0.308579255248955,1,0.691420744751045,0
"Gambia","women_vitA",1,4,"rf","domain_index",0.412308290144003,0.863481172308162,0.437820891209837,0.136518827691838
"Gambia","women_vitA",1,2,"enet","domain_index",0.312213580601765,0.601158280301393,0,0.265768434552894
"Gambia","women_vitA",1,3,"rf","domain_index",0.428684497900504,0.795655407193792,0.571315502099496,0.0987867700090082
"Gambia","women_vitA",1,5,"enet","enet",0,0.26548303501681,0.321418860659506,0.234160407008177
"Gambia","women_vitA",1,1,"rf","domain_index",0.522003364956548,0.758194147933444,0.477996635043452,0.0862933122549102
"Gambia","women_vitA",2,3,"rf","enet",0.227738255333905,0.338246733407308,0.168806218575295,0.215354560812163
"Gambia","women_vitA",2,5,"rf","domain_index",0.299786324134311,0.386601216963654,0.424969035529977,0.370500355778566
"Gambia","women_vitA",2,1,"rf","domain_index",0.595857271095254,0.771867849626904,0.404142728904746,0.228132150373096
"Gambia","women_vitA",2,4,"rf","domain_index",0.426623282029228,0.675818817721213,0.484138949735114,0.234815783676473
"Gambia","women_vitA",2,2,"rf","domain_index",0.576840003300611,0.773005499886827,0.423159996699389,0.226994500113173
"Gambia","women_vitA",3,5,"rf","domain_index",0.161790889764825,0.797755694768528,0,0.152493281068455
"Gambia","women_vitA",3,1,"enet","domain_index",0.312739440690918,0.576958268266184,0,0.00937060982993088
"Gambia","women_vitA",3,3,"rf","domain_index",0.557009197652832,0.980935516743853,0.442990802347169,0.0190644832561472
"Gambia","women_vitA",3,2,"rf","enet",0.457490437562719,0.381809848088004,0.213250695829525,0
"Gambia","women_vitA",3,4,"rf","domain_index",0.420151343034918,0.775868181903002,0.579848656965082,0.224131818096997
"Gambia","women_vitA",4,2,"rf","domain_index",0.356088012861186,0.321469766037295,0,0
"Gambia","women_vitA",4,4,"enet","enet",0.297772461572631,0.394279413898436,0,0.176011907137566
"Gambia","women_vitA",4,5,"rf","domain_index",0.468073396091155,0.713383287957426,0.477959947861664,0.286616712042574
"Gambia","women_vitA",4,1,"rf","domain_index",0.505484718426617,0.853929104212545,0.494515281573383,0.146070895787455
"Gambia","women_vitA",4,3,"rf","domain_index",0.496285823154241,0.731923226685231,0.503714176845759,0.0378324580424077
"Gambia","women_vitA",5,5,"rf","domain_index",0.416372546208217,0.566155541381307,0.274591090591105,0.214930976304224
"Gambia","women_vitA",5,3,"rf","enet",0.458274310373968,0.432309477924696,0.451347429761971,0
"Gambia","women_vitA",5,4,"rf","domain_index",0.600337290008702,0.843902580097389,0.399662709991298,0.156097419902611
"Gambia","women_vitA",5,1,"rf","domain_index",0.607544768554174,0.764851759290975,0.392455231445826,0.0484841420182767
"Gambia","women_vitA",5,2,"rf","domain_index",0.650593076367538,0.974283654712561,0.349406923632462,0.0257163452874392
"Gambia","child_iron",1,4,"rf","domain_index",0.528374427296545,0.986213855878842,0.471625572703455,0.013786144121158
"Gambia","child_iron",1,2,"mean","domain_index",0.445688740793548,0.693466672079134,0.554311259206452,0.306533327920866
"Gambia","child_iron",1,3,"rf","domain_index",0.571456704714321,0.783697184031256,0.428543295285679,0.216302815968744
"Gambia","child_iron",1,5,"rf","domain_index",0.191772012928004,0.672701759487352,0.176627979782028,0.302456830808027
"Gambia","child_iron",1,1,"rf","domain_index",0.74400844915226,0.932473506102623,0.25599155084774,0.0675264938973769
"Gambia","child_iron",2,3,"enet","domain_index",0.414076406642884,0.840083461065474,0.585923593357116,0.159916538934526
