"country","outcome","target","arm","n_units","spearman","topk","capture_top20","lift","thin"
"Malawi","women_folate","level","domain_index",27,0.224664224664225,0.428571428571429,0.122986914222518,0.614934571112588,FALSE
"SierraLeone","women_folate","level","domain_index",4,-0.8,0,0.324235427418757,1.62117713709378,TRUE
"Ghana","women_folate","level","domain_enet",16,0.323529411764706,0.25,0.366398308988714,1.83199154494357,FALSE
"Malawi","women_folate","level","domain_enet",27,0.407203907203907,0.571428571428571,0.170957639473687,0.854788197368433,FALSE
"SierraLeone","women_folate","level","domain_enet",4,-0.8,0,0.324235427418757,1.62117713709378,TRUE
"Ghana","women_b12","level","null_train_mean",16,NA,0.25,0.19507349630414,0.975367481520702,FALSE
"Malawi","women_b12","level","null_train_mean",27,NA,0.285714285714286,0.0487791508777413,0.243895754388706,FALSE
"SierraLeone","women_b12","level","null_train_mean",4,NA,0.5,0.378110869741573,1.89055434870787,TRUE
"Ghana","women_b12","level","domain_index",16,0.652941176470588,0.5,0.155600110320372,0.778000551601862,FALSE
"Malawi","women_b12","level","domain_index",27,0.307692307692308,0.571428571428571,0.46040317406437,2.30201587032185,FALSE
"SierraLeone","women_b12","level","domain_index",4,0.8,0.5,0.218768029662122,1.09384014831061,TRUE
"Ghana","women_b12","level","domain_enet",16,0.452941176470588,0.75,0.0397367116845097,0.198683558422549,FALSE
"Malawi","women_b12","level","domain_enet",27,0.53052503052503,0.714285714285714,0.496911885206516,2.48455942603258,FALSE
"SierraLeone","women_b12","level","domain_enet",4,0.4,0.5,0.378110869741573,1.89055434870787,TRUE
"Gambia","child_vitA","prev","null_train_mean",6,NA,0,0.115747800434171,0.578739002170853,TRUE
"Ghana","child_vitA","prev","null_train_mean",16,NA,0,0.176543359888138,0.882716799440688,FALSE
"Malawi","child_vitA","prev","null_train_mean",27,NA,0.285714285714286,0.257590998846848,1.28795499423424,FALSE
"SierraLeone","child_vitA","prev","null_train_mean",4,NA,0.5,0.201773475619762,1.00886737809881,TRUE
"Gambia","child_vitA","prev","domain_index",6,0.942857142857143,1,0.210363181627027,1.05181590813513,TRUE
"Ghana","child_vitA","prev","domain_index",16,0.679411764705882,0.75,0.281465085805097,1.40732542902548,FALSE
"Malawi","child_vitA","prev","domain_index",27,0.157838499778187,0.571428571428571,0.220087171609871,1.10043585804935,FALSE
"SierraLeone","child_vitA","prev","domain_index",4,0.4,0.5,0.368046016716986,1.84023008358493,TRUE
"Gambia","child_vitA","prev","domain_enet",6,-0.0857142857142857,0,0.115747800434171,0.578739002170853,TRUE
"Ghana","child_vitA","prev","domain_enet",16,0.7,0.75,0.281465085805097,1.40732542902548,FALSE
"Malawi","child_vitA","prev","domain_enet",27,-0.0235078616690916,0.142857142857143,0.0355793104094889,0.177896552047445,FALSE
"SierraLeone","child_vitA","prev","domain_enet",4,0.2,0.5,0.223528058295181,1.1176402914759,TRUE
"Gambia","women_vitA","prev","null_train_mean",6,NA,0,0.0441489491997571,0.220744745998785,TRUE
"Ghana","women_vitA","prev","null_train_mean",16,NA,0,0.0799613501827744,0.399806750913872,FALSE
"Malawi","women_vitA","prev","null_train_mean",27,NA,0.285714285714286,0.0257354799699818,0.128677399849909,FALSE
"SierraLeone","women_vitA","prev","null_train_mean",4,NA,0.5,0.152371035059715,0.761855175298574,TRUE
"Gambia","women_vitA","prev","domain_index",6,0.942857142857143,1,0.275624724715835,1.37812362357917,TRUE
"Ghana","women_vitA","prev","domain_index",16,0.644766610410661,0.75,0.245151398349766,1.22575699174883,FALSE
"Malawi","women_vitA","prev","domain_index",27,0.262079731682854,0.571428571428571,0.510447638215401,2.55223819107701,FALSE
"SierraLeone","women_vitA","prev","domain_index",4,0.4,0.5,0.445985627303191,2.22992813651596,TRUE
"Gambia","women_vitA","prev","domain_enet",6,0.942857142857143,1,0.275624724715835,1.37812362357917,TRUE
"Ghana","women_vitA","prev","domain_enet",16,0.583360266562026,0.5,0.475714285445672,2.37857142722836,FALSE
"Malawi","women_vitA","prev","domain_enet",27,0.345212549797307,0.428571428571429,0.0811040959431572,0.405520479715786,FALSE
